,labels,text,ppl
4895,0,饼有点硬，个人口味吧，我不喜欢,3.232724320599046
8711,0,病人吃啊，挂面哈拉味，汤也腥。,209.11369406816212
5797,0,豆腐丝里吃出苍蝇，啥也不想说了,32.59375530743443
768,1,味道很好！送的也很快！好吃！,8.247123069294636
2518,1,菜品好，速度快，真是太好了！,3.8290834840625627
7638,0,这家店就直接没送，接单不送的店,45.22437547529118
6583,0,送餐太慢太慢了～菜品还可以～,6.707626522915603
6692,0,"下次能送早点就好啦,快饿过劲啦",138.56835662041513
484,1,"很好吃量也很大都吃不完,赞一个",24.593498351855796
11295,0,下单2个小时才送到。无语了。,8.885011015240151
2826,1,谢谢师傅，辛苦了！非常准时！,5.07068002925155
11958,0,粉很好吃，但是订了卤蛋却没有。,31.41435490323947
4074,0,"吃到一半发现菜里有小强,简直了",38.12532650957598
2858,1,麻辣香锅很地道，送餐及时，好评,6.775123948540943
1568,1,米饭是硬的。。不如上一次好吃,20.109751216817305
10881,0,米饭里有一只蟑螂，让人怎么吃,7.752022496292798
6353,0,咖喱鸡肉烩意面，不知鸡肉滋味,33.619595638945
4765,0,很慢就不说了，关键是还不好吃。,14.59139471433307
370,1,态度很好，效率很高，给十分赞,14.41640768841319
7698,0,饼太硬，香肠炒饭里的香肠是臭的,27.766059189661334
11746,0,速度慢，第一次订餐就迟到，晕,34.14864086580544
8159,0,送餐走错路，袋子还破了………,15.84580893331968
7545,0,量太少了，不够吃，都能数过来,28.504880230283987
2366,1,一直买他家的香脆鸡肉披萨，喜欢,9.136942877697974
866,1,"师傅辛苦了，谢谢,下雪注意安全",12.284524149161157
2743,1,又快又好棒呆了哈哈哈哈哈哈哈,29.47442162450194
9911,0,石锅拌饭里面吃出了塑料包装纸袋,61.31628866719277
5045,0,菜品没味道。。。周也是。。。。,57.1711338504823
1563,1,又快又好又便宜！真心给力！！！,8.998063331641763
10234,0,面时间太长了，坨了，不好吃了,9.991112319681166
2699,1,虽然因为牛肉太多有点儿咸……,10.654657703111862
3594,1,师傅服务好送货快，性价比超高,5.417582412886317
29,1,"送餐非常快,态度特别好,谢谢",6.289368226485974
6442,0,"太小了,味道一般,说多了都是泪",5.073228035904062
467,1,送餐员辛苦，饭也好吃，继续购买,7.946863100642903
58,1,"送餐特别快,送餐员态度也特别好",3.5761030143997647
1652,1,很快，也好，包装也好，赞赞赞,25.993941361743484
6217,0,菜真的很一般，还是店里吃好些,13.550151153342357
4529,0,味道还行，就是送餐太慢了……,7.61645671482509
5594,0,为什么每次都是凉的。。。。。。,6.545979580706727
88,1,"又快又好,小哥态度很好,好评",16.918246738988895
3170,1,"快递给力,煎饼给力,会一直点餐",28.940262101931957
4524,0,"味道就那样把,盖浇饭挺难吃的",146.91271208316738
4853,0,不好吃，肉不好，饼很硬，差评！,26.789642575621574
9972,0,准时送餐，不要太早，也不要太晚,6.095299699492978
4829,0,"小两个小时送到,而且真的很难吃",5.98127403118156
3085,1,外卖小哥人超级好。。。。。。,24.486040232036242
10811,0,速度挺快的，面不好吃，都凉了,27.869127700617245
8052,0,"点两份鸡柳,就给送,一份。。。",107.21318580171437
