,labels,text,ppl
8711,0,病人吃啊，挂面哈拉味，汤也腥。,98.65576908027272
5797,0,豆腐丝里吃出苍蝇，啥也不想说了,10.216670701476346
768,1,味道很好！送的也很快！好吃！,5.450379325673063
2518,1,菜品好，速度快，真是太好了！,5.019990390859795
7638,0,这家店就直接没送，接单不送的店,31.061186985650156
6583,0,送餐太慢太慢了～菜品还可以～,3.681587742058986
6692,0,"下次能送早点就好啦,快饿过劲啦",45.71994154456426
484,1,"很好吃量也很大都吃不完,赞一个",21.022586657116527
11295,0,下单2个小时才送到。无语了。,5.147256507029897
2826,1,谢谢师傅，辛苦了！非常准时！,4.063056065263072
11958,0,粉很好吃，但是订了卤蛋却没有。,35.308916440799365
4074,0,"吃到一半发现菜里有小强,简直了",18.679314366690175
1568,1,米饭是硬的。。不如上一次好吃,13.412781987616146
10881,0,米饭里有一只蟑螂，让人怎么吃,6.530319648671855
6353,0,咖喱鸡肉烩意面，不知鸡肉滋味,7.2595725871930785
4765,0,很慢就不说了，关键是还不好吃。,17.462576953718315
370,1,态度很好，效率很高，给十分赞,5.5856603084748935
11746,0,速度慢，第一次订餐就迟到，晕,8.720485404567826
8159,0,送餐走错路，袋子还破了………,13.032960853096952
2366,1,一直买他家的香脆鸡肉披萨，喜欢,5.466174835781938
866,1,"师傅辛苦了，谢谢,下雪注意安全",6.7658187969706125
2743,1,又快又好棒呆了哈哈哈哈哈哈哈,19.15699096475552
9911,0,石锅拌饭里面吃出了塑料包装纸袋,25.026463655107978
5045,0,菜品没味道。。。周也是。。。。,21.373842140497015
1563,1,又快又好又便宜！真心给力！！！,6.450131820938272
10234,0,面时间太长了，坨了，不好吃了,12.648845150250754
29,1,"送餐非常快,态度特别好,谢谢",4.36177630358394
6442,0,"太小了,味道一般,说多了都是泪",4.556627502651823
467,1,送餐员辛苦，饭也好吃，继续购买,4.602399484145911
58,1,"送餐特别快,送餐员态度也特别好",3.927264251925175
1652,1,很快，也好，包装也好，赞赞赞,14.55385816310879
4529,0,味道还行，就是送餐太慢了……,3.7200982716479394
88,1,"又快又好,小哥态度很好,好评",8.972986171714089
4524,0,"味道就那样把,盖浇饭挺难吃的",44.58195700345267
3085,1,外卖小哥人超级好。。。。。。,5.443008158683388
10811,0,速度挺快的，面不好吃，都凉了,9.507593749600979
8052,0,"点两份鸡柳,就给送,一份。。。",87.87951784509438
5562,0,太慢，太小，吃不饱。味道还行,5.016959694113891
5132,0,不好吃。。。菜太少了。。。。,7.240779389255963
2537,1,配送非常快，10分钟就送到啦～,4.935914987595489
2730,1,人好速度快，好评好评好评！！,14.242118862430209
6256,0,米粉比以前份量少，没以前好了,12.347641304861401
2717,1,东西非常好，还是热的，辛苦了！,4.524267689640155
5791,0,给的豆皮果然多，只是肉变少了,17.051140732618723
434,1,很快，很好，经常订，谢谢师傅,8.756538583541325
2067,1,非常好吃，送餐很快，绝对好评,5.968701094972505
8096,0,就薯条还行！其他都不怎么样！,15.262952585060201
1952,1,味道还好。服务态度真的很好～！,5.9413013672556225
6980,0,咋的跟饿了吗不一样的名，坑爹,56.63319863429226
2435,1,经常买这家的饺子，味道棒棒哒！,6.45767687202147
9055,0,没有在店里吃好吃，萝卜太多了,5.470075340153043
1653,1,除了速度有待加强，其他都不错,3.2941532877355426
3654,1,没有餐具哦，还要自己点餐具么,20.55716592727578
1739,1,"服务不错,但是太难吃了啊啊啊",5.757108985424041
11045,0,面也太少了，才半盒，我就没吃饱,12.502508509295094
2626,1,非常的正宗，就是羊杂汤太咸啦,20.786785995108772
7925,0,午餐肉实在太难吃了，千万别点,4.468466533808663
5910,0,真的不适合外卖，另外，真难吃,6.006213470221701
11336,0,我的电话打不通，不知道为什么,3.040991273432803
809,1,很好，速度飞快，炸鸡有点火大,25.68165167844289
661,1,太快了！！简直是神速啊！！！,5.358205690229356
396,1,"第二次买了,挺好的,以后继续",3.95231916781266
5702,0,我备注要的粥，结果送来的是饮料,27.11618646720796
10859,0,赠送的黄飞红花生呢？没送啊！！,74.03093763248654
280,1,非常好送的很快，，，还是热的。,13.295985049546328
184,1,好好好！赞赞赞！态度好速度快！,5.077700637798689
2289,1,味道很好而且很实惠送得也很快,4.5454922563550015
4775,0,包装牛逼，送餐速度……咳咳……,7.309323570877049
2711,1,"番茄醬撒了QAQ,其他nice",153.94821921365872
854,1,"粥里有头发,就没吃,剩下都好吃",26.197590232136637
5116,0,太慢了，俩小时连个解释也没有,6.106321432227748
2377,1,速度挺快的东西也挺好的给赞~,9.452159578287196
4429,0,肥肉太多吃的时候还把嘴唇拿破了,7.213526604633766
11423,0,饭菜都凉的，一个多小时才送来,10.212462461792297
7151,0,地三鲜，茄子里面有很多是生的,15.043720046667437
901,1,我吃出来一个钢丝球上的一个丝,20.422207534465148
5808,0,不好吃，包子还不熟，都硬邦邦的,12.320983791802174
2679,1,味道好，包装好，送餐及时，不错,5.24738122932981
11060,0,差评，退款太慢！我说的是百度！,11.769393519100067
10479,0,"送错了,打电话要求补送也不送",23.042933322101547
8079,0,送的时间太晚了，一个小时才送来,4.41651258179231
4617,0,送餐很慢，饿死了，味道很一般,5.5361337729805085
2406,1,挺好的，速度也不错，以后还来,7.165756200365019
2682,1,大叔特别面善！饭食用料很好！,22.288085635984242
2442,1,大冷天的百度骑士真是辛苦了～,17.80740431680883
963,1,肉很多，味道不错，配送也很快,7.702552528396981
3617,1,饭菜香质量好，服务好，送饭快。,9.368330090759347
10792,0,一单元和二单元分不清...麻烦,3.5206825460788296
2821,1,送餐快，阿田大虾一如既往的好吃,21.588640838093212
2108,1,菜挺多饭挺多就是牛肉丝质量一般,7.97913642093389
2832,1,送货很快，经常吃他家的，很棒,6.3652401466175705
9713,0,送餐人员素质太差，不适合本工作,5.572187160676946
3122,1,"赞赞赞,很好吃,小哥送餐也很快",16.571214571080134
10897,0,味道还好，但是送餐实在是太久了,7.77295005820478
3793,1,都非常好，就是派送费有点贵！,6.966170223376311
6995,0,饺子都凉了还能吃吗，送来太慢了,10.652066697159729
1115,1,"好吃,就是太慢,两个小时才送到",9.304757430183988
6568,0,送餐慢，披萨巨小！还没餐具！！,47.8405450328718
2431,1,送餐很快，送餐人员很热情！～,4.708244458791155
1601,1,配送的真快，及时。很好好强大,25.15019683057238
7187,0,送餐太慢，等了两个小时，无语,6.022353950206631
3236,1,口味质量俱佳，送餐小伙很不错,9.494501874562223
7287,0,"咖啡撒了一兜子,还是凉的,服了",18.546762411530697
836,1,"很不错的一次,下次还会到这买",10.111800124773794
2663,1,送餐很快，菜很好，羊杂味道不错,5.667945601517748
9190,0,"每次酸奶都不给我带吸管,心好累",22.90499644935741
262,1,太快了，你是飞过来送餐的吧…,18.808192086848166
11078,0,接线员工态度太差。其他的还不错,11.60548538678852
393,1,速度很快，菜的味道也好！不错！,4.724091479651173
6382,0,汤横着就送过来了，撒到处都是!,35.66732842568645
9862,0,难吃的一逼，体验差，名不副实。,27.307098386511793
5440,0,肉太多了，送餐速度有待提高！,7.5703124749742585
8739,0,"汤挺好喝的,就是米线没有米线味",9.827771037611276
10139,0,5555比以前的肉肉少了好多,9.585266777836528
8704,0,"味道不错,就是太慢了,真的很慢",3.891171938768698
3526,1,服务很好，送的很快，很有礼貌。,3.162434031540119
2947,1,宿舍信号不好，耽误了你的时间,2.711747912972563
8116,0,态度真差，喊什么喊！CBWD,54.25878802384479
771,1,都挺满意，送餐的师傅也很细心。,6.648073083594899
8579,0,盒子很精致，味道还好。整体不错,4.504697054932714
7305,0,撒的到处是。摩卡只有半杯了。,37.945996200985434
10599,0,备注写好要生菜，结果送来不是,34.754381818397945
10977,0,"送的太慢了,2小时,菜都冷了",13.076648568194033
9176,0,"你吗,送了俩小时,太不靠谱了",16.546051401462734
2915,1,还不错，就是买回来面有一点陀,18.315381809128322
9393,0,太慢了，送来都凉了，态度各种差,22.23970383600615
6230,0,口味比之前差多了！换厨师了吗？,5.1263574779017445
8449,0,图片与实物不符...根本没鸡腿,6.867440330382211
1005,1,快递小哥以后继续加速啊，加油,6.133192622948044
6607,0,"次次迟到n久~~,菜都是凉的",35.052775706592435
2226,1,价格偏高，不过倒是蛮好吃的。,6.138018151297112
1379,1,"难吃,难吃,难吃。凉了,凉了",3.38043723319784
11472,0,"味道一般般,不过送餐速度很快",4.2996907379509235
7292,0,没有糖包，热巧克力要了只有一半,19.368906189048314
2993,1,很赞哟，小哥辛苦啦这么冷的天,12.764388748275666
472,1,速度很快，东西也不错，赞一下,4.2016632899008854
8661,0,鸡肉味、牛肉味，不名物~~~,16.091836174036544
648,1,配送及时，味道佳。湖北人必吃,10.52124887687998
7455,0,1点多才送，饭真没以前好吃了,10.300773120731865
1606,1,评论晚了，不好意思哒，32个赞,7.834303921290019
1879,1,送的有点慢…酱香卷还是很好吃的,18.33473343489875
7170,0,菜还不错，米饭有点馊了。。。。,7.750653744537899
9834,0,太慢了，两个小时才送来，都凉了,8.469154561278426
2283,1,送的早到了半个小时，味道很棒,6.953360817761842
2314,1,"鱼香肉丝的最好吃了,四川口味的",16.53747338751226
9720,0,连续吃几次就不好吃了，不耐吃,6.768614701249953
6351,0,呵呵了个呵呵，+1r，不开心。,21.428425996108743
879,1,饼味道一般吧，很少的一碗粥。,15.988866217678456
42,1,"很好吃,速递快,下次继续选择",12.87929421749641
3587,1,送货超级迅速，服务到位，好评,4.208425835762684
10985,0,严重超时不说，饭菜都凉了。差评,18.218910108000387
8326,0,用不着赶时间把东西都颠散了吧,12.149079566434287
2583,1,速度好快，送餐小哥态度超级好,5.358293163979436
964,1,"味道不错！皮有点厚,继续努力",5.466038601450329
10858,0,东西少不说，说好的赠送花生呢？,8.158866500627113
10039,0,感觉比在店里吃的时候粗糙很多,5.105152586941928
235,1,味道不错连着好几天了都在喝！,8.704893246462373
