,labels,text,ppl
23455,0,第二部就不该拍竟然还出第三部,25.055515707657374
37994,1,局气！规矩！管虎导了俩影帝了！,1730.427114665648
45474,0,前半段真好看，后半段越来越萎,14.131123906528707
37018,0,前面的剧情看得我尴尬癌都犯了,11.987583928249053
39152,0,混乱的情节，特么矫情无下限。,18.369228874245536
4952,0,适合能静得下心和有故事的人。,11.769970837068966
49922,1,最是人间留不住朱颜辞镜花辞树,576.8570688978319
18895,1,超级治愈又感人，狗狗真的好暖心,13.170779897956317
16855,0,密室设定很有意思，可惜未能维持,25.26863670358587
33344,1,原来巴萨的德国馆还有这个用处,104.30109062109396
43014,1,丫丫真的太美了，前夫哥好可爱,40.656149926797674
30945,0,烂的一逼，啥都没有，狗屁不通。,21.171526205571293
11202,1,这个玛丽苏我喜欢很好看求续集,51.63278189912374
43097,1,看了点映，好多戳中我泪点??,231.2288211532261
7229,0,郑恺和郭采洁还挺有cp感的。,100.31740310981199
46824,0,民乐要靠二次元来拯救了嘛……,58.697836965470636
44791,1,反正我追完了，为了女主的颜值,26.919695642769614
40750,0,我朋友说，她尴尬得想原地去世。,46.46607142695452
24357,0,今年作品太多了，有点透支了。,14.862211590388329
12065,0,我是真的觉得孙悟空的扮相太丑了,11.050142469484088
44782,1,还可以吧……感觉题材还算新颖,8.629171084908723
11314,0,看完情圣来评评这部这部比情圣好,56.17329463658675
19047,1,它令我想起曾经怦然心动的轻吻,12.462540408784205
45899,0,发哥抄着烂片专业户就去了。。。,400.7673985552494
14214,0,第一集演得什么玩意儿，尴尬死了,12.508327076199675
31414,1,热热闹闹的，看得我好开心啊。,6.9578293120432875
25276,0,煽情煽成了MV，大家都笑了。,55.33186856333957
47776,1,最喜欢的科幻故事，很成功的改编,7.412056899795691
45012,1,还算可以哦，故事讲的挺精彩！,25.636587675052326
49786,0,被黑天鹅惊艳到了！美轮美奂！,25.268266732659963
11029,0,到底在演什麼啊？？大爛片！！！,40.95838620184459
30704,1,卧槽我竟然看过啊啊啊啊啊啊啊,17.347859214853965
3121,1,你无车无楼无番狗做乜要拖我手,440.7514590805929
9512,0,最弱版劳拉了吧？太弱了太无聊了,115.00889790576744
15976,0,重拍经典，孩子对恐惧的克服。,11.863424497938272
26862,1,太好看了！笑得我内分泌失调！,23.60788902455402
30395,0,本来两星，加一星给受罪的演员吧,60.242854302983964
22972,0,《星际特工：全宇宙看我们尬爱》,49.759513811601906
30570,0,特效不错啊，但剧情就大简单了,19.59628605571022
20588,0,气氛到位，演员不存，故事简单！,28.790928524298575
13869,0,看的点映，形式“精致”的大烂片,83.2308363184972
24216,1,最后居然没搞你们还是人吗？？？,40.385901185444794
32991,0,平淡真实不温不火我没懂哭点在哪,73.22389969196652
1732,1,其实伍迪哈里森演的是一个天使,30.113841046500863
4472,1,陈可辛拍商业文艺片真的不错~~,22.490008586574653
33439,0,泡泡妹子打打架，兄弟情在哪？,72.32679457626578
11847,0,一部非常尬的电影。不推荐观看。,7.803552953893214
16369,0,张艺谋式的漂亮画面，何必3D。,44.421336865040544
31321,0,"我不信你们没东西怼地雷啊=""=",129.1905520389562
18949,1,少男少女必看，爱与美的启蒙。,34.157465665214076
32102,1,迪斯尼的动画很赞，配乐很好听！,28.152552478155997
9630,1,喜欢坎妹素颜的劳拉，期待后续。,89.98131305609412
1571,1,演小安生的小朋友很像岳云鹏啊。,105.12053821262556
38226,1,你猜不到的结局…猜不到的惊异…,22.709629999815444
17406,0,卡尔文老师不是触手，是海蜇皮啊,67.09273405372083
24554,1,我不会说情话，只知道陪着你。,7.378748977232864
6181,1,腕龙站在码头哀嚎的场景太泪目了,78.94451764173189
6583,0,比较难看的伪记录僵尸片...,22.642978694645407
6224,0,cctv6盛产类似的古装片……,68.10556112886998
39086,0,打一星以上的人都是咋想的！！！,54.376737734678215
14019,0,好吧，为了阿姨们的搏命演出。,38.84386436727422
10409,0,勉强合格。觉得周冬雨有点厉害。,16.467851011160963
24108,0,Highlyoverrated,2379.163878387274
21295,0,干了这碗毒鸡汤，来世不见张嘉佳,192.5930717364455
6067,1,妈的吓死我了叫得我嗓子都哑了,115.59878738827366
9505,0,寻父，遇彦祖。掘墓，炸病毒。,139.63842504560728
41265,0,嗯电影院椅子挺舒服，睡得挺好,39.01591306294968
48553,1,Pixar真的没有让我失望过。,18.199078825126623
24690,1,看完只想把所有好东西都给它……,8.878479655242238
6635,1,我给你四星，反正我就是胆小。,12.544160700407645
4338,1,除了人贩子，所有人都是受害者,8.346369874207964
25535,1,逃离已知世界的勇气令人敬佩。,13.282095944107288
17716,1,老一套温情，稍稍让我有点麻木,67.9957548231959
47637,0,我特么就想知道那句中文是什么,12.183264633048816
8508,1,好看！但是最后那关不过瘾???,28.882345175267332
23534,1,谁能拒绝穿护士服的余春娇呢？,32.91757614396749
26207,0,太恶心了~不要看~建议哈···,40.10053609979277
28591,0,主角明明是章鱼，你叫潜艇总动员,18.583479941009983
