,labels,text,ppl
30574,0,怀疑是假货，洗发后感觉很不好,32.122818049922884
7598,1,手机质量很好哎，就是没有送礼品,18.846348085891634
43849,0,有差异的产品，下次不会选购了,30.306552070800297
10361,0,东西搭配了一堆没用的，给差评,10.185061247039956
3099,1,一般般 会有卡顿 看电影还行,73.16490501891452
28438,1,不错很满意，物流小哥很给力。,41.79158328533033
34577,0,京东的配送就这样吗？真是失望,30.22832846381242
12015,0,非常不满意，大型游戏根本玩不了,5.733155774566011
31819,0,垃圾京东，收钱不发货，趁早倒闭,21.874853105854775
42623,1,衣服面料很舒服，柔软，大小合适,16.9140139404062
43428,0,哎与图片差距太大真心接受不了,79.78515194050661
38964,1,面料很好，款式时尚 穿上很舒服,39.96740580282077
32231,0,洗发水不正宗的，洗完头皮屑很多,49.13323064732606
17545,1,京东商城的商品实惠，继续支持！,7.389324492260561
36576,1,蒙牛出香蕉奶啦 味道还不错哦,208.3127420655331
6653,1,快递速度很快，平板用了还不错。,20.969887115491204
39896,1,大小合适，有弹力，辉常满意！,60.57350050143281
38971,1,刚收到货，很好，物超所值！！,71.83269374834002
41286,1,穿上变得特别帅，怎么呢？嘻嘻。,44.9373188646459
29583,1,超值值得购买！便宜实惠真的很好,13.88819480135213
12956,0,不咋好，显示不清楚，想贴膜的,71.23387989693414
31712,0,不好，这么贵还不好，我也是醉了,35.66116748123858
31680,0,啥时候到啊下单好几天了还没到?,70.02027735015474
60362,0,很一般，价格不高，但设备差！,15.3765362466258
45785,0,没穿几次就破2个洞，做工不好。,75.97616778136309
30820,0,被坑了，不好用，只能给一星?,123.49116858813902
10933,0,送货师傅不错，平板质量一般般,51.851449811464335
40218,1,穿上很舒服，面料不错，蛮好的,49.350976088265774
36597,1,蒙牛滴。。。口感醇厚，不错～,335.7750157175798
47403,0,衣服不行 ！！！ 快递也不给力,101.00190595936108
42213,1,质量好，做工精细。非常满意！,6.75103447024503
31785,0,不好用，味道太浓，不适合男人,19.75448343601261
46015,0,质量没有想像的那么好，不要上当,7.33430025891935
42170,1,款式新颖，又合身，孩子很喜欢,12.334025511643006
43150,0,欺骗消费者！！！严重不符！！！,16.3916353611146
45415,0,商品没图上的好看，面料也不多好,70.26776992845546
30230,1,价格实惠，服务好，东西不错。,4.1335837001951825
47927,0,没收到商品，一个月了，差劲。,28.693873834590683
30018,1,好，不错，得蛮多的，划算，喜欢,55.11073585707688
26817,1,到货好快。服务好！东西满意！,12.438459384045858
5006,1,手机不错，屏大清晰，速度快。,21.96286283261919
44936,0,洗了掉色特严重，很硬，还没穿,120.54555664872635
16856,1,还味吃，现在觉得苹果越来越甜了,60.03762110738303
3845,1,不错 很喜欢 华为平板666,383.61795041608383
28242,1,洗发水好用，洗过头发很清爽…,30.37528039098038
42123,1,可以 比较满意 穿了再来评价,47.462101035207624
34621,0,有一瓶盖子烂了，流的到处都是。,45.61166895565126
33650,0,使用一般，和国货区别不是很大！,39.631944414916184
5554,1,好好的一个好的自己选的好好好货,64.49716336109594
30937,0,说好的吹风机在哪！太垃圾了！,23.42073513622456
60557,0,服务很一般，设施和装修也不好。,13.190922824303964
46810,0,真的和网上看的差别真大，好垃圾,15.221174970002144
25754,1,看着还可以，小的赠送旅行装不错,60.47660660366185
43705,0,物流太慢太慢，衣服不怎么样，,17.051854307628805
18630,1,个头小但很甜，用来做早餐正好。,23.639082039215257
41784,1,商品不错，物超所值。真实体验。,23.76765026135383
45106,0,非常一般，不推荐，不要贪便宜,7.137887801260625
31546,0,昨天收到今天就降价，太过分了！,31.53559867003143
43624,0,有股刺鼻的味道，还特别脏，差评,31.625878247377337
10107,0,差评，保护壳都没有，5星差评！,21.08629110692875
32824,0,不好用，不适合我的发质，起头屑,36.986848847073304
4883,1,不错物流给力，值得信赖，正品，,99.66410314067573
31305,0,发来就破了。。懒得跟客服叨叨了,229.6620470065427
17539,1,性价比真他们高。。。。够味还脆,264.68457795701505
3991,1,不错，给妈妈玩游戏用的，很喜欢,5.987492916247384
35438,1,安装好了，还没用，感觉挺好的,17.005438544609277
10959,0,骗子。垃圾货。收到的卡装不了,98.44986670928883
38859,1,衣服挺好的，我一下子买了两件,14.72798998847142
33344,0,还品牌垃圾要死，越洗越多头屑。,38.551621125079286
11811,0,不好买来好后悔玩游戏好卡差评。,124.90220285560646
26497,1,一如既往的快，态度好，日期新。,38.103253731482184
39505,1,裤子面料不错的 版型很喜欢啊,189.8678071685722
34065,0,买了很多次，这次的是假货，失望,49.79172859830854
57426,0,服务不好。乱收费，非常不满意！,11.704811261873266
10211,0,cpu太差 一点都不流畅 亏了,149.4502524098651
6071,1,真正好PAD，学英语不用愁啦,139.3947329172416
46500,0,网上买几次都是烂货，不能相信。,12.753515919359282
39929,1,裤子的质量真的不错，值得表扬！,7.6248801331118665
47506,0,穿了一次，扔了，好还是不好？,32.57744926843252
6287,1,屏幕够大，上手容易，物流很快。,8.509433577876399
39475,1,买回来很合适，老公很喜欢。。。,17.093822403604083
38335,1,质量非常不错，穿起来很舒服。,4.996171215052881
32710,0,就是好难受看到你日目的地后的吧,628.3993750702823
7812,1,帮朋友买的，反馈信息还不错?。,23.674235782222354
33424,0,快递丢失 不处理 没有维权渠道,46.10549971506508
39217,1,很不错哦，我又要在买多一条了,77.63325748621496
35260,0,这个商标都掉了，可能是二手货吧,26.315474127344526
19076,1,苹果包装完好，吃起来香甜可口！,12.746627598506057
58781,0,酒店很旧，设施陈旧！花洒漏水,93.94417992873684
10412,0,卡出翔，到底是不是3G运行？,77.04396504969164
46154,0,物流太慢了，就凭这一条给你零分,42.765867588020505
34631,0,非常无语，包装是裸的，没有塑封,37.253643451507344
57024,0,所有的房间里的设施不是很齐全！,25.637634007819834
42499,1,不错，穿上很舒服，面料也不错,19.686731548219868
47937,0,不满意，色差太大！做工一般！！,36.017956344588036
18689,1,苹果不错！很新鲜！到货也很快！,7.26396185313792
47073,0,洗一次线全扯掉了，做工非常粗糙,64.89464768155624
14578,0,功能可以，但表面出现掉漆现象,61.6765804871021
33936,0,送来都爆开了，包装能用点心吗？,129.36130932447458
46214,0,大小不标准 垃圾货下次去桃宝买,352.52928727512074
18541,1,统一大小，味道一般，包装很好。,10.395850851402372
6147,1,东西不错，真的很喜欢很喜欢。,6.684488461532996
35038,0,一点都不好，，，洗了很痒，差评,36.878469583278445
21809,0,包装不错，口号不太好，很硬不甜,34.701539350621545
47351,0,太差了，以后不会买了，懒得退,19.41978583532967
11255,0,分辨率太低了，看着模糊，后悔了,13.288476315460757
6495,1,我这个是给妈妈买的，她很喜欢,7.580253717105479
27960,1,还行吧，感觉可以满意。好评！,10.835508208772309
59784,0,凑合吧，旺季也不便宜，隔音太差,44.745767421520775
30190,1,比超市便宜，还方便，省的逛超市,21.530785171352573
41065,1,一直喜欢的牌子，好好好好好……,14.100783962820751
12495,0,不好不好不好，真的不好，上当,29.255734280656164
4490,1,刚拿到还没用还知道功能什么样,25.687636714744514
37775,0,你让我这个蒙牛脑残粉情何以堪？,40.81958308615392
18639,1,苹果个小点，颜色一般吃着还行。,11.395698100617922
6522,1,不错很好，京东快递给力棒棒哒,61.62725774125822
45361,0,穿了两次，而且面料粗糙，易脏,40.109933907712154
23149,0,心好几个发黑的。潘石译太差了！,252.89724715592808
45269,0,号码偏小，是棉的，颜色也还可以,53.098430071731705
45110,0,不好，有味非常刺鼻，而且还慢！,75.38348181425545
36596,1,果断的支持下，还是蒙牛厉害啊,93.73019337095859
34714,0,京东客服很垃圾，购买商品注意,9.103975083580526
39832,1,哈哈哈红红火火恍恍惚惚哈哈哈哈,8.721013649239152
43503,0,质量和版型和图片不一样，不好看,20.901514105297363
