,labels,text,neg_logits,pos_logits
23455,0,[MASK]开心！第二部就不该拍竟然还出第三部,11.833454,10.876848
37994,1,[MASK]开心！局气！规矩！管虎导了俩影帝了！,9.339459,10.212155
45474,0,[MASK]开心！前半段真好看，后半段越来越萎,9.237137,11.417894
37018,0,[MASK]开心！前面的剧情看得我尴尬癌都犯了,9.633983,10.710152
39152,0,[MASK]开心！混乱的情节，特么矫情无下限。,9.260352,9.431651
4952,0,[MASK]开心！适合能静得下心和有故事的人。,7.763993,10.846235
49922,1,[MASK]开心！最是人间留不住朱颜辞镜花辞树,7.4240823,9.44691
18895,1,[MASK]开心！超级治愈又感人，狗狗真的好暖心,8.6690235,10.825066
16855,0,[MASK]开心！密室设定很有意思，可惜未能维持,9.050413,11.437575
33344,1,[MASK]开心！原来巴萨的德国馆还有这个用处,10.569263,12.243487
43014,1,[MASK]开心！丫丫真的太美了，前夫哥好可爱,9.265893,11.301131
30945,0,[MASK]开心！烂的一逼，啥都没有，狗屁不通。,10.257225,9.720561
11202,1,[MASK]开心！这个玛丽苏我喜欢很好看求续集,9.082475,11.898229
43097,1,[MASK]开心！看了点映，好多戳中我泪点??,8.455834,11.1022215
7229,0,[MASK]开心！郑恺和郭采洁还挺有cp感的。,9.015052,12.071737
46824,0,[MASK]开心！民乐要靠二次元来拯救了嘛……,10.474585,11.085856
44791,1,[MASK]开心！反正我追完了，为了女主的颜值,9.958885,10.72437
40750,0,[MASK]开心！我朋友说，她尴尬得想原地去世。,9.945878,11.286999
24357,0,[MASK]开心！今年作品太多了，有点透支了。,9.865918,12.4876795
12065,0,[MASK]开心！我是真的觉得孙悟空的扮相太丑了,11.240486,11.4094715
44782,1,[MASK]开心！还可以吧……感觉题材还算新颖,9.206925,12.320637
11314,0,[MASK]开心！看完情圣来评评这部这部比情圣好,9.9141865,11.245475
19047,1,[MASK]开心！它令我想起曾经怦然心动的轻吻,7.5732956,10.881534
45899,0,[MASK]开心！发哥抄着烂片专业户就去了。。。,9.921185,10.629094
14214,0,[MASK]开心！第一集演得什么玩意儿，尴尬死了,10.7855,10.203262
31414,1,[MASK]开心！热热闹闹的，看得我好开心啊。,9.047499,11.174414
25276,0,[MASK]开心！煽情煽成了MV，大家都笑了。,8.077714,11.103372
47776,1,[MASK]开心！最喜欢的科幻故事，很成功的改编,7.999583,12.180491
45012,1,[MASK]开心！还算可以哦，故事讲的挺精彩！,8.784236,12.525548
49786,0,[MASK]开心！被黑天鹅惊艳到了！美轮美奂！,10.177859,12.74951
11029,0,[MASK]开心！到底在演什麼啊？？大爛片！！！,9.074199,8.53556
30704,1,[MASK]开心！卧槽我竟然看过啊啊啊啊啊啊啊,10.252305,11.222288
3121,1,[MASK]开心！你无车无楼无番狗做乜要拖我手,9.134842,9.35043
9512,0,[MASK]开心！最弱版劳拉了吧？太弱了太无聊了,10.943828,10.8381815
15976,0,[MASK]开心！重拍经典，孩子对恐惧的克服。,8.262273,10.952089
26862,1,[MASK]开心！太好看了！笑得我内分泌失调！,8.973205,11.059457
30395,0,[MASK]开心！本来两星，加一星给受罪的演员吧,9.32913,10.489579
22972,0,[MASK]开心！《星际特工：全宇宙看我们尬爱》,8.206688,10.420212
30570,0,[MASK]开心！特效不错啊，但剧情就大简单了,9.540285,11.6691
20588,0,[MASK]开心！气氛到位，演员不存，故事简单！,7.0756097,11.410561
13869,0,[MASK]开心！看的点映，形式“精致”的大烂片,11.404121,10.063313
24216,1,[MASK]开心！最后居然没搞你们还是人吗？？？,10.947222,10.502257
32991,0,[MASK]开心！平淡真实不温不火我没懂哭点在哪,9.509976,10.550419
1732,1,[MASK]开心！其实伍迪哈里森演的是一个天使,9.532794,11.683354
4472,1,[MASK]开心！陈可辛拍商业文艺片真的不错~~,8.7061,12.04488
33439,0,[MASK]开心！泡泡妹子打打架，兄弟情在哪？,10.066486,10.449226
11847,0,[MASK]开心！一部非常尬的电影。不推荐观看。,10.126528,11.570513
16369,0,[MASK]开心！张艺谋式的漂亮画面，何必3D。,8.435034,10.346473
31321,0,"[MASK]开心！我不信你们没东西怼地雷啊=""=",9.619255,9.915781
18949,1,[MASK]开心！少男少女必看，爱与美的启蒙。,7.983659,9.649272
32102,1,[MASK]开心！迪斯尼的动画很赞，配乐很好听！,8.063791,12.986176
9630,1,[MASK]开心！喜欢坎妹素颜的劳拉，期待后续。,8.274908,11.135851
1571,1,[MASK]开心！演小安生的小朋友很像岳云鹏啊。,9.323456,12.3582115
38226,1,[MASK]开心！你猜不到的结局…猜不到的惊异…,8.7099,10.875321
