,labels,text,neg_logits,pos_logits
82777,0,[MASK]可以。[泪] //@耿嘉晨：还真是,11.037369,6.801629
48250,1,[MASK]可以。爱上江西，没有理由！[哈哈],11.853284,7.6401877
100168,0,[MASK]可以。计划赶不上变化[抓狂][泪],12.584337,5.914448
22319,1,[MASK]可以。芭其乐，大嘴快乐的家伙[爱你],10.676691,6.442183
70122,0,[MASK]可以。传统已逝??????[抓狂],12.585619,6.314401
6338,1,[MASK]可以。谢谢哈! 欢迎常来![鼓掌],11.885695,5.7268906
20081,1,[MASK]可以。胖子手感好啊！[鼓掌][爱你],11.245392,7.2286477
23064,1,[MASK]可以。生快！[干杯][蛋糕][鼓掌],11.4297085,6.113711
84060,0,[MASK]可以。居然把我干儿子装脸盆里！[怒],12.8597355,6.7636995
93871,0,[MASK]可以。三哥总是这么的让人惊喜[晕],11.4559355,6.97782
104161,0,[MASK]可以。此刻后：ko了... [晕],10.922324,4.753962
40416,1,[MASK]可以。[害羞][哈哈]@魔王1987,11.322994,6.1358366
15376,1,[MASK]可以。随手拍祝大家周末愉快！[爱你],11.625448,6.678167
10199,1,[MASK]可以。是滴，美女。欢迎哦！[可爱],10.612556,7.6033106
71224,0,[MASK]可以。偷贡品。不怕报应啊？。[衰],11.653447,5.889436
12238,1,[MASK]可以。[哈哈] //@独眼u:哈哈哈,11.16582,6.038134
77537,0,[MASK]可以。求二手智能手机。。。[抓狂],10.802563,5.997884
55063,1,[MASK]可以。是帮你挡酒的男的么？[嘻嘻],12.533415,5.915196
21548,1,[MASK]可以。原来很多国家都免签![哈哈],12.034406,6.341357
38076,1,[MASK]可以。百变大咖秀真的很快乐[哈哈],11.464935,8.174354
84198,0,[MASK]可以。[泪]//@那木错:[微风],12.166755,5.6751137
27872,1,[MASK]可以。哈哈，强大[鼓掌][good],11.173007,6.37295
48051,1,[MASK]可以。眼睛一眨，美妞变辣妈！[哈哈],10.944954,6.932454
18029,1,[MASK]可以。祝大家十一小长假快乐[太开心],11.852877,6.4421663
115177,0,[MASK]可以。[泪] //@袁腾飞:[泪],12.186482,5.981767
114619,0,[MASK]可以。可怜的风扇[泪] 我要等正版！,12.597601,5.9381027
64870,0,[MASK]可以。固执的大叔这场又好危险[失望],11.518331,6.564752
74958,0,[MASK]可以。办公室都是孩儿他娘！！！[怒],12.899488,5.856789
