,labels,text,ppl
8711,0,病人吃啊，挂面哈拉味，汤也腥。,334.96568655837837
5797,0,豆腐丝里吃出苍蝇，啥也不想说了,29.540992343374263
768,1,味道很好！送的也很快！好吃！,28.442567551418094
2518,1,菜品好，速度快，真是太好了！,11.870799655297882
7638,0,这家店就直接没送，接单不送的店,120.84751069132437
6583,0,送餐太慢太慢了～菜品还可以～,52.92080666702575
6692,0,"下次能送早点就好啦,快饿过劲啦",125.00088378186918
484,1,"很好吃量也很大都吃不完,赞一个",107.68151554071474
11295,0,下单2个小时才送到。无语了。,24.143316521024918
2826,1,谢谢师傅，辛苦了！非常准时！,70.81735559052515
11958,0,粉很好吃，但是订了卤蛋却没有。,75.81357545416247
4074,0,"吃到一半发现菜里有小强,简直了",39.67696447917829
1568,1,米饭是硬的。。不如上一次好吃,28.95200437587807
10881,0,米饭里有一只蟑螂，让人怎么吃,19.66691485466913
6353,0,咖喱鸡肉烩意面，不知鸡肉滋味,45.28272816743547
4765,0,很慢就不说了，关键是还不好吃。,11.535856794334642
370,1,态度很好，效率很高，给十分赞,18.54378069146356
11746,0,速度慢，第一次订餐就迟到，晕,59.815162400862704
8159,0,送餐走错路，袋子还破了………,52.60669614667181
2366,1,一直买他家的香脆鸡肉披萨，喜欢,16.981099338444892
866,1,"师傅辛苦了，谢谢,下雪注意安全",21.317690415596456
2743,1,又快又好棒呆了哈哈哈哈哈哈哈,28.098937872858755
9911,0,石锅拌饭里面吃出了塑料包装纸袋,62.59388583324924
5045,0,菜品没味道。。。周也是。。。。,95.49997440536413
1563,1,又快又好又便宜！真心给力！！！,19.41578642161895
10234,0,面时间太长了，坨了，不好吃了,27.114527112751123
29,1,"送餐非常快,态度特别好,谢谢",19.498736648888702
6442,0,"太小了,味道一般,说多了都是泪",13.378167003907919
467,1,送餐员辛苦，饭也好吃，继续购买,20.18683360102501
58,1,"送餐特别快,送餐员态度也特别好",16.758912040365402
1652,1,很快，也好，包装也好，赞赞赞,17.898878977474425
4529,0,味道还行，就是送餐太慢了……,24.66699445807216
88,1,"又快又好,小哥态度很好,好评",9.563130904980369
4524,0,"味道就那样把,盖浇饭挺难吃的",61.105901325699485
3085,1,外卖小哥人超级好。。。。。。,99.27805490765353
10811,0,速度挺快的，面不好吃，都凉了,47.817540377840665
8052,0,"点两份鸡柳,就给送,一份。。。",282.42078465421963
5562,0,太慢，太小，吃不饱。味道还行,10.55890825085406
5132,0,不好吃。。。菜太少了。。。。,72.40633986591733
2537,1,配送非常快，10分钟就送到啦～,39.2005914017326
2730,1,人好速度快，好评好评好评！！,26.136216343223367
6256,0,米粉比以前份量少，没以前好了,17.92744293101651
2717,1,东西非常好，还是热的，辛苦了！,13.00693398569938
5791,0,给的豆皮果然多，只是肉变少了,232.97494552364884
434,1,很快，很好，经常订，谢谢师傅,26.86970235873538
2067,1,非常好吃，送餐很快，绝对好评,25.56454773986692
8096,0,就薯条还行！其他都不怎么样！,49.62111260509658
1952,1,味道还好。服务态度真的很好～！,8.99433435582536
6980,0,咋的跟饿了吗不一样的名，坑爹,239.43382576629486
2435,1,经常买这家的饺子，味道棒棒哒！,17.126359093107887
9055,0,没有在店里吃好吃，萝卜太多了,20.909297947773293
1653,1,除了速度有待加强，其他都不错,9.123666506418852
3654,1,没有餐具哦，还要自己点餐具么,29.532718149959813
1739,1,"服务不错,但是太难吃了啊啊啊",17.882311566089104
11045,0,面也太少了，才半盒，我就没吃饱,84.83250981727133
2626,1,非常的正宗，就是羊杂汤太咸啦,71.91032826573229
7925,0,午餐肉实在太难吃了，千万别点,8.690379843117341
5910,0,真的不适合外卖，另外，真难吃,30.08323643686556
11336,0,我的电话打不通，不知道为什么,4.480019404676393
809,1,很好，速度飞快，炸鸡有点火大,32.75428262015212
661,1,太快了！！简直是神速啊！！！,17.03702043210661
396,1,"第二次买了,挺好的,以后继续",13.657855828920503
5702,0,我备注要的粥，结果送来的是饮料,120.61448365720749
10859,0,赠送的黄飞红花生呢？没送啊！！,301.16217807724126
280,1,非常好送的很快，，，还是热的。,37.543522532597606
184,1,好好好！赞赞赞！态度好速度快！,25.42270761180722
2289,1,味道很好而且很实惠送得也很快,31.082543067591228
4775,0,包装牛逼，送餐速度……咳咳……,41.28897004190839
2711,1,"番茄醬撒了QAQ,其他nice",252.02415204257912
854,1,"粥里有头发,就没吃,剩下都好吃",56.35932653442184
5116,0,太慢了，俩小时连个解释也没有,20.732314506584572
2377,1,速度挺快的东西也挺好的给赞~,94.66529509464051
4429,0,肥肉太多吃的时候还把嘴唇拿破了,32.63158623940557
11423,0,饭菜都凉的，一个多小时才送来,29.908218900611146
7151,0,地三鲜，茄子里面有很多是生的,70.41389134351542
901,1,我吃出来一个钢丝球上的一个丝,34.10287886761121
5808,0,不好吃，包子还不熟，都硬邦邦的,31.25436995265414
2679,1,味道好，包装好，送餐及时，不错,16.7464745745724
11060,0,差评，退款太慢！我说的是百度！,43.06203431675302
10479,0,"送错了,打电话要求补送也不送",118.80748580898445
8079,0,送的时间太晚了，一个小时才送来,23.059696576550987
4617,0,送餐很慢，饿死了，味道很一般,24.242088602284017
2406,1,挺好的，速度也不错，以后还来,13.952620857430144
2682,1,大叔特别面善！饭食用料很好！,50.30150259061952
2442,1,大冷天的百度骑士真是辛苦了～,39.93511081233246
963,1,肉很多，味道不错，配送也很快,27.60070808095146
3617,1,饭菜香质量好，服务好，送饭快。,31.457961795178583
10792,0,一单元和二单元分不清...麻烦,7.758425992651873
2821,1,送餐快，阿田大虾一如既往的好吃,210.22446832250716
2108,1,菜挺多饭挺多就是牛肉丝质量一般,40.966757264795106
2832,1,送货很快，经常吃他家的，很棒,38.339091859893344
9713,0,送餐人员素质太差，不适合本工作,19.765751986076843
3122,1,"赞赞赞,很好吃,小哥送餐也很快",63.11635275802169
10897,0,味道还好，但是送餐实在是太久了,15.77135519368397
3793,1,都非常好，就是派送费有点贵！,22.986346729486755
6995,0,饺子都凉了还能吃吗，送来太慢了,43.86181493935525
1115,1,"好吃,就是太慢,两个小时才送到",23.642525727288568
6568,0,送餐慢，披萨巨小！还没餐具！！,350.3933141573234
2431,1,送餐很快，送餐人员很热情！～,33.92326564498794
1601,1,配送的真快，及时。很好好强大,125.53005445195132
7187,0,送餐太慢，等了两个小时，无语,43.810108296592446
3236,1,口味质量俱佳，送餐小伙很不错,99.17193589960684
7287,0,"咖啡撒了一兜子,还是凉的,服了",53.5153300151102
836,1,"很不错的一次,下次还会到这买",48.812021745429696
