,labels,text,ppl
8711,0,病人吃啊，挂面哈拉味，汤也腥。,153.71394907134524
5797,0,豆腐丝里吃出苍蝇，啥也不想说了,18.8919663270512
768,1,味道很好！送的也很快！好吃！,4.034912585838688
2518,1,菜品好，速度快，真是太好了！,7.071128276239665
7638,0,这家店就直接没送，接单不送的店,40.506702062794034
6583,0,送餐太慢太慢了～菜品还可以～,4.306888630793261
6692,0,"下次能送早点就好啦,快饿过劲啦",56.24674175775972
484,1,"很好吃量也很大都吃不完,赞一个",19.857699621167114
11295,0,下单2个小时才送到。无语了。,8.586895072739184
2826,1,谢谢师傅，辛苦了！非常准时！,4.332778112016809
11958,0,粉很好吃，但是订了卤蛋却没有。,23.23616954130736
4074,0,"吃到一半发现菜里有小强,简直了",17.511297244834925
1568,1,米饭是硬的。。不如上一次好吃,16.45828158411853
10881,0,米饭里有一只蟑螂，让人怎么吃,6.125787552360994
6353,0,咖喱鸡肉烩意面，不知鸡肉滋味,9.377194570813815
4765,0,很慢就不说了，关键是还不好吃。,12.638439491095362
370,1,态度很好，效率很高，给十分赞,6.137414297837456
11746,0,速度慢，第一次订餐就迟到，晕,9.737965068208458
8159,0,送餐走错路，袋子还破了………,18.11188257093944
2366,1,一直买他家的香脆鸡肉披萨，喜欢,6.503425353547831
866,1,"师傅辛苦了，谢谢,下雪注意安全",6.828769867745837
2743,1,又快又好棒呆了哈哈哈哈哈哈哈,14.53217773664798
9911,0,石锅拌饭里面吃出了塑料包装纸袋,38.30971434001663
5045,0,菜品没味道。。。周也是。。。。,23.05954134065903
1563,1,又快又好又便宜！真心给力！！！,5.1024306640393275
10234,0,面时间太长了，坨了，不好吃了,12.921918296582277
29,1,"送餐非常快,态度特别好,谢谢",3.636548415538533
6442,0,"太小了,味道一般,说多了都是泪",4.478894769508919
467,1,送餐员辛苦，饭也好吃，继续购买,6.242562770602204
58,1,"送餐特别快,送餐员态度也特别好",4.04974842882193
1652,1,很快，也好，包装也好，赞赞赞,12.444248520813185
4529,0,味道还行，就是送餐太慢了……,2.92231058951985
88,1,"又快又好,小哥态度很好,好评",6.4305118227846885
4524,0,"味道就那样把,盖浇饭挺难吃的",38.29601260379859
3085,1,外卖小哥人超级好。。。。。。,6.6102569941186635
10811,0,速度挺快的，面不好吃，都凉了,10.389668101751683
8052,0,"点两份鸡柳,就给送,一份。。。",93.77238481360169
5562,0,太慢，太小，吃不饱。味道还行,4.843327089886503
5132,0,不好吃。。。菜太少了。。。。,6.961499140203534
2537,1,配送非常快，10分钟就送到啦～,5.487059251924827
2730,1,人好速度快，好评好评好评！！,11.915432116698895
6256,0,米粉比以前份量少，没以前好了,12.11922263193987
2717,1,东西非常好，还是热的，辛苦了！,6.652018640840464
5791,0,给的豆皮果然多，只是肉变少了,38.20229111534445
434,1,很快，很好，经常订，谢谢师傅,6.202056258006569
2067,1,非常好吃，送餐很快，绝对好评,4.000049046463591
8096,0,就薯条还行！其他都不怎么样！,12.090751843075964
1952,1,味道还好。服务态度真的很好～！,4.692185430534846
6980,0,咋的跟饿了吗不一样的名，坑爹,64.58583608902256
2435,1,经常买这家的饺子，味道棒棒哒！,6.746213966462143
9055,0,没有在店里吃好吃，萝卜太多了,6.6342570522428765
1653,1,除了速度有待加强，其他都不错,3.1010894605694386
3654,1,没有餐具哦，还要自己点餐具么,23.706351564419954
1739,1,"服务不错,但是太难吃了啊啊啊",5.205796199820413
11045,0,面也太少了，才半盒，我就没吃饱,20.073528475803364
2626,1,非常的正宗，就是羊杂汤太咸啦,15.042305385999532
7925,0,午餐肉实在太难吃了，千万别点,5.851128278056686
5910,0,真的不适合外卖，另外，真难吃,7.779589538110827
11336,0,我的电话打不通，不知道为什么,3.3845242322293645
809,1,很好，速度飞快，炸鸡有点火大,19.93173272574181
661,1,太快了！！简直是神速啊！！！,3.998217693645042
396,1,"第二次买了,挺好的,以后继续",5.371026407332281
5702,0,我备注要的粥，结果送来的是饮料,38.90539654432778
