,labels,text,ppl
30574,0,怀疑是假货，洗发后感觉很不好,15.022861304430046
7598,1,手机质量很好哎，就是没有送礼品,10.791061881539177
43849,0,有差异的产品，下次不会选购了,8.285126276804718
10361,0,东西搭配了一堆没用的，给差评,11.611125598325724
3099,1,一般般 会有卡顿 看电影还行,45.88701425462819
28438,1,不错很满意，物流小哥很给力。,8.50710684284715
34577,0,京东的配送就这样吗？真是失望,7.046248309181593
12015,0,非常不满意，大型游戏根本玩不了,5.549118467509297
31819,0,垃圾京东，收钱不发货，趁早倒闭,18.441312705675593
42623,1,衣服面料很舒服，柔软，大小合适,6.126683049925083
43428,0,哎与图片差距太大真心接受不了,20.694590591401838
38964,1,面料很好，款式时尚 穿上很舒服,5.927722853021933
32231,0,洗发水不正宗的，洗完头皮屑很多,22.342212307624358
17545,1,京东商城的商品实惠，继续支持！,5.0043224178570895
36576,1,蒙牛出香蕉奶啦 味道还不错哦,47.141292103753784
6653,1,快递速度很快，平板用了还不错。,13.106058845727137
39896,1,大小合适，有弹力，辉常满意！,23.380881465307468
38971,1,刚收到货，很好，物超所值！！,14.967914640511285
41286,1,穿上变得特别帅，怎么呢？嘻嘻。,18.610062154512214
29583,1,超值值得购买！便宜实惠真的很好,6.47726202217112
12956,0,不咋好，显示不清楚，想贴膜的,30.830964273609226
31712,0,不好，这么贵还不好，我也是醉了,9.18866449329773
31680,0,啥时候到啊下单好几天了还没到?,18.92646199683798
60362,0,很一般，价格不高，但设备差！,9.487388195613606
45785,0,没穿几次就破2个洞，做工不好。,23.276520602346448
30820,0,被坑了，不好用，只能给一星?,41.69967559122293
10933,0,送货师傅不错，平板质量一般般,14.100119863831102
40218,1,穿上很舒服，面料不错，蛮好的,7.371858392387201
36597,1,蒙牛滴。。。口感醇厚，不错～,112.14578963512768
47403,0,衣服不行 ！！！ 快递也不给力,20.984937137445417
42213,1,质量好，做工精细。非常满意！,3.9252658082749585
31785,0,不好用，味道太浓，不适合男人,10.12806121794312
46015,0,质量没有想像的那么好，不要上当,4.957252256976049
42170,1,款式新颖，又合身，孩子很喜欢,6.879594871138813
43150,0,欺骗消费者！！！严重不符！！！,9.568469005384989
45415,0,商品没图上的好看，面料也不多好,28.31631645689206
30230,1,价格实惠，服务好，东西不错。,3.4855964095395997
47927,0,没收到商品，一个月了，差劲。,16.326340955941617
30018,1,好，不错，得蛮多的，划算，喜欢,18.569794649071657
26817,1,到货好快。服务好！东西满意！,6.19951213100733
5006,1,手机不错，屏大清晰，速度快。,14.045601200976554
44936,0,洗了掉色特严重，很硬，还没穿,38.19157085630016
16856,1,还味吃，现在觉得苹果越来越甜了,23.918495269173484
3845,1,不错 很喜欢 华为平板666,57.694135226978325
28242,1,洗发水好用，洗过头发很清爽…,21.60726594244021
42123,1,可以 比较满意 穿了再来评价,11.21230023555373
34621,0,有一瓶盖子烂了，流的到处都是。,16.345928027636898
33650,0,使用一般，和国货区别不是很大！,10.483550351929237
5554,1,好好的一个好的自己选的好好好货,38.66898105765659
30937,0,说好的吹风机在哪！太垃圾了！,14.603899902847195
60557,0,服务很一般，设施和装修也不好。,5.328139584392942
46810,0,真的和网上看的差别真大，好垃圾,9.76250971550808
25754,1,看着还可以，小的赠送旅行装不错,22.332752017864216
43705,0,物流太慢太慢，衣服不怎么样，,10.648086406023939
18630,1,个头小但很甜，用来做早餐正好。,8.190364343371217
41784,1,商品不错，物超所值。真实体验。,6.81936462045257
45106,0,非常一般，不推荐，不要贪便宜,4.797280759779855
31546,0,昨天收到今天就降价，太过分了！,11.618055122834305
43624,0,有股刺鼻的味道，还特别脏，差评,10.809162225224858
10107,0,差评，保护壳都没有，5星差评！,11.532985580452218
32824,0,不好用，不适合我的发质，起头屑,15.819369543578095
4883,1,不错物流给力，值得信赖，正品，,11.154371316515252
31305,0,发来就破了。。懒得跟客服叨叨了,43.83592849409866
17539,1,性价比真他们高。。。。够味还脆,152.2614651315163
3991,1,不错，给妈妈玩游戏用的，很喜欢,8.148514515580986
35438,1,安装好了，还没用，感觉挺好的,9.685698745504665
10959,0,骗子。垃圾货。收到的卡装不了,21.027640200279404
38859,1,衣服挺好的，我一下子买了两件,4.809037791589525
