,labels,text,ppl
23455,0,第二部就不该拍竟然还出第三部,7.96752602493125
37994,1,局气！规矩！管虎导了俩影帝了！,160.938834230031
45474,0,前半段真好看，后半段越来越萎,5.662051412083102
37018,0,前面的剧情看得我尴尬癌都犯了,2.3816431639838576
39152,0,混乱的情节，特么矫情无下限。,11.604466309180403
4952,0,适合能静得下心和有故事的人。,4.533619440899605
49922,1,最是人间留不住朱颜辞镜花辞树,104.90336176352463
18895,1,超级治愈又感人，狗狗真的好暖心,8.270383378068562
16855,0,密室设定很有意思，可惜未能维持,8.684061819365876
33344,1,原来巴萨的德国馆还有这个用处,7.54580650101776
43014,1,丫丫真的太美了，前夫哥好可爱,8.573188936012055
30945,0,烂的一逼，啥都没有，狗屁不通。,14.519307496376676
11202,1,这个玛丽苏我喜欢很好看求续集,10.044110927089742
43097,1,看了点映，好多戳中我泪点??,8.209460513426096
7229,0,郑恺和郭采洁还挺有cp感的。,6.74432372359538
46824,0,民乐要靠二次元来拯救了嘛……,16.73346059037678
44791,1,反正我追完了，为了女主的颜值,6.51914677637121
40750,0,我朋友说，她尴尬得想原地去世。,55.91231326905515
24357,0,今年作品太多了，有点透支了。,5.51008241091182
12065,0,我是真的觉得孙悟空的扮相太丑了,2.1617178760916165
44782,1,还可以吧……感觉题材还算新颖,3.0632077867754695
11314,0,看完情圣来评评这部这部比情圣好,3.821443902075293
19047,1,它令我想起曾经怦然心动的轻吻,5.604710762968972
45899,0,发哥抄着烂片专业户就去了。。。,123.77700101374423
14214,0,第一集演得什么玩意儿，尴尬死了,5.577138419534441
31414,1,热热闹闹的，看得我好开心啊。,3.0276651399458507
25276,0,煽情煽成了MV，大家都笑了。,22.57218882376439
47776,1,最喜欢的科幻故事，很成功的改编,2.5400761722897864
45012,1,还算可以哦，故事讲的挺精彩！,4.380260080785667
49786,0,被黑天鹅惊艳到了！美轮美奂！,2.6135447495635264
11029,0,到底在演什麼啊？？大爛片！！！,45.46226302410653
30704,1,卧槽我竟然看过啊啊啊啊啊啊啊,3.2466633076041402
3121,1,你无车无楼无番狗做乜要拖我手,84.0727865528258
9512,0,最弱版劳拉了吧？太弱了太无聊了,15.532596098683339
15976,0,重拍经典，孩子对恐惧的克服。,6.0982544221216095
26862,1,太好看了！笑得我内分泌失调！,3.695288864098635
30395,0,本来两星，加一星给受罪的演员吧,10.397771467009504
22972,0,《星际特工：全宇宙看我们尬爱》,25.322949182143596
30570,0,特效不错啊，但剧情就大简单了,6.840421079049852
20588,0,气氛到位，演员不存，故事简单！,5.120046689295444
13869,0,看的点映，形式“精致”的大烂片,44.80229633357002
24216,1,最后居然没搞你们还是人吗？？？,8.954046865602722
32991,0,平淡真实不温不火我没懂哭点在哪,15.771629734422671
1732,1,其实伍迪哈里森演的是一个天使,12.063320619796768
4472,1,陈可辛拍商业文艺片真的不错~~,4.334906560558279
33439,0,泡泡妹子打打架，兄弟情在哪？,11.120965454267212
11847,0,一部非常尬的电影。不推荐观看。,8.724245872101125
16369,0,张艺谋式的漂亮画面，何必3D。,11.856247063848597
31321,0,"我不信你们没东西怼地雷啊=""=",31.92429683924604
18949,1,少男少女必看，爱与美的启蒙。,5.454664477941105
32102,1,迪斯尼的动画很赞，配乐很好听！,3.84179863331171
9630,1,喜欢坎妹素颜的劳拉，期待后续。,32.139988291846024
1571,1,演小安生的小朋友很像岳云鹏啊。,17.620037169053845
38226,1,你猜不到的结局…猜不到的惊异…,6.264068927217434
17406,0,卡尔文老师不是触手，是海蜇皮啊,35.969746582659546
24554,1,我不会说情话，只知道陪着你。,2.845698531133868
6181,1,腕龙站在码头哀嚎的场景太泪目了,36.676509889562105
6583,0,比较难看的伪记录僵尸片...,9.839337128146052
6224,0,cctv6盛产类似的古装片……,17.95984681435019
39086,0,打一星以上的人都是咋想的！！！,8.851401661010913
14019,0,好吧，为了阿姨们的搏命演出。,16.419284200213756
10409,0,勉强合格。觉得周冬雨有点厉害。,4.134555971529095
24108,0,Highlyoverrated,163.8080417132334
21295,0,干了这碗毒鸡汤，来世不见张嘉佳,27.871861008890047
6067,1,妈的吓死我了叫得我嗓子都哑了,7.368665874583699
9505,0,寻父，遇彦祖。掘墓，炸病毒。,46.30826090821091
41265,0,嗯电影院椅子挺舒服，睡得挺好,10.779585077430216
48553,1,Pixar真的没有让我失望过。,6.672259955848767
24690,1,看完只想把所有好东西都给它……,2.908086699521828
6635,1,我给你四星，反正我就是胆小。,7.403324764710517
4338,1,除了人贩子，所有人都是受害者,3.3207832065817584
25535,1,逃离已知世界的勇气令人敬佩。,3.6889410123396127
17716,1,老一套温情，稍稍让我有点麻木,14.822141219984625
47637,0,我特么就想知道那句中文是什么,4.813976498547557
8508,1,好看！但是最后那关不过瘾???,4.771466952283054
23534,1,谁能拒绝穿护士服的余春娇呢？,8.499898247119479
26207,0,太恶心了~不要看~建议哈···,11.99333239114905
28591,0,主角明明是章鱼，你叫潜艇总动员,9.209016719671332
19643,0,没看。但是五星水军太恶心了。,22.534295139626263
31415,1,爽着爽着导演就给你喂了一口屎,4.588139336509973
2047,0,好的地方都是老舍的。★★★☆,43.89492934406889
9358,0,感觉在铁匠铺呆了一宿。。。。,8.563072056749174
27611,1,勇敢、努力、坚强的女孩都是公主,3.117986260645465
24947,0,埃德加赖特的GTA6？太屎了,129.07434270672397
24137,0,小哥有精神洁癖呀，这点好赞。,6.897082167420448
18739,1,永远不要忘记你所爱的人，感动,3.4002161303190923
26928,0,把所有人都拍这么难看太不容易了,3.8349590988664484
15616,1,就想知道睡觉打呼噜的人怎么办,3.1894178629318546
49084,1,能把蒜皮当雪花的姑娘你真好。,8.954668938529768
46654,0,我没想到加分项竟然是景甜老师。,8.52955347378736
31054,0,交通安全宣传片，情感关系咨询片,3.0817895436315097
22682,1,Kylo在色誘Rey啊啊啊！！,189.38994708106918
21126,0,演员升级，故事降级，无聊透了。,7.088935923785609
19669,0,车行径你妈逼去死！杀人凶手！,84.9827494462343
38351,1,最后奔跑拥抱那里真的好感动。,10.862581196584669
29835,0,女个坏女人挺好看的，好友真真,65.07854206712007
20290,0,犯我中华者，虽远必诛其超市！,23.96583860541502
32379,1,我眼拙。不过剧情还是吸引人的。,10.301138742946401
7517,1,看哭了，我是不是自我代入太努力,12.638189962887004
47322,1,生命不止，奔跑不息。励志电影,3.2324068448200305
48159,1,全片都是彩蛋。最后两个彩蛋。,3.8942496424079796
39334,0,馮小剛的電影，簡稱「尬影」。,18.773081099648344
30801,0,特效不错吧，其他没什么感觉。,4.934956771299467
48912,0,莫名其妙，演到一半变得毫无逻辑,5.174917333740907
27998,0,好玩，看完很放鬆的輕鬆喜劇。,8.696638227221598
5783,0,为了第三部放恐龙也是牛逼……,9.245576504569025
25444,1,剧情紧凑，案件逼真，很好看。,4.369743997369991
45902,0,发哥近年来也都是接的烂片子啊,17.854995709073023
41165,0,不是赵丽颖差，而是朱琳太好。,7.354523861747147
3114,0,题材不错，可惜片子真的很一般。,3.405050676685595
28516,1,披着科幻片外衣的恐怖悬疑电影,2.3743302013515493
45673,0,他们都在打酱油不要冤枉甜老师,10.202387184157299
44474,0,虐杀白垃圾的感觉真的会超爽吧,20.140499426150956
2914,1,verycd上的三级太强悍了,27.637688811989197
36553,1,比我想象的好看，和妈妈一起看的,4.235637104408747
35983,0,世人久不见苍鹰，竟觉秃鹫美。,63.51762558346061
24574,1,看完了真的值得深思，很有深意。,2.6715150306564017
16765,1,赞美可爱善良孝顺的帕丁顿熊！！,36.31765107969241
3072,0,忘了讲什么了。7分吧。看完了,7.565981042506874
43841,0,立体机动装置的镜头拍得真是丑啊,13.141451647567811
13535,1,答应我一定要去看3D的好吗？,4.452768871272273
27935,1,能吓到人的恐怖片就是好恐怖片,5.146002666207351
37463,1,“这房间里面的书都是你的了”,9.081435160746329
17012,0,傲慢自大的朝鲜人领导了此电影,6.411102900689912
50167,0,下錯片來看了，這片看著噁心。,41.014853128541304
25900,0,把功夫都用在P超人的胡子上了,13.212608802411697
43522,1,我不管反正我看哭了我要给五星,10.235934814629466
14127,0,梦蝶的发型是模仿鲶鱼设计的吗？,9.304401154041207
40591,1,“你出得了海，你上得了岸吗？”,4.499310915842323
23780,1,绝望感，徒劳感一点点地蔓延。,17.037281924948324
33622,0,哇，大咖云集的大烂片。。。。,8.651147813185778
6131,1,真正的大片，真正的视觉盛宴。,4.021120371666514
49046,1,仗义每多屠狗辈，负心总是读书人,108.68954913552177
23480,1,你爱我我爱你你变成我我变成你,2.0377670060311743
30778,0,只是猩猩版的胜利大逃亡或者越狱,18.739684377561773
26793,1,休闲娱乐的一部童话故事片子。,2.875943568282259
47988,1,尊重与认同，是靠实力争取来的,3.8938555483903103
7844,0,最后还逼着看了场广场舞好尴尬啊,8.039936015097148
16611,1,休格兰特荣升英国周润发宝座【,42.69347397385274
7068,1,最后怎么突然就玄幻起来了？！,16.018087627498748
33251,1,反转反转大反转，值得好好用心看,6.965801825966031
34533,0,三星半吧。女主挺美。剧情太扯。,18.846063462663842
41274,0,我不懂林志玲存在的意义是什么,2.3987754736953644
2571,1,我还蛮喜欢的vintage耶,16.811706193775514
7017,0,视听成熟，剧作幼稚，表演出色。,8.481456492917653
33663,0,渣看首映看的睡着为中国电影难过,20.034770576483602
41653,0,这是东野圭吾被黑得最惨的一次,2.915857704357321
25798,1,挺好看干嘛取这么一个傻中文名。,12.522812474997885
37930,0,其实很一般，老流氓逝去的青春,9.012322078376501
41139,1,称得上是国漫精品了。继续努力。,5.431844641217415
44855,0,一把年纪还在拍动作片也是心疼…,5.963662959843077
6199,0,哈哈哈哈哈哈哈哈哈哈哈哈哈哈,2.2099221395112307
23669,1,人性的丑陋，不敢看透的人心。,9.479840532723713
40921,1,我相信，看粤语效果会好很多。,7.606578071715655
5358,0,我怎么就这么讨厌这部电影呢？,2.4186481141260563
31300,0,合格爆米花大片附加價值觀輸出,84.60654124929141
47443,1,故事不是关键，弥漫的氛围完胜。,7.580518289988265
19329,1,一生筚路成天地，半恨亲仇错缘君,468.06287842937746
30647,1,还行，大猩猩很酷xxoo都懂,27.460358928380224
20601,0,禁闭自己的永远都是内心的魔障,13.311023266636525
27721,1,视觉效果，故事和音乐都值五星。,5.970533692919326
14381,0,演技在线，剧情太狗血，已弃剧。,3.791762631520168
29587,0,看到同性恋题材，就忍不住给一星,7.213928183358972
48737,0,歌舞剧，唱唱跳跳还是不错的。,4.348575414948158
50409,0,工业合格，但就没有一个点戳到我,19.40767857188471
1758,1,我和我边上的大叔一直在抹眼泪,5.857378024692422
23547,1,坚持住十分钟影院并没有放错片,12.79410291146214
27665,1,迪斯尼已经掌握了套路的水龙头,15.683146670775514
39726,0,汤姆汉克斯总能逮到机会跑两步,11.774949068196896
8664,0,好看是好看，但是不值那么高分,5.713322119051553
2319,0,恕我愚昧，不太懂讲了些什么。。,5.988036122022321
4770,1,真的是开怀大笑。还不被灌鸡汤,9.910023234421121
34765,0,呵呵，挑了这对侠侣可够XIA,55.11838570143361
43012,1,丫丫的美看着舒服，还是值得的,5.70940046345406
35486,1,尺度真大…超过好莱坞了…我喜欢,8.86371711003154
46075,1,依旧霸气四射，最后的自杀是败笔,10.557832463836291
5106,1,好爱这个导演，可爱的老头么么哒,7.17950372219176
27913,0,还行吧，杀杀时间还是没问题的。,7.03954167564847
32931,1,最近看的一部电影……哈哈哈哈哈,2.5659855163496355
19843,0,这片名，也是醉了，剧情也一般,9.357568056007297
40765,0,烂死了的片子，完全没有演技可言,5.460388327699107
27377,1,"Youjump,Ijump.",15.091625854947427
15068,0,在云山这一大段剧情，太作了。,36.32430489692011
10327,0,不就一国产玛丽苏么有几把个甜,85.55449765134722
47218,1,那个时候的小汤哥真帅！演技惊艳,4.372078000118135
7838,0,把李治廷当成王力宏从头看到尾,8.882790328275917
33992,1,告诉我有多少人只是来看小黄人的,4.741291355641291
15138,1,百合小姐姐颜值巅峰，温柔似水。,6.022711691059235
22189,0,高考思想，中考提纲，小学情怀,10.93701419306005
27336,1,撸辣么多次的片居然没打分...,18.864996153516636
30785,0,感觉人类小女孩就是个摆设……,6.240525169102022
34175,0,前面做的很认真中间拖了点烂尾,5.797622617940741
45959,0,一颗心给玉木宏另一颗心给苏有朋,35.98739225889413
8987,1,作为一个媒体人真的是热泪盈眶。,2.177410942139626
13193,1,好吧老贼，这次算被你煽到了…,33.371448430862564
6728,0,怎么笑？爆笑的都是什么人啊？,5.723258650247459
44702,0,我承认我只是想看热巴....,8.261526796009406
34149,0,现在的香港喜剧，是比谁更烂吗？,9.508517019114613
31158,1,在瑞恩面前，没有理智的评分。,12.803715454044452
38384,1,经典到不知道用什么言语来评价它,4.045407991686903
50202,0,可以排进我看过的最烂电影前三。,4.079090918415989
36073,1,又名《这世间女子都不爱沈炼》,31.643504435679603
34034,1,可爱到爆的啦！全片脑内布兰妮！,88.407085975089
22472,0,没有男主，防守作战，意思不大。,11.554217552163442
2174,1,范伟演的好，和耳朵大有福一样。,24.732890089573374
43765,0,看了五分钟决定来打完分走人……,16.94718703359489
50312,1,BlackDahlia·山寨货,186.8125817013648
39261,1,你觉得我的小么？我也没见过大的,5.318774909459145
33361,1,整个看到鸡皮疙瘩大起，爱死了。,17.091261491177786
36345,1,为了陈导，破例为国产片打高分！,19.446242427159554
17282,1,两只法鲨傍地走安能辨我是攻受,723.9350155316334
43364,0,要不是冲着文章那三字一星都不给,26.871762327139358
26682,0,所以这套兔子都什么混蛋三观？,29.604550588405566
18612,1,发现讨论区很多智商很低的人耶。,6.971985244335613
24974,0,不过不失，后半段剧情有点失控了,11.165336253660646
20834,1,看颜值，看服装，剧情可以忽略。,3.244013847499968
25404,0,女主人设太太太太讨人厌了弃了,18.82647895366351
18847,1,我认识的人越多，我就越喜欢狗。,3.4521716735170633
30884,1,温情又悲壮，感人且充满力量。,8.535823105622983
47411,1,众多大牌呢。。。你看看都有谁。,12.965672861367564
10920,0,第3颗星给黄秋生。。。哎。。。,49.87981976303147
6817,0,恩，这片子应该叫《中二接盘侠》,6.535767504762808
14610,0,英文片尾曲响起的时候我报警了,3.9460632704942094
12211,1,情爱是一个永远说不完的话题。,4.295229950893761
18881,1,看的时候哭成狗，心痛的不行。,3.517482700091919
20568,0,女主颜值加一颗星，故事本身无聊,5.195345646137009
3918,0,等我被求婚的时候我也要烟花?,18.93499246576081
26664,0,兔子一点都不可爱，简直想掐死,4.57574692406795
18969,1,懵懂的才是这个世界最好的。。。,6.237344042053541
10748,1,这他妈才是黑处有什么喔，牛逼,62.49339944056616
25057,1,与其他故事有借鉴，原声加一个星,26.626717814855734
14380,0,曾经的女神现在演这种狗血剧了,4.074271679033156
11114,0,开始看就希望快点结束的电影。,4.989952678850531
2418,0,太蠢了，不能把侦探一起干掉？？,35.908807407969086
46843,1,【用尽我的一切奔向你】-周笔畅,4.8676733698913095
2436,0,翻拍片，但质量实在是太低了。,10.452622219057679
17791,1,我相信上帝为我开了很多扇窗。,2.8585510223271293
20706,0,郑爽整容后，每个表情都好奇怪,2.933621665779603
32882,0,其实不错但作为盲系列感觉……,20.302168704824517
25159,0,各种土。居然林志颖都没帅起来,13.18448401013225
32233,1,那时小的看这片还有些智力困难,20.36023500948178
27089,0,很久没有看到这么恶心的电影了,5.742234507020312
46059,0,悬疑不够，刺激不够，精彩不够,1.8552994476418632
4054,0,霸道总裁人人爱！好看！我喜欢！,3.2190107265016352
10830,0,幸好是下载看的，不知所云的电影,21.130737317579563
34018,1,萌萌哒，你在这里，不离不弃……,2.5956364473375046
25438,1,2018第一部让我追到天亮的剧,14.586695545768787
28379,0,newagebullshit,458.55047748771017
30297,0,情节过于牵强，动作又有些混乱。,5.485084860074407
32033,1,希望自己也能像朱迪一样吧……,4.305346212397686
9160,1,“相忘于江湖，不如相濡以沫。”,2.0165888646692567
10970,0,看到这个组合电影也就不用看了,4.423642660348656
25101,1,虽然翻了很多次白眼但还是很好看,4.58909275352583
8931,1,我们也许也在经历尼克松时代。,4.937488513222048
44399,0,本来期望挺高，实际上漏洞百出,4.402158215212426
20496,0,只顾自己心机婊，玩弄两男不顾情,65.27267440172702
48717,0,剧情比较简单，但是音乐非常棒。,2.2369004333408746
19138,0,这怪物的形象真是不忍心吐槽啊。,5.160773197029382
21803,1,什么是好电影，这就是好电影。,2.724875254333113
30139,1,汪星人给现在喵星人主流的反击！,8.711310434663105
15894,1,秋华，等到马上就要得到幸福啦,27.329618918516594
7744,1,美好的东西注定只能潜藏在角落,3.984465136633425
38412,1,逆境中的挣扎在绝望中生出一朵花,4.94660533146113
26358,0,烂电影？我听过谁说好看来着？,10.398741876147483
5344,1,这种青春。你国人只有看的份。,36.39808785169462
25742,1,taron唱歌太jb好听了。。,53.89979534453055
39856,1,这题材居然舍得平实，毫不煽情,35.65673371199642
32432,1,一环接一环，很烧脑，有意思。,4.477954457978509
