,labels,text,neg_logits,pos_logits
30574,0,[MASK]高兴。怀疑是假货，洗发后感觉很不好,13.807047,12.843258
7598,1,[MASK]高兴。手机质量很好哎，就是没有送礼品,12.550847,13.086602
43849,0,[MASK]高兴。有差异的产品，下次不会选购了,12.567618,12.783644
10361,0,[MASK]高兴。东西搭配了一堆没用的，给差评,13.5630245,11.40928
3099,1,[MASK]高兴。一般般 会有卡顿 看电影还行,11.959896,11.188991
28438,1,[MASK]高兴。不错很满意，物流小哥很给力。,10.915497,15.489861
34577,0,[MASK]高兴。京东的配送就这样吗？真是失望,12.827177,12.094041
12015,0,[MASK]高兴。非常不满意，大型游戏根本玩不了,14.268256,12.82084
31819,0,[MASK]高兴。垃圾京东，收钱不发货，趁早倒闭,12.42197,11.610261
42623,1,[MASK]高兴。衣服面料很舒服，柔软，大小合适,10.192155,13.569073
43428,0,[MASK]高兴。哎与图片差距太大真心接受不了,12.861695,12.565107
38964,1,[MASK]高兴。面料很好，款式时尚 穿上很舒服,10.409098,14.524996
32231,0,[MASK]高兴。洗发水不正宗的，洗完头皮屑很多,13.092515,12.3090315
17545,1,[MASK]高兴。京东商城的商品实惠，继续支持！,10.5479145,15.2839155
36576,1,[MASK]高兴。蒙牛出香蕉奶啦 味道还不错哦,10.29167,11.873613
6653,1,[MASK]高兴。快递速度很快，平板用了还不错。,11.316346,13.632003
39896,1,[MASK]高兴。大小合适，有弹力，辉常满意！,8.881026,13.022993
38971,1,[MASK]高兴。刚收到货，很好，物超所值！！,10.001943,13.754218
41286,1,[MASK]高兴。穿上变得特别帅，怎么呢？嘻嘻。,11.8932,12.916988
29583,1,[MASK]高兴。超值值得购买！便宜实惠真的很好,8.903598,13.552372
12956,0,[MASK]高兴。不咋好，显示不清楚，想贴膜的,13.273679,11.440541
31712,0,[MASK]高兴。不好，这么贵还不好，我也是醉了,12.844431,11.832914
31680,0,[MASK]高兴。啥时候到啊下单好几天了还没到?,11.915602,13.526576
60362,0,[MASK]高兴。很一般，价格不高，但设备差！,11.309113,13.046772
45785,0,[MASK]高兴。没穿几次就破2个洞，做工不好。,13.020389,11.896935
30820,0,[MASK]高兴。被坑了，不好用，只能给一星?,12.395707,11.806049
10933,0,[MASK]高兴。送货师傅不错，平板质量一般般,11.3955965,12.2990055
40218,1,[MASK]高兴。穿上很舒服，面料不错，蛮好的,10.80547,13.815518
36597,1,[MASK]高兴。蒙牛滴。。。口感醇厚，不错～,9.298148,11.723135
47403,0,[MASK]高兴。衣服不行 ！！！ 快递也不给力,14.124264,11.063781
42213,1,[MASK]高兴。质量好，做工精细。非常满意！,9.261623,14.407581
31785,0,[MASK]高兴。不好用，味道太浓，不适合男人,12.963807,10.742365
46015,0,[MASK]高兴。质量没有想像的那么好，不要上当,12.291778,12.241513
42170,1,[MASK]高兴。款式新颖，又合身，孩子很喜欢,10.343713,13.828449
43150,0,[MASK]高兴。欺骗消费者！！！严重不符！！！,13.405586,11.609835
45415,0,[MASK]高兴。商品没图上的好看，面料也不多好,12.176015,11.761639
30230,1,[MASK]高兴。价格实惠，服务好，东西不错。,9.781184,12.983056
47927,0,[MASK]高兴。没收到商品，一个月了，差劲。,13.9327345,12.226518
30018,1,[MASK]高兴。好，不错，得蛮多的，划算，喜欢,10.742947,11.438738
26817,1,[MASK]高兴。到货好快。服务好！东西满意！,9.620158,13.527073
5006,1,[MASK]高兴。手机不错，屏大清晰，速度快。,10.913546,13.2168045
44936,0,[MASK]高兴。洗了掉色特严重，很硬，还没穿,12.737748,12.783983
16856,1,[MASK]高兴。还味吃，现在觉得苹果越来越甜了,12.313081,12.297482
3845,1,[MASK]高兴。不错 很喜欢 华为平板666,11.527662,14.118376
28242,1,[MASK]高兴。洗发水好用，洗过头发很清爽…,9.99407,14.016621
42123,1,[MASK]高兴。可以 比较满意 穿了再来评价,11.110243,12.758969
34621,0,[MASK]高兴。有一瓶盖子烂了，流的到处都是。,11.510024,13.4323435
33650,0,[MASK]高兴。使用一般，和国货区别不是很大！,11.320201,13.086359
5554,1,[MASK]高兴。好好的一个好的自己选的好好好货,10.276875,12.574143
30937,0,[MASK]高兴。说好的吹风机在哪！太垃圾了！,13.012987,11.61469
60557,0,[MASK]高兴。服务很一般，设施和装修也不好。,13.321703,13.332931
46810,0,[MASK]高兴。真的和网上看的差别真大，好垃圾,12.373994,12.105451
25754,1,[MASK]高兴。看着还可以，小的赠送旅行装不错,11.2220745,11.808481
43705,0,[MASK]高兴。物流太慢太慢，衣服不怎么样，,13.207755,12.037513
18630,1,[MASK]高兴。个头小但很甜，用来做早餐正好。,10.443938,12.434648
41784,1,[MASK]高兴。商品不错，物超所值。真实体验。,10.571034,13.180394
45106,0,[MASK]高兴。非常一般，不推荐，不要贪便宜,12.331994,12.568091
31546,0,[MASK]高兴。昨天收到今天就降价，太过分了！,13.53807,13.617538
43624,0,[MASK]高兴。有股刺鼻的味道，还特别脏，差评,14.102526,11.652147
10107,0,[MASK]高兴。差评，保护壳都没有，5星差评！,13.626956,12.434995
32824,0,[MASK]高兴。不好用，不适合我的发质，起头屑,14.241239,12.627899
4883,1,[MASK]高兴。不错物流给力，值得信赖，正品，,10.335482,12.623353
31305,0,[MASK]高兴。发来就破了。。懒得跟客服叨叨了,11.7202015,10.337894
17539,1,[MASK]高兴。性价比真他们高。。。。够味还脆,9.727811,10.441431
3991,1,[MASK]高兴。不错，给妈妈玩游戏用的，很喜欢,11.64758,13.4801655
35438,1,[MASK]高兴。安装好了，还没用，感觉挺好的,11.90566,13.189276
10959,0,[MASK]高兴。骗子。垃圾货。收到的卡装不了,13.525205,10.904808
38859,1,[MASK]高兴。衣服挺好的，我一下子买了两件,12.526303,13.69131
33344,0,[MASK]高兴。还品牌垃圾要死，越洗越多头屑。,12.584464,10.778484
11811,0,[MASK]高兴。不好买来好后悔玩游戏好卡差评。,12.902106,10.981121
26497,1,[MASK]高兴。一如既往的快，态度好，日期新。,9.603442,13.3979845
39505,1,[MASK]高兴。裤子面料不错的 版型很喜欢啊,10.672834,13.386632
34065,0,[MASK]高兴。买了很多次，这次的是假货，失望,12.895746,12.094168
57426,0,[MASK]高兴。服务不好。乱收费，非常不满意！,15.832823,12.365889
10211,0,[MASK]高兴。cpu太差 一点都不流畅 亏了,12.114477,10.890266
6071,1,[MASK]高兴。真正好PAD，学英语不用愁啦,10.020274,12.227224
46500,0,[MASK]高兴。网上买几次都是烂货，不能相信。,13.464134,12.499364
39929,1,[MASK]高兴。裤子的质量真的不错，值得表扬！,10.987602,14.884586
47506,0,[MASK]高兴。穿了一次，扔了，好还是不好？,12.939383,11.446351
6287,1,[MASK]高兴。屏幕够大，上手容易，物流很快。,10.292105,14.084192
39475,1,[MASK]高兴。买回来很合适，老公很喜欢。。。,10.094886,14.365583
38335,1,[MASK]高兴。质量非常不错，穿起来很舒服。,10.23437,14.43157
32710,0,[MASK]高兴。就是好难受看到你日目的地后的吧,11.59814,12.066792
7812,1,[MASK]高兴。帮朋友买的，反馈信息还不错?。,11.353654,13.191247
33424,0,[MASK]高兴。快递丢失 不处理 没有维权渠道,12.866923,12.753562
39217,1,[MASK]高兴。很不错哦，我又要在买多一条了,10.938446,14.66113
35260,0,[MASK]高兴。这个商标都掉了，可能是二手货吧,12.362106,13.04475
19076,1,[MASK]高兴。苹果包装完好，吃起来香甜可口！,9.982247,12.795298
