,labels,text,neg_logits,pos_logits
23455,0,[MASK]开心。第二部就不该拍竟然还出第三部,10.610883,11.182483
37994,1,[MASK]开心。局气！规矩！管虎导了俩影帝了！,9.296111,10.003099
45474,0,[MASK]开心。前半段真好看，后半段越来越萎,9.378944,11.318858
37018,0,[MASK]开心。前面的剧情看得我尴尬癌都犯了,9.33768,11.337324
39152,0,[MASK]开心。混乱的情节，特么矫情无下限。,10.157519,9.652618
4952,0,[MASK]开心。适合能静得下心和有故事的人。,8.46501,10.758981
49922,1,[MASK]开心。最是人间留不住朱颜辞镜花辞树,7.8484244,8.993346
18895,1,[MASK]开心。超级治愈又感人，狗狗真的好暖心,8.466528,11.02233
16855,0,[MASK]开心。密室设定很有意思，可惜未能维持,9.394744,11.405137
33344,1,[MASK]开心。原来巴萨的德国馆还有这个用处,9.115164,12.161402
43014,1,[MASK]开心。丫丫真的太美了，前夫哥好可爱,9.281258,11.236962
30945,0,[MASK]开心。烂的一逼，啥都没有，狗屁不通。,11.053029,10.058207
11202,1,[MASK]开心。这个玛丽苏我喜欢很好看求续集,9.453484,12.062973
43097,1,[MASK]开心。看了点映，好多戳中我泪点??,8.689749,11.561637
7229,0,[MASK]开心。郑恺和郭采洁还挺有cp感的。,9.165983,12.0457945
46824,0,[MASK]开心。民乐要靠二次元来拯救了嘛……,9.642444,10.665882
44791,1,[MASK]开心。反正我追完了，为了女主的颜值,10.039614,11.270031
40750,0,[MASK]开心。我朋友说，她尴尬得想原地去世。,11.217767,11.562656
24357,0,[MASK]开心。今年作品太多了，有点透支了。,10.911707,12.896701
12065,0,[MASK]开心。我是真的觉得孙悟空的扮相太丑了,11.355226,11.695744
44782,1,[MASK]开心。还可以吧……感觉题材还算新颖,9.589508,12.421732
11314,0,[MASK]开心。看完情圣来评评这部这部比情圣好,9.497149,11.293271
19047,1,[MASK]开心。它令我想起曾经怦然心动的轻吻,7.723711,11.131074
45899,0,[MASK]开心。发哥抄着烂片专业户就去了。。。,10.606434,10.577819
14214,0,[MASK]开心。第一集演得什么玩意儿，尴尬死了,10.204685,10.822427
31414,1,[MASK]开心。热热闹闹的，看得我好开心啊。,9.491047,11.298758
25276,0,[MASK]开心。煽情煽成了MV，大家都笑了。,8.27504,11.575043
47776,1,[MASK]开心。最喜欢的科幻故事，很成功的改编,8.426048,12.563913
45012,1,[MASK]开心。还算可以哦，故事讲的挺精彩！,9.003496,12.337455
49786,0,[MASK]开心。被黑天鹅惊艳到了！美轮美奂！,8.812972,12.287483
11029,0,[MASK]开心。到底在演什麼啊？？大爛片！！！,9.626022,9.620784
30704,1,[MASK]开心。卧槽我竟然看过啊啊啊啊啊啊啊,10.265729,11.42985
3121,1,[MASK]开心。你无车无楼无番狗做乜要拖我手,9.064522,9.818321
9512,0,[MASK]开心。最弱版劳拉了吧？太弱了太无聊了,10.539971,10.90192
15976,0,[MASK]开心。重拍经典，孩子对恐惧的克服。,8.500974,10.537151
26862,1,[MASK]开心。太好看了！笑得我内分泌失调！,8.871755,11.189035
30395,0,[MASK]开心。本来两星，加一星给受罪的演员吧,9.808742,11.131365
22972,0,[MASK]开心。《星际特工：全宇宙看我们尬爱》,7.919236,10.885589
30570,0,[MASK]开心。特效不错啊，但剧情就大简单了,9.891254,11.733447
20588,0,[MASK]开心。气氛到位，演员不存，故事简单！,7.418211,11.358807
13869,0,[MASK]开心。看的点映，形式“精致”的大烂片,9.826377,10.121
24216,1,[MASK]开心。最后居然没搞你们还是人吗？？？,10.61816,10.665888
32991,0,[MASK]开心。平淡真实不温不火我没懂哭点在哪,9.936024,10.835904
1732,1,[MASK]开心。其实伍迪哈里森演的是一个天使,9.278172,11.526441
4472,1,[MASK]开心。陈可辛拍商业文艺片真的不错~~,8.17985,11.720694
33439,0,[MASK]开心。泡泡妹子打打架，兄弟情在哪？,9.751159,10.541999
11847,0,[MASK]开心。一部非常尬的电影。不推荐观看。,10.498813,11.403117
16369,0,[MASK]开心。张艺谋式的漂亮画面，何必3D。,8.529178,10.448771
31321,0,"[MASK]开心。我不信你们没东西怼地雷啊=""=",9.377993,10.1299925
18949,1,[MASK]开心。少男少女必看，爱与美的启蒙。,7.6010313,9.629311
32102,1,[MASK]开心。迪斯尼的动画很赞，配乐很好听！,8.059271,12.7457075
9630,1,[MASK]开心。喜欢坎妹素颜的劳拉，期待后续。,8.630381,11.213701
1571,1,[MASK]开心。演小安生的小朋友很像岳云鹏啊。,9.527622,12.520643
38226,1,[MASK]开心。你猜不到的结局…猜不到的惊异…,8.425401,11.251156
17406,0,[MASK]开心。卡尔文老师不是触手，是海蜇皮啊,8.767363,11.457473
24554,1,[MASK]开心。我不会说情话，只知道陪着你。,9.493806,10.947359
6181,1,[MASK]开心。腕龙站在码头哀嚎的场景太泪目了,9.334068,10.915546
6583,0,[MASK]开心。比较难看的伪记录僵尸片...,9.923903,11.372814
6224,0,[MASK]开心。cctv6盛产类似的古装片……,8.303741,11.038468
39086,0,[MASK]开心。打一星以上的人都是咋想的！！！,8.925829,10.268158
14019,0,[MASK]开心。好吧，为了阿姨们的搏命演出。,9.034264,11.250085
10409,0,[MASK]开心。勉强合格。觉得周冬雨有点厉害。,10.977212,11.735354
24108,0,[MASK]开心。Highlyoverrated,8.119912,10.271575
21295,0,[MASK]开心。干了这碗毒鸡汤，来世不见张嘉佳,9.029975,10.0656
6067,1,[MASK]开心。妈的吓死我了叫得我嗓子都哑了,10.445422,10.674365
9505,0,[MASK]开心。寻父，遇彦祖。掘墓，炸病毒。,9.388255,8.319795
41265,0,[MASK]开心。嗯电影院椅子挺舒服，睡得挺好,9.357041,11.926694
48553,1,[MASK]开心。Pixar真的没有让我失望过。,9.591046,12.923261
24690,1,[MASK]开心。看完只想把所有好东西都给它……,8.551204,11.259607
6635,1,[MASK]开心。我给你四星，反正我就是胆小。,9.751607,9.967995
4338,1,[MASK]开心。除了人贩子，所有人都是受害者,9.467442,11.684105
25535,1,[MASK]开心。逃离已知世界的勇气令人敬佩。,8.543462,11.663135
17716,1,[MASK]开心。老一套温情，稍稍让我有点麻木,10.306794,11.177934
47637,0,[MASK]开心。我特么就想知道那句中文是什么,9.68492,11.079204
8508,1,[MASK]开心。好看！但是最后那关不过瘾???,8.513915,11.192253
23534,1,[MASK]开心。谁能拒绝穿护士服的余春娇呢？,9.194919,11.395188
26207,0,[MASK]开心。太恶心了~不要看~建议哈···,11.69682,9.955934
28591,0,[MASK]开心。主角明明是章鱼，你叫潜艇总动员,9.991557,10.776153
19643,0,[MASK]开心。没看。但是五星水军太恶心了。,11.212829,11.297617
31415,1,[MASK]开心。爽着爽着导演就给你喂了一口屎,9.077012,10.450249
2047,0,[MASK]开心。好的地方都是老舍的。★★★☆,8.32673,11.104175
9358,0,[MASK]开心。感觉在铁匠铺呆了一宿。。。。,10.8988495,12.820605
27611,1,[MASK]开心。勇敢、努力、坚强的女孩都是公主,8.200924,10.379168
24947,0,[MASK]开心。埃德加赖特的GTA6？太屎了,10.617154,10.189498
24137,0,[MASK]开心。小哥有精神洁癖呀，这点好赞。,8.6648,11.257965
18739,1,[MASK]开心。永远不要忘记你所爱的人，感动,7.942598,9.747875
26928,0,[MASK]开心。把所有人都拍这么难看太不容易了,9.393981,11.858522
15616,1,[MASK]开心。就想知道睡觉打呼噜的人怎么办,12.837592,12.606636
49084,1,[MASK]开心。能把蒜皮当雪花的姑娘你真好。,9.014558,10.801434
46654,0,[MASK]开心。我没想到加分项竟然是景甜老师。,8.974616,11.669543
31054,0,[MASK]开心。交通安全宣传片，情感关系咨询片,7.7117963,9.865393
22682,1,[MASK]开心。Kylo在色誘Rey啊啊啊！！,8.469147,11.005529
21126,0,[MASK]开心。演员升级，故事降级，无聊透了。,10.793227,11.480025
19669,0,[MASK]开心。车行径你妈逼去死！杀人凶手！,9.762062,8.888736
38351,1,[MASK]开心。最后奔跑拥抱那里真的好感动。,8.482783,11.951629
29835,0,[MASK]开心。女个坏女人挺好看的，好友真真,10.2378235,10.793944
20290,0,[MASK]开心。犯我中华者，虽远必诛其超市！,8.204502,8.879523
32379,1,[MASK]开心。我眼拙。不过剧情还是吸引人的。,10.544382,9.587292
7517,1,[MASK]开心。看哭了，我是不是自我代入太努力,11.118413,11.167193
47322,1,[MASK]开心。生命不止，奔跑不息。励志电影,7.6149864,9.644278
48159,1,[MASK]开心。全片都是彩蛋。最后两个彩蛋。,8.795657,11.734706
39334,0,[MASK]开心。馮小剛的電影，簡稱「尬影」。,8.174378,9.326885
30801,0,[MASK]开心。特效不错吧，其他没什么感觉。,9.720741,12.380811
48912,0,[MASK]开心。莫名其妙，演到一半变得毫无逻辑,10.773567,10.48674
27998,0,[MASK]开心。好玩，看完很放鬆的輕鬆喜劇。,7.9326653,12.279854
5783,0,[MASK]开心。为了第三部放恐龙也是牛逼……,9.111974,11.212892
25444,1,[MASK]开心。剧情紧凑，案件逼真，很好看。,8.472915,13.080986
45902,0,[MASK]开心。发哥近年来也都是接的烂片子啊,10.718684,11.594314
41165,0,[MASK]开心。不是赵丽颖差，而是朱琳太好。,10.679901,11.690124
3114,0,[MASK]开心。题材不错，可惜片子真的很一般。,11.0795965,12.411582
28516,1,[MASK]开心。披着科幻片外衣的恐怖悬疑电影,9.006105,11.390726
45673,0,[MASK]开心。他们都在打酱油不要冤枉甜老师,8.901939,10.642295
44474,0,[MASK]开心。虐杀白垃圾的感觉真的会超爽吧,8.132502,10.994706
2914,1,[MASK]开心。verycd上的三级太强悍了,9.352524,11.89825
36553,1,[MASK]开心。比我想象的好看，和妈妈一起看的,9.256313,12.48758
35983,0,[MASK]开心。世人久不见苍鹰，竟觉秃鹫美。,8.024428,9.3724985
24574,1,[MASK]开心。看完了真的值得深思，很有深意。,9.60687,13.813203
16765,1,[MASK]开心。赞美可爱善良孝顺的帕丁顿熊！！,7.2609887,9.764831
3072,0,[MASK]开心。忘了讲什么了。7分吧。看完了,9.752925,12.241124
43841,0,[MASK]开心。立体机动装置的镜头拍得真是丑啊,9.857932,10.769236
13535,1,[MASK]开心。答应我一定要去看3D的好吗？,10.406033,11.693444
27935,1,[MASK]开心。能吓到人的恐怖片就是好恐怖片,9.388795,11.016267
37463,1,[MASK]开心。“这房间里面的书都是你的了”,9.703639,11.03973
17012,0,[MASK]开心。傲慢自大的朝鲜人领导了此电影,8.843728,10.910139
50167,0,[MASK]开心。下錯片來看了，這片看著噁心。,9.871778,11.325381
25900,0,[MASK]开心。把功夫都用在P超人的胡子上了,9.49137,11.381638
43522,1,[MASK]开心。我不管反正我看哭了我要给五星,9.880838,9.87253
14127,0,[MASK]开心。梦蝶的发型是模仿鲶鱼设计的吗？,10.118782,11.839832
40591,1,[MASK]开心。“你出得了海，你上得了岸吗？”,9.691903,10.696043
23780,1,[MASK]开心。绝望感，徒劳感一点点地蔓延。,14.454984,9.817648
33622,0,[MASK]开心。哇，大咖云集的大烂片。。。。,9.988865,10.946085
6131,1,[MASK]开心。真正的大片，真正的视觉盛宴。,7.1750183,10.784506
49046,1,[MASK]开心。仗义每多屠狗辈，负心总是读书人,8.851128,10.003815
23480,1,[MASK]开心。你爱我我爱你你变成我我变成你,9.100203,11.130108
30778,0,[MASK]开心。只是猩猩版的胜利大逃亡或者越狱,9.4309,11.4335785
26793,1,[MASK]开心。休闲娱乐的一部童话故事片子。,7.928591,10.985765
47988,1,[MASK]开心。尊重与认同，是靠实力争取来的,8.763007,10.558171
7844,0,[MASK]开心。最后还逼着看了场广场舞好尴尬啊,10.809541,11.112099
16611,1,[MASK]开心。休格兰特荣升英国周润发宝座【,7.895659,10.805501
7068,1,[MASK]开心。最后怎么突然就玄幻起来了？！,10.97728,11.3192625
33251,1,[MASK]开心。反转反转大反转，值得好好用心看,8.8124075,11.058186
34533,0,[MASK]开心。三星半吧。女主挺美。剧情太扯。,9.711844,10.329815
41274,0,[MASK]开心。我不懂林志玲存在的意义是什么,10.51415,11.299981
2571,1,[MASK]开心。我还蛮喜欢的vintage耶,8.683656,11.709017
7017,0,[MASK]开心。视听成熟，剧作幼稚，表演出色。,7.854469,10.3536005
33663,0,[MASK]开心。渣看首映看的睡着为中国电影难过,10.115193,11.4183035
41653,0,[MASK]开心。这是东野圭吾被黑得最惨的一次,9.846662,11.862309
25798,1,[MASK]开心。挺好看干嘛取这么一个傻中文名。,9.653919,10.32328
37930,0,[MASK]开心。其实很一般，老流氓逝去的青春,10.100068,11.628027
41139,1,[MASK]开心。称得上是国漫精品了。继续努力。,8.5339,13.175986
44855,0,[MASK]开心。一把年纪还在拍动作片也是心疼…,9.032377,11.078805
