,labels,text,ppl
23455,0,第二部就不该拍竟然还出第三部,10.832309363525916
37994,1,局气！规矩！管虎导了俩影帝了！,330.72101878579235
45474,0,前半段真好看，后半段越来越萎,8.263315929349728
37018,0,前面的剧情看得我尴尬癌都犯了,3.3905239394972524
39152,0,混乱的情节，特么矫情无下限。,12.926959635115299
4952,0,适合能静得下心和有故事的人。,5.9331885116570335
49922,1,最是人间留不住朱颜辞镜花辞树,136.70750495837262
18895,1,超级治愈又感人，狗狗真的好暖心,8.517504056061544
16855,0,密室设定很有意思，可惜未能维持,11.25570901794021
33344,1,原来巴萨的德国馆还有这个用处,13.964590800062975
43014,1,丫丫真的太美了，前夫哥好可爱,10.083980866828702
30945,0,烂的一逼，啥都没有，狗屁不通。,13.735796896626193
11202,1,这个玛丽苏我喜欢很好看求续集,21.234003538451628
43097,1,看了点映，好多戳中我泪点??,10.904039785114913
7229,0,郑恺和郭采洁还挺有cp感的。,8.129398935571713
46824,0,民乐要靠二次元来拯救了嘛……,25.757878776508896
44791,1,反正我追完了，为了女主的颜值,7.818897018961633
40750,0,我朋友说，她尴尬得想原地去世。,66.34018630416737
24357,0,今年作品太多了，有点透支了。,6.064935372180177
12065,0,我是真的觉得孙悟空的扮相太丑了,3.168370477557358
44782,1,还可以吧……感觉题材还算新颖,5.590916811456431
11314,0,看完情圣来评评这部这部比情圣好,6.338326301131796
19047,1,它令我想起曾经怦然心动的轻吻,7.586470345622612
45899,0,发哥抄着烂片专业户就去了。。。,174.01484231965188
14214,0,第一集演得什么玩意儿，尴尬死了,9.113063664345075
31414,1,热热闹闹的，看得我好开心啊。,3.4800836900109666
25276,0,煽情煽成了MV，大家都笑了。,26.8767279204574
47776,1,最喜欢的科幻故事，很成功的改编,3.52152023980688
45012,1,还算可以哦，故事讲的挺精彩！,7.128886379000956
49786,0,被黑天鹅惊艳到了！美轮美奂！,3.991804827090409
11029,0,到底在演什麼啊？？大爛片！！！,65.3612970433177
30704,1,卧槽我竟然看过啊啊啊啊啊啊啊,4.112645637360718
3121,1,你无车无楼无番狗做乜要拖我手,132.3796697647744
9512,0,最弱版劳拉了吧？太弱了太无聊了,21.219533031133025
15976,0,重拍经典，孩子对恐惧的克服。,8.12166728552586
26862,1,太好看了！笑得我内分泌失调！,5.952694565982862
30395,0,本来两星，加一星给受罪的演员吧,11.620683350388125
22972,0,《星际特工：全宇宙看我们尬爱》,36.95932825365535
30570,0,特效不错啊，但剧情就大简单了,10.653509870237126
20588,0,气氛到位，演员不存，故事简单！,8.656217212873965
13869,0,看的点映，形式“精致”的大烂片,68.18624151612116
24216,1,最后居然没搞你们还是人吗？？？,13.244039188383837
32991,0,平淡真实不温不火我没懂哭点在哪,19.19896601371743
1732,1,其实伍迪哈里森演的是一个天使,14.424283967612636
4472,1,陈可辛拍商业文艺片真的不错~~,6.910407757544523
33439,0,泡泡妹子打打架，兄弟情在哪？,17.906934940632674
11847,0,一部非常尬的电影。不推荐观看。,9.057553285549995
16369,0,张艺谋式的漂亮画面，何必3D。,12.67881751472604
31321,0,"我不信你们没东西怼地雷啊=""=",36.72868919966044
18949,1,少男少女必看，爱与美的启蒙。,6.077704328729387
32102,1,迪斯尼的动画很赞，配乐很好听！,6.80950417058997
9630,1,喜欢坎妹素颜的劳拉，期待后续。,47.00379576795394
1571,1,演小安生的小朋友很像岳云鹏啊。,20.52159289382521
38226,1,你猜不到的结局…猜不到的惊异…,9.472777460981332
17406,0,卡尔文老师不是触手，是海蜇皮啊,50.28863171624953
24554,1,我不会说情话，只知道陪着你。,3.7913491384715834
6181,1,腕龙站在码头哀嚎的场景太泪目了,67.85543504295147
6583,0,比较难看的伪记录僵尸片...,11.361260036629027
6224,0,cctv6盛产类似的古装片……,28.35056345268131
39086,0,打一星以上的人都是咋想的！！！,12.818328526621366
14019,0,好吧，为了阿姨们的搏命演出。,18.389537471518402
10409,0,勉强合格。觉得周冬雨有点厉害。,4.357618204382367
24108,0,Highlyoverrated,487.76210624855895
21295,0,干了这碗毒鸡汤，来世不见张嘉佳,45.79643035901862
6067,1,妈的吓死我了叫得我嗓子都哑了,9.441634658488885
9505,0,寻父，遇彦祖。掘墓，炸病毒。,69.1497791352468
41265,0,嗯电影院椅子挺舒服，睡得挺好,13.102970148563498
48553,1,Pixar真的没有让我失望过。,8.032801365504485
