,labels,text,neg_logits,pos_logits
30574,0,[MASK]车。怀疑是假货，洗发后感觉很不好,2.7342656,1.7410748
7598,1,[MASK]车。手机质量很好哎，就是没有送礼品,2.7705522,0.8855317
43849,0,[MASK]车。有差异的产品，下次不会选购了,1.7366856,-0.033433855
10361,0,[MASK]车。东西搭配了一堆没用的，给差评,1.9395084,0.354227
3099,1,[MASK]车。一般般 会有卡顿 看电影还行,1.2276663,-0.043598056
28438,1,[MASK]车。不错很满意，物流小哥很给力。,3.01904,0.39996082
34577,0,[MASK]车。京东的配送就这样吗？真是失望,2.593309,1.4121153
12015,0,[MASK]车。非常不满意，大型游戏根本玩不了,1.6667993,0.95828044
31819,0,[MASK]车。垃圾京东，收钱不发货，趁早倒闭,2.9548888,1.984008
42623,1,[MASK]车。衣服面料很舒服，柔软，大小合适,1.4859169,1.0189693
43428,0,[MASK]车。哎与图片差距太大真心接受不了,2.0746334,0.7137078
38964,1,[MASK]车。面料很好，款式时尚 穿上很舒服,2.8561742,1.4547569
32231,0,[MASK]车。洗发水不正宗的，洗完头皮屑很多,1.3241756,1.9472005
17545,1,[MASK]车。京东商城的商品实惠，继续支持！,2.8891149,1.2982455
36576,1,[MASK]车。蒙牛出香蕉奶啦 味道还不错哦,2.2287884,1.2920878
6653,1,[MASK]车。快递速度很快，平板用了还不错。,2.8540256,0.6754554
39896,1,[MASK]车。大小合适，有弹力，辉常满意！,3.4195666,0.84522885
38971,1,[MASK]车。刚收到货，很好，物超所值！！,3.7616057,1.9401246
41286,1,[MASK]车。穿上变得特别帅，怎么呢？嘻嘻。,3.0119686,2.1852758
29583,1,[MASK]车。超值值得购买！便宜实惠真的很好,4.1670947,1.862525
12956,0,[MASK]车。不咋好，显示不清楚，想贴膜的,2.7408442,1.14571
31712,0,[MASK]车。不好，这么贵还不好，我也是醉了,2.6424484,1.5861461
31680,0,[MASK]车。啥时候到啊下单好几天了还没到?,6.5288982,3.7091742
60362,0,[MASK]车。很一般，价格不高，但设备差！,2.7618551,0.9501714
45785,0,[MASK]车。没穿几次就破2个洞，做工不好。,3.4717696,2.4817421
30820,0,[MASK]车。被坑了，不好用，只能给一星?,3.003147,0.8419014
10933,0,[MASK]车。送货师傅不错，平板质量一般般,2.431742,0.29715672
40218,1,[MASK]车。穿上很舒服，面料不错，蛮好的,2.7599823,1.1348488
36597,1,[MASK]车。蒙牛滴。。。口感醇厚，不错～,3.4785657,2.5226922
47403,0,[MASK]车。衣服不行 ！！！ 快递也不给力,1.96992,0.93554205
42213,1,[MASK]车。质量好，做工精细。非常满意！,3.83043,1.1818587
31785,0,[MASK]车。不好用，味道太浓，不适合男人,2.8592544,2.0520048
46015,0,[MASK]车。质量没有想像的那么好，不要上当,2.7854452,1.5647409
42170,1,[MASK]车。款式新颖，又合身，孩子很喜欢,3.1016026,1.2055413
43150,0,[MASK]车。欺骗消费者！！！严重不符！！！,3.351698,1.9771162
45415,0,[MASK]车。商品没图上的好看，面料也不多好,2.4129164,1.204885
30230,1,[MASK]车。价格实惠，服务好，东西不错。,3.3148105,1.6906742
47927,0,[MASK]车。没收到商品，一个月了，差劲。,3.2662175,1.3932787
30018,1,[MASK]车。好，不错，得蛮多的，划算，喜欢,3.0433285,1.2995516
26817,1,[MASK]车。到货好快。服务好！东西满意！,3.1200972,0.6491623
5006,1,[MASK]车。手机不错，屏大清晰，速度快。,2.6885207,0.7928043
44936,0,[MASK]车。洗了掉色特严重，很硬，还没穿,4.1453085,2.7950592
16856,1,[MASK]车。还味吃，现在觉得苹果越来越甜了,1.8144332,1.2512505
3845,1,[MASK]车。不错 很喜欢 华为平板666,2.7284062,0.40075237
28242,1,[MASK]车。洗发水好用，洗过头发很清爽…,1.1654352,0.97776794
42123,1,[MASK]车。可以 比较满意 穿了再来评价,2.3519006,0.20353493
34621,0,[MASK]车。有一瓶盖子烂了，流的到处都是。,2.8031087,1.4314579
