,labels,text,neg_logits,pos_logits
23455,0,[MASK]高兴。第二部就不该拍竟然还出第三部,12.081432,11.787021
37994,1,[MASK]高兴。局气！规矩！管虎导了俩影帝了！,11.722248,9.935322
45474,0,[MASK]高兴。前半段真好看，后半段越来越萎,11.259993,12.925341
37018,0,[MASK]高兴。前面的剧情看得我尴尬癌都犯了,12.042658,12.825073
39152,0,[MASK]高兴。混乱的情节，特么矫情无下限。,11.967176,10.612402
4952,0,[MASK]高兴。适合能静得下心和有故事的人。,11.012699,11.417572
49922,1,[MASK]高兴。最是人间留不住朱颜辞镜花辞树,11.168581,10.894763
18895,1,[MASK]高兴。超级治愈又感人，狗狗真的好暖心,10.085874,12.855265
16855,0,[MASK]高兴。密室设定很有意思，可惜未能维持,10.504491,12.402378
33344,1,[MASK]高兴。原来巴萨的德国馆还有这个用处,10.310424,13.143577
43014,1,[MASK]高兴。丫丫真的太美了，前夫哥好可爱,11.696381,12.472119
30945,0,[MASK]高兴。烂的一逼，啥都没有，狗屁不通。,12.208141,10.030683
11202,1,[MASK]高兴。这个玛丽苏我喜欢很好看求续集,12.265403,14.827213
43097,1,[MASK]高兴。看了点映，好多戳中我泪点??,12.040643,13.752672
7229,0,[MASK]高兴。郑恺和郭采洁还挺有cp感的。,12.242396,13.833931
46824,0,[MASK]高兴。民乐要靠二次元来拯救了嘛……,10.035744,12.655967
44791,1,[MASK]高兴。反正我追完了，为了女主的颜值,12.874043,12.880116
40750,0,[MASK]高兴。我朋友说，她尴尬得想原地去世。,12.8888235,13.389056
24357,0,[MASK]高兴。今年作品太多了，有点透支了。,14.034225,15.005976
12065,0,[MASK]高兴。我是真的觉得孙悟空的扮相太丑了,13.583105,12.908933
44782,1,[MASK]高兴。还可以吧……感觉题材还算新颖,11.6722355,12.999674
11314,0,[MASK]高兴。看完情圣来评评这部这部比情圣好,11.881461,13.26884
19047,1,[MASK]高兴。它令我想起曾经怦然心动的轻吻,11.085569,13.616789
45899,0,[MASK]高兴。发哥抄着烂片专业户就去了。。。,11.38102,11.92332
14214,0,[MASK]高兴。第一集演得什么玩意儿，尴尬死了,12.2790575,11.960303
31414,1,[MASK]高兴。热热闹闹的，看得我好开心啊。,11.16433,13.472304
25276,0,[MASK]高兴。煽情煽成了MV，大家都笑了。,11.006273,13.719521
47776,1,[MASK]高兴。最喜欢的科幻故事，很成功的改编,11.246815,14.501022
45012,1,[MASK]高兴。还算可以哦，故事讲的挺精彩！,10.455382,13.027759
49786,0,[MASK]高兴。被黑天鹅惊艳到了！美轮美奂！,10.254669,14.010782
11029,0,[MASK]高兴。到底在演什麼啊？？大爛片！！！,12.803166,12.5032215
30704,1,[MASK]高兴。卧槽我竟然看过啊啊啊啊啊啊啊,12.085739,12.661841
3121,1,[MASK]高兴。你无车无楼无番狗做乜要拖我手,10.872801,9.992791
9512,0,[MASK]高兴。最弱版劳拉了吧？太弱了太无聊了,12.463424,12.475548
15976,0,[MASK]高兴。重拍经典，孩子对恐惧的克服。,10.741687,12.772105
26862,1,[MASK]高兴。太好看了！笑得我内分泌失调！,11.675774,12.844828
30395,0,[MASK]高兴。本来两星，加一星给受罪的演员吧,12.246776,12.119844
22972,0,[MASK]高兴。《星际特工：全宇宙看我们尬爱》,11.525363,14.058333
30570,0,[MASK]高兴。特效不错啊，但剧情就大简单了,11.576292,12.848879
20588,0,[MASK]高兴。气氛到位，演员不存，故事简单！,9.817512,11.680545
13869,0,[MASK]高兴。看的点映，形式“精致”的大烂片,11.913579,11.743553
24216,1,[MASK]高兴。最后居然没搞你们还是人吗？？？,11.986381,11.268421
32991,0,[MASK]高兴。平淡真实不温不火我没懂哭点在哪,12.4010105,11.957654
1732,1,[MASK]高兴。其实伍迪哈里森演的是一个天使,11.6594095,12.904139
4472,1,[MASK]高兴。陈可辛拍商业文艺片真的不错~~,11.473677,13.952531
33439,0,[MASK]高兴。泡泡妹子打打架，兄弟情在哪？,11.326729,10.475942
11847,0,[MASK]高兴。一部非常尬的电影。不推荐观看。,12.899882,13.392557
16369,0,[MASK]高兴。张艺谋式的漂亮画面，何必3D。,11.265904,12.497459
31321,0,"[MASK]高兴。我不信你们没东西怼地雷啊=""=",12.08114,11.845756
18949,1,[MASK]高兴。少男少女必看，爱与美的启蒙。,9.423246,11.768617
32102,1,[MASK]高兴。迪斯尼的动画很赞，配乐很好听！,11.051257,15.538682
9630,1,[MASK]高兴。喜欢坎妹素颜的劳拉，期待后续。,11.4647045,12.601401
1571,1,[MASK]高兴。演小安生的小朋友很像岳云鹏啊。,11.704458,14.067615
38226,1,[MASK]高兴。你猜不到的结局…猜不到的惊异…,11.697371,13.2719965
17406,0,[MASK]高兴。卡尔文老师不是触手，是海蜇皮啊,11.494488,13.223103
24554,1,[MASK]高兴。我不会说情话，只知道陪着你。,12.245893,14.068551
6181,1,[MASK]高兴。腕龙站在码头哀嚎的场景太泪目了,11.689461,12.3403015
6583,0,[MASK]高兴。比较难看的伪记录僵尸片...,12.031601,12.243777
6224,0,[MASK]高兴。cctv6盛产类似的古装片……,10.380606,12.644095
39086,0,[MASK]高兴。打一星以上的人都是咋想的！！！,11.33426,9.990802
14019,0,[MASK]高兴。好吧，为了阿姨们的搏命演出。,10.841031,13.498101
10409,0,[MASK]高兴。勉强合格。觉得周冬雨有点厉害。,13.244976,12.740947
24108,0,[MASK]高兴。Highlyoverrated,11.676201,12.984194
21295,0,[MASK]高兴。干了这碗毒鸡汤，来世不见张嘉佳,12.733742,11.642824
6067,1,[MASK]高兴。妈的吓死我了叫得我嗓子都哑了,12.36256,11.529965
9505,0,[MASK]高兴。寻父，遇彦祖。掘墓，炸病毒。,9.753194,9.025836
41265,0,[MASK]高兴。嗯电影院椅子挺舒服，睡得挺好,11.4872875,12.590995
48553,1,[MASK]高兴。Pixar真的没有让我失望过。,12.053874,16.22944
24690,1,[MASK]高兴。看完只想把所有好东西都给它……,11.257539,13.135069
6635,1,[MASK]高兴。我给你四星，反正我就是胆小。,12.494336,12.5269375
4338,1,[MASK]高兴。除了人贩子，所有人都是受害者,12.082749,13.830443
25535,1,[MASK]高兴。逃离已知世界的勇气令人敬佩。,10.0516205,14.166335
17716,1,[MASK]高兴。老一套温情，稍稍让我有点麻木,12.414119,11.742228
47637,0,[MASK]高兴。我特么就想知道那句中文是什么,11.738135,12.070723
8508,1,[MASK]高兴。好看！但是最后那关不过瘾???,8.656609,13.183142
23534,1,[MASK]高兴。谁能拒绝穿护士服的余春娇呢？,10.9631815,13.12805
26207,0,[MASK]高兴。太恶心了~不要看~建议哈···,12.735755,11.060834
28591,0,[MASK]高兴。主角明明是章鱼，你叫潜艇总动员,11.444665,11.774729
19643,0,[MASK]高兴。没看。但是五星水军太恶心了。,13.240596,11.68253
31415,1,[MASK]高兴。爽着爽着导演就给你喂了一口屎,12.326883,11.247343
2047,0,[MASK]高兴。好的地方都是老舍的。★★★☆,10.725634,12.410621
9358,0,[MASK]高兴。感觉在铁匠铺呆了一宿。。。。,11.225037,12.773962
27611,1,[MASK]高兴。勇敢、努力、坚强的女孩都是公主,10.564754,12.773551
24947,0,[MASK]高兴。埃德加赖特的GTA6？太屎了,12.273906,12.478842
24137,0,[MASK]高兴。小哥有精神洁癖呀，这点好赞。,10.919631,12.463819
18739,1,[MASK]高兴。永远不要忘记你所爱的人，感动,10.433387,12.2319355
26928,0,[MASK]高兴。把所有人都拍这么难看太不容易了,12.048504,13.365738
15616,1,[MASK]高兴。就想知道睡觉打呼噜的人怎么办,13.009795,12.0966425
49084,1,[MASK]高兴。能把蒜皮当雪花的姑娘你真好。,11.113105,13.44175
46654,0,[MASK]高兴。我没想到加分项竟然是景甜老师。,11.882248,13.300945
31054,0,[MASK]高兴。交通安全宣传片，情感关系咨询片,10.987448,12.150371
22682,1,[MASK]高兴。Kylo在色誘Rey啊啊啊！！,10.899611,12.758842
21126,0,[MASK]高兴。演员升级，故事降级，无聊透了。,11.990324,12.099748
19669,0,[MASK]高兴。车行径你妈逼去死！杀人凶手！,11.678481,9.46952
38351,1,[MASK]高兴。最后奔跑拥抱那里真的好感动。,9.13222,13.8686285
29835,0,[MASK]高兴。女个坏女人挺好看的，好友真真,11.759775,11.431934
20290,0,[MASK]高兴。犯我中华者，虽远必诛其超市！,9.795659,11.211481
32379,1,[MASK]高兴。我眼拙。不过剧情还是吸引人的。,12.618155,12.759277
7517,1,[MASK]高兴。看哭了，我是不是自我代入太努力,13.575905,12.66129
47322,1,[MASK]高兴。生命不止，奔跑不息。励志电影,10.0156355,12.026277
48159,1,[MASK]高兴。全片都是彩蛋。最后两个彩蛋。,10.887076,12.881087
39334,0,[MASK]高兴。馮小剛的電影，簡稱「尬影」。,12.088465,12.901272
30801,0,[MASK]高兴。特效不错吧，其他没什么感觉。,12.440672,13.611019
48912,0,[MASK]高兴。莫名其妙，演到一半变得毫无逻辑,12.245251,11.417441
27998,0,[MASK]高兴。好玩，看完很放鬆的輕鬆喜劇。,11.462674,13.864299
5783,0,[MASK]高兴。为了第三部放恐龙也是牛逼……,10.328749,12.3782
25444,1,[MASK]高兴。剧情紧凑，案件逼真，很好看。,10.668009,14.33904
45902,0,[MASK]高兴。发哥近年来也都是接的烂片子啊,12.862118,12.827609
41165,0,[MASK]高兴。不是赵丽颖差，而是朱琳太好。,12.337356,12.931822
3114,0,[MASK]高兴。题材不错，可惜片子真的很一般。,11.649673,13.45055
28516,1,[MASK]高兴。披着科幻片外衣的恐怖悬疑电影,11.870307,13.8793955
45673,0,[MASK]高兴。他们都在打酱油不要冤枉甜老师,11.913683,12.42747
44474,0,[MASK]高兴。虐杀白垃圾的感觉真的会超爽吧,10.398928,12.835521
2914,1,[MASK]高兴。verycd上的三级太强悍了,12.156438,13.287882
36553,1,[MASK]高兴。比我想象的好看，和妈妈一起看的,11.570701,13.710269
35983,0,[MASK]高兴。世人久不见苍鹰，竟觉秃鹫美。,9.800481,10.501121
24574,1,[MASK]高兴。看完了真的值得深思，很有深意。,10.821792,15.950301
16765,1,[MASK]高兴。赞美可爱善良孝顺的帕丁顿熊！！,8.792105,12.05355
3072,0,[MASK]高兴。忘了讲什么了。7分吧。看完了,11.54426,13.792602
43841,0,[MASK]高兴。立体机动装置的镜头拍得真是丑啊,11.689452,12.744769
13535,1,[MASK]高兴。答应我一定要去看3D的好吗？,11.402411,13.656556
27935,1,[MASK]高兴。能吓到人的恐怖片就是好恐怖片,11.476348,12.16708
37463,1,[MASK]高兴。“这房间里面的书都是你的了”,11.825759,12.673572
17012,0,[MASK]高兴。傲慢自大的朝鲜人领导了此电影,11.101119,12.99862
50167,0,[MASK]高兴。下錯片來看了，這片看著噁心。,13.078509,12.039564
25900,0,[MASK]高兴。把功夫都用在P超人的胡子上了,10.4315195,12.259261
43522,1,[MASK]高兴。我不管反正我看哭了我要给五星,12.916111,13.296334
14127,0,[MASK]高兴。梦蝶的发型是模仿鲶鱼设计的吗？,11.66188,13.477033
40591,1,[MASK]高兴。“你出得了海，你上得了岸吗？”,11.378497,12.017737
23780,1,[MASK]高兴。绝望感，徒劳感一点点地蔓延。,14.102397,11.99428
33622,0,[MASK]高兴。哇，大咖云集的大烂片。。。。,9.853759,12.115242
6131,1,[MASK]高兴。真正的大片，真正的视觉盛宴。,10.410559,14.226917
49046,1,[MASK]高兴。仗义每多屠狗辈，负心总是读书人,11.068662,9.71939
23480,1,[MASK]高兴。你爱我我爱你你变成我我变成你,10.804863,12.170244
30778,0,[MASK]高兴。只是猩猩版的胜利大逃亡或者越狱,11.480307,12.26699
26793,1,[MASK]高兴。休闲娱乐的一部童话故事片子。,9.811695,11.899956
47988,1,[MASK]高兴。尊重与认同，是靠实力争取来的,11.101965,11.246219
7844,0,[MASK]高兴。最后还逼着看了场广场舞好尴尬啊,12.9636545,11.739579
16611,1,[MASK]高兴。休格兰特荣升英国周润发宝座【,9.329559,12.7942505
7068,1,[MASK]高兴。最后怎么突然就玄幻起来了？！,11.6046505,12.31487
