,labels,text
6695,1,三八妇女节快乐。中文[嘻嘻]
8351,1,确实好久没有堆雪人了[可爱]
1087,1,你是我的第一个好朋友[爱你]
98497,0,好吧 求耳机一副 MMP[衰]
72920,0,下大雨了，怎么上班啊！！[泪]
104261,0,[衰]//@武鑫?: [衰]
69103,0,傻逼没前途，认真工作[抓狂]
7777,1,"选择正确,何来忧虑![鼓掌]"
23246,1,必须支持[鼓掌][haha]
1154,1,老崔的演讲惊艳全场！[哈哈]
80797,0,北鼻情商好高啊~[泪][哈哈]
18662,1,[鼓掌]希望以后继续多多关注哦
90091,0,我的尾戒也找不到了……[泪]
114341,0,粗饭！[泪]天天三餐不定时。
69471,0,[吃惊] 微臣做不到啊 [泪]
48171,1,@叶军啊 必须单独爱特[嘻嘻]
46825,1,#in 海德堡#欢迎[鼓掌]
58865,0,[泪]好想要松下的面包机！！！
34736,1,这个宣传片做得有爱~[嘻嘻]
64842,0,[怒骂][怒骂][怒骂]！！！
87806,0,无比可耻丧尽天良[怒][怒]
5820,1,有幸坐上领导的专车~[哈哈]
87611,0,我还没机会看[抓狂][抓狂]
10470,1,此工程叫“达美广场”[哈哈]
27504,1,下次来记得带好小棉袄哦[哈哈]
18081,1,去看电影大家有推荐吗[嘻嘻]
78156,0,忙死忙死忙死！！！！[抓狂]
18581,1,小盆友太可爱了[爱你][爱你]
46318,1,这孩子有前途 ！！！ [哈哈]
86203,0,除了感谢还能说什么呢…[泪]
82904,0,堵死在长安街上算了[怒][怒]
59454,0,公交卡不充钱怎么回家啊[泪]
6695,1,三八妇女节快乐。中文[嘻嘻]
8351,1,确实好久没有堆雪人了[可爱]
1087,1,你是我的第一个好朋友[爱你]
98497,0,好吧 求耳机一副 MMP[衰]
72920,0,下大雨了，怎么上班啊！！[泪]
104261,0,[衰]//@武鑫?: [衰]
69103,0,傻逼没前途，认真工作[抓狂]
7777,1,"选择正确,何来忧虑![鼓掌]"
23246,1,必须支持[鼓掌][haha]
1154,1,老崔的演讲惊艳全场！[哈哈]
80797,0,北鼻情商好高啊~[泪][哈哈]
18662,1,[鼓掌]希望以后继续多多关注哦
90091,0,我的尾戒也找不到了……[泪]
114341,0,粗饭！[泪]天天三餐不定时。
69471,0,[吃惊] 微臣做不到啊 [泪]
48171,1,@叶军啊 必须单独爱特[嘻嘻]
46825,1,#in 海德堡#欢迎[鼓掌]
58865,0,[泪]好想要松下的面包机！！！
34736,1,这个宣传片做得有爱~[嘻嘻]
64842,0,[怒骂][怒骂][怒骂]！！！
87806,0,无比可耻丧尽天良[怒][怒]
5820,1,有幸坐上领导的专车~[哈哈]
87611,0,我还没机会看[抓狂][抓狂]
10470,1,此工程叫“达美广场”[哈哈]
27504,1,下次来记得带好小棉袄哦[哈哈]
18081,1,去看电影大家有推荐吗[嘻嘻]
78156,0,忙死忙死忙死！！！！[抓狂]
18581,1,小盆友太可爱了[爱你][爱你]
46318,1,这孩子有前途 ！！！ [哈哈]
86203,0,除了感谢还能说什么呢…[泪]
82904,0,堵死在长安街上算了[怒][怒]
59454,0,公交卡不充钱怎么回家啊[泪]
6695,1,三八妇女节快乐。中文[嘻嘻]
8351,1,确实好久没有堆雪人了[可爱]
1087,1,你是我的第一个好朋友[爱你]
98497,0,好吧 求耳机一副 MMP[衰]
72920,0,下大雨了，怎么上班啊！！[泪]
104261,0,[衰]//@武鑫?: [衰]
69103,0,傻逼没前途，认真工作[抓狂]
7777,1,"选择正确,何来忧虑![鼓掌]"
23246,1,必须支持[鼓掌][haha]
1154,1,老崔的演讲惊艳全场！[哈哈]
80797,0,北鼻情商好高啊~[泪][哈哈]
18662,1,[鼓掌]希望以后继续多多关注哦
90091,0,我的尾戒也找不到了……[泪]
114341,0,粗饭！[泪]天天三餐不定时。
69471,0,[吃惊] 微臣做不到啊 [泪]
48171,1,@叶军啊 必须单独爱特[嘻嘻]
46825,1,#in 海德堡#欢迎[鼓掌]
58865,0,[泪]好想要松下的面包机！！！
34736,1,这个宣传片做得有爱~[嘻嘻]
64842,0,[怒骂][怒骂][怒骂]！！！
87806,0,无比可耻丧尽天良[怒][怒]
5820,1,有幸坐上领导的专车~[哈哈]
87611,0,我还没机会看[抓狂][抓狂]
10470,1,此工程叫“达美广场”[哈哈]
27504,1,下次来记得带好小棉袄哦[哈哈]
18081,1,去看电影大家有推荐吗[嘻嘻]
78156,0,忙死忙死忙死！！！！[抓狂]
18581,1,小盆友太可爱了[爱你][爱你]
46318,1,这孩子有前途 ！！！ [哈哈]
86203,0,除了感谢还能说什么呢…[泪]
82904,0,堵死在长安街上算了[怒][怒]
