,labels,text,neg_logits,pos_logits
8711,0,[MASK]行。病人吃啊，挂面哈拉味，汤也腥。,11.426494,4.5165553
5797,0,[MASK]行。豆腐丝里吃出苍蝇，啥也不想说了,10.726077,4.016123
768,1,[MASK]行。味道很好！送的也很快！好吃！,9.706817,7.833142
2518,1,[MASK]行。菜品好，速度快，真是太好了！,9.382353,6.5136743
7638,0,[MASK]行。这家店就直接没送，接单不送的店,10.673807,3.657799
6583,0,[MASK]行。送餐太慢太慢了～菜品还可以～,11.251607,4.875998
6692,0,"[MASK]行。下次能送早点就好啦,快饿过劲啦",11.942964,5.298531
484,1,"[MASK]行。很好吃量也很大都吃不完,赞一个",9.321263,5.775306
11295,0,[MASK]行。下单2个小时才送到。无语了。,12.223805,4.5360646
2826,1,[MASK]行。谢谢师傅，辛苦了！非常准时！,10.289389,6.3846636
11958,0,[MASK]行。粉很好吃，但是订了卤蛋却没有。,11.34098,5.229293
4074,0,"[MASK]行。吃到一半发现菜里有小强,简直了",10.541251,4.426054
1568,1,[MASK]行。米饭是硬的。。不如上一次好吃,13.184169,5.1875806
10881,0,[MASK]行。米饭里有一只蟑螂，让人怎么吃,11.695837,2.5091622
6353,0,[MASK]行。咖喱鸡肉烩意面，不知鸡肉滋味,9.782329,3.1128025
4765,0,[MASK]行。很慢就不说了，关键是还不好吃。,10.775497,7.03505
370,1,[MASK]行。态度很好，效率很高，给十分赞,8.658876,4.9138503
11746,0,[MASK]行。速度慢，第一次订餐就迟到，晕,10.662796,3.9093149
8159,0,[MASK]行。送餐走错路，袋子还破了………,11.992216,4.0197477
2366,1,[MASK]行。一直买他家的香脆鸡肉披萨，喜欢,10.321146,5.2340817
866,1,"[MASK]行。师傅辛苦了，谢谢,下雪注意安全",10.381435,5.0627394
2743,1,[MASK]行。又快又好棒呆了哈哈哈哈哈哈哈,10.477176,6.7458267
9911,0,[MASK]行。石锅拌饭里面吃出了塑料包装纸袋,9.871399,3.4202662
5045,0,[MASK]行。菜品没味道。。。周也是。。。。,11.116532,5.3154683
1563,1,[MASK]行。又快又好又便宜！真心给力！！！,8.691581,7.009662
10234,0,[MASK]行。面时间太长了，坨了，不好吃了,13.023034,4.3967986
29,1,"[MASK]行。送餐非常快,态度特别好,谢谢",9.540183,4.924646
6442,0,"[MASK]行。太小了,味道一般,说多了都是泪",10.959911,4.352388
467,1,[MASK]行。送餐员辛苦，饭也好吃，继续购买,10.432745,2.3784409
58,1,"[MASK]行。送餐特别快,送餐员态度也特别好",9.261581,5.521881
1652,1,[MASK]行。很快，也好，包装也好，赞赞赞,8.827393,6.9123116
4529,0,[MASK]行。味道还行，就是送餐太慢了……,8.961245,6.6912947
88,1,"[MASK]行。又快又好,小哥态度很好,好评",8.936231,6.171487
4524,0,"[MASK]行。味道就那样把,盖浇饭挺难吃的",11.40669,5.6867843
3085,1,[MASK]行。外卖小哥人超级好。。。。。。,10.332513,5.5679307
10811,0,[MASK]行。速度挺快的，面不好吃，都凉了,10.140289,4.566732
8052,0,"[MASK]行。点两份鸡柳,就给送,一份。。。",9.101094,3.3533223
5562,0,[MASK]行。太慢，太小，吃不饱。味道还行,12.091556,5.788668
5132,0,[MASK]行。不好吃。。。菜太少了。。。。,15.041374,7.429164
2537,1,[MASK]行。配送非常快，10分钟就送到啦～,8.499927,4.6811275
2730,1,[MASK]行。人好速度快，好评好评好评！！,8.233961,4.8731804
6256,0,[MASK]行。米粉比以前份量少，没以前好了,11.098267,4.635531
2717,1,[MASK]行。东西非常好，还是热的，辛苦了！,10.319634,5.246381
5791,0,[MASK]行。给的豆皮果然多，只是肉变少了,10.089605,5.094195
434,1,[MASK]行。很快，很好，经常订，谢谢师傅,9.550161,7.862977
2067,1,[MASK]行。非常好吃，送餐很快，绝对好评,8.272618,4.2420654
8096,0,[MASK]行。就薯条还行！其他都不怎么样！,12.3998995,7.0723195
1952,1,[MASK]行。味道还好。服务态度真的很好～！,10.359227,7.746736
6980,0,[MASK]行。咋的跟饿了吗不一样的名，坑爹,10.859108,4.1965213
2435,1,[MASK]行。经常买这家的饺子，味道棒棒哒！,9.649258,5.628818
9055,0,[MASK]行。没有在店里吃好吃，萝卜太多了,11.866105,4.7298393
1653,1,[MASK]行。除了速度有待加强，其他都不错,7.8823104,3.4066617
3654,1,[MASK]行。没有餐具哦，还要自己点餐具么,11.639791,3.9932148
1739,1,"[MASK]行。服务不错,但是太难吃了啊啊啊",9.564522,5.49439
11045,0,[MASK]行。面也太少了，才半盒，我就没吃饱,11.735469,6.023982
2626,1,[MASK]行。非常的正宗，就是羊杂汤太咸啦,10.333888,4.891763
7925,0,[MASK]行。午餐肉实在太难吃了，千万别点,11.651931,3.4072213
5910,0,[MASK]行。真的不适合外卖，另外，真难吃,11.65128,4.2578306
11336,0,[MASK]行。我的电话打不通，不知道为什么,12.15912,3.7323093
809,1,[MASK]行。很好，速度飞快，炸鸡有点火大,9.827798,5.040501
661,1,[MASK]行。太快了！！简直是神速啊！！！,11.615853,7.4678974
396,1,"[MASK]行。第二次买了,挺好的,以后继续",10.7318945,3.3086193
5702,0,[MASK]行。我备注要的粥，结果送来的是饮料,11.11974,3.4737244
10859,0,[MASK]行。赠送的黄飞红花生呢？没送啊！！,11.157287,4.0228963
280,1,[MASK]行。非常好送的很快，，，还是热的。,9.60067,6.1671996
184,1,[MASK]行。好好好！赞赞赞！态度好速度快！,10.456016,5.879038
2289,1,[MASK]行。味道很好而且很实惠送得也很快,8.425412,6.248818
4775,0,[MASK]行。包装牛逼，送餐速度……咳咳……,10.930034,4.908568
2711,1,"[MASK]行。番茄醬撒了QAQ,其他nice",9.257549,2.7272172
854,1,"[MASK]行。粥里有头发,就没吃,剩下都好吃",11.086879,4.149639
5116,0,[MASK]行。太慢了，俩小时连个解释也没有,12.147205,4.067392
2377,1,[MASK]行。速度挺快的东西也挺好的给赞~,9.092959,4.8767166
