,labels,text,ppl
30574,0,怀疑是假货，洗发后感觉很不好,13.700758585531686
7598,1,手机质量很好哎，就是没有送礼品,8.375743245730316
43849,0,有差异的产品，下次不会选购了,9.084398326335632
10361,0,东西搭配了一堆没用的，给差评,11.337293701788159
3099,1,一般般 会有卡顿 看电影还行,40.38426152716456
28438,1,不错很满意，物流小哥很给力。,7.048200925968109
34577,0,京东的配送就这样吗？真是失望,6.752792546149075
12015,0,非常不满意，大型游戏根本玩不了,5.234665330491979
31819,0,垃圾京东，收钱不发货，趁早倒闭,26.376743307337986
42623,1,衣服面料很舒服，柔软，大小合适,4.537149326935753
43428,0,哎与图片差距太大真心接受不了,18.49610519987876
38964,1,面料很好，款式时尚 穿上很舒服,4.40420679390411
32231,0,洗发水不正宗的，洗完头皮屑很多,18.322612269620222
17545,1,京东商城的商品实惠，继续支持！,4.586780510315423
36576,1,蒙牛出香蕉奶啦 味道还不错哦,55.84230913239502
6653,1,快递速度很快，平板用了还不错。,8.732661637908432
39896,1,大小合适，有弹力，辉常满意！,19.263582513128966
38971,1,刚收到货，很好，物超所值！！,12.448220478964043
41286,1,穿上变得特别帅，怎么呢？嘻嘻。,13.914893715517083
29583,1,超值值得购买！便宜实惠真的很好,5.022391269505676
12956,0,不咋好，显示不清楚，想贴膜的,27.31814335703158
31712,0,不好，这么贵还不好，我也是醉了,8.715837855917295
31680,0,啥时候到啊下单好几天了还没到?,16.011183873283446
60362,0,很一般，价格不高，但设备差！,9.552698158372406
45785,0,没穿几次就破2个洞，做工不好。,20.958075009433866
30820,0,被坑了，不好用，只能给一星?,39.89140876965679
10933,0,送货师傅不错，平板质量一般般,13.447753202986867
40218,1,穿上很舒服，面料不错，蛮好的,5.8514005144901935
36597,1,蒙牛滴。。。口感醇厚，不错～,91.56785941875374
47403,0,衣服不行 ！！！ 快递也不给力,18.679427615974504
42213,1,质量好，做工精细。非常满意！,3.6608957764614427
31785,0,不好用，味道太浓，不适合男人,7.936211021084134
46015,0,质量没有想像的那么好，不要上当,4.42810798265377
42170,1,款式新颖，又合身，孩子很喜欢,4.808842834296485
43150,0,欺骗消费者！！！严重不符！！！,9.31200131606434
45415,0,商品没图上的好看，面料也不多好,25.364770791718275
