,labels,text,ppl
30574,0,怀疑是假货，洗发后感觉很不好,15.46035715168123
7598,1,手机质量很好哎，就是没有送礼品,9.565557090331264
43849,0,有差异的产品，下次不会选购了,11.583892121730754
10361,0,东西搭配了一堆没用的，给差评,11.223214591649382
3099,1,一般般 会有卡顿 看电影还行,40.243755462557424
28438,1,不错很满意，物流小哥很给力。,12.74194588157449
34577,0,京东的配送就这样吗？真是失望,7.533694184249363
12015,0,非常不满意，大型游戏根本玩不了,4.671033907888314
31819,0,垃圾京东，收钱不发货，趁早倒闭,24.386957910785668
42623,1,衣服面料很舒服，柔软，大小合适,6.611156658224887
43428,0,哎与图片差距太大真心接受不了,21.395403565613567
38964,1,面料很好，款式时尚 穿上很舒服,6.124756667310871
32231,0,洗发水不正宗的，洗完头皮屑很多,15.7673036351453
17545,1,京东商城的商品实惠，继续支持！,8.220739694611781
36576,1,蒙牛出香蕉奶啦 味道还不错哦,77.5031203555795
6653,1,快递速度很快，平板用了还不错。,14.131076832828533
39896,1,大小合适，有弹力，辉常满意！,30.891231523933413
38971,1,刚收到货，很好，物超所值！！,17.65283808785512
41286,1,穿上变得特别帅，怎么呢？嘻嘻。,18.46653845493619
29583,1,超值值得购买！便宜实惠真的很好,6.7318802001041655
12956,0,不咋好，显示不清楚，想贴膜的,31.739581277906886
31712,0,不好，这么贵还不好，我也是醉了,13.505002839487112
31680,0,啥时候到啊下单好几天了还没到?,20.775501861275092
60362,0,很一般，价格不高，但设备差！,10.532847616842943
45785,0,没穿几次就破2个洞，做工不好。,17.701089269526822
30820,0,被坑了，不好用，只能给一星?,52.61613888519573
10933,0,送货师傅不错，平板质量一般般,16.149102118483103
40218,1,穿上很舒服，面料不错，蛮好的,8.382536748390558
36597,1,蒙牛滴。。。口感醇厚，不错～,97.35580855418291
47403,0,衣服不行 ！！！ 快递也不给力,21.90543211600144
42213,1,质量好，做工精细。非常满意！,5.606495256623442
31785,0,不好用，味道太浓，不适合男人,9.680127275577888
46015,0,质量没有想像的那么好，不要上当,5.895059595762182
42170,1,款式新颖，又合身，孩子很喜欢,7.669696624876916
43150,0,欺骗消费者！！！严重不符！！！,10.776454049510356
45415,0,商品没图上的好看，面料也不多好,25.37387853712599
30230,1,价格实惠，服务好，东西不错。,4.659963680306818
47927,0,没收到商品，一个月了，差劲。,15.498684378571953
30018,1,好，不错，得蛮多的，划算，喜欢,23.397971486040873
26817,1,到货好快。服务好！东西满意！,10.330728233643963
5006,1,手机不错，屏大清晰，速度快。,14.547729484658042
44936,0,洗了掉色特严重，很硬，还没穿,43.75394632054564
16856,1,还味吃，现在觉得苹果越来越甜了,28.274600682661877
3845,1,不错 很喜欢 华为平板666,96.42829489727241
28242,1,洗发水好用，洗过头发很清爽…,18.296156789172986
42123,1,可以 比较满意 穿了再来评价,14.995445816087676
34621,0,有一瓶盖子烂了，流的到处都是。,16.274166572072666
33650,0,使用一般，和国货区别不是很大！,10.725947386860991
5554,1,好好的一个好的自己选的好好好货,60.23499644740845
30937,0,说好的吹风机在哪！太垃圾了！,17.06516484231912
60557,0,服务很一般，设施和装修也不好。,4.909382022811213
46810,0,真的和网上看的差别真大，好垃圾,11.704999578899104
25754,1,看着还可以，小的赠送旅行装不错,29.55048810214059
43705,0,物流太慢太慢，衣服不怎么样，,9.508497060169175
18630,1,个头小但很甜，用来做早餐正好。,9.052117547459321
41784,1,商品不错，物超所值。真实体验。,7.105061503141046
45106,0,非常一般，不推荐，不要贪便宜,6.292525589844555
31546,0,昨天收到今天就降价，太过分了！,11.495157781560096
43624,0,有股刺鼻的味道，还特别脏，差评,14.476000336996993
10107,0,差评，保护壳都没有，5星差评！,13.71693816532732
32824,0,不好用，不适合我的发质，起头屑,13.920692524919486
4883,1,不错物流给力，值得信赖，正品，,13.861171049704893
31305,0,发来就破了。。懒得跟客服叨叨了,48.061907807417576
17539,1,性价比真他们高。。。。够味还脆,180.11679534210083
3991,1,不错，给妈妈玩游戏用的，很喜欢,7.106935837831811
35438,1,安装好了，还没用，感觉挺好的,11.320795080170326
10959,0,骗子。垃圾货。收到的卡装不了,24.748391125432768
38859,1,衣服挺好的，我一下子买了两件,6.47589565847935
33344,0,还品牌垃圾要死，越洗越多头屑。,38.055799015090265
11811,0,不好买来好后悔玩游戏好卡差评。,45.86620483701339
26497,1,一如既往的快，态度好，日期新。,16.837586326582144
39505,1,裤子面料不错的 版型很喜欢啊,11.287738780926095
34065,0,买了很多次，这次的是假货，失望,13.078048758109013
57426,0,服务不好。乱收费，非常不满意！,4.102684335131134
10211,0,cpu太差 一点都不流畅 亏了,51.634426580066304
6071,1,真正好PAD，学英语不用愁啦,75.37267689945908
46500,0,网上买几次都是烂货，不能相信。,8.448486636191136
39929,1,裤子的质量真的不错，值得表扬！,6.969391274770657
47506,0,穿了一次，扔了，好还是不好？,9.705116282968524
6287,1,屏幕够大，上手容易，物流很快。,10.11611780385407
39475,1,买回来很合适，老公很喜欢。。。,12.789433908569118
38335,1,质量非常不错，穿起来很舒服。,5.904912442452427
32710,0,就是好难受看到你日目的地后的吧,306.83703312521135
7812,1,帮朋友买的，反馈信息还不错?。,22.398021244453794
33424,0,快递丢失 不处理 没有维权渠道,8.965210909436353
39217,1,很不错哦，我又要在买多一条了,45.90525606949965
35260,0,这个商标都掉了，可能是二手货吧,15.817026818469879
19076,1,苹果包装完好，吃起来香甜可口！,13.82528794461165
58781,0,酒店很旧，设施陈旧！花洒漏水,39.13894578216364
10412,0,卡出翔，到底是不是3G运行？,56.51923895403231
46154,0,物流太慢了，就凭这一条给你零分,13.9064260459516
34631,0,非常无语，包装是裸的，没有塑封,24.407304697064813
57024,0,所有的房间里的设施不是很齐全！,8.959821549006792
42499,1,不错，穿上很舒服，面料也不错,8.196232749974463
47937,0,不满意，色差太大！做工一般！！,12.218900029586196
18689,1,苹果不错！很新鲜！到货也很快！,4.873720213406313
