,labels,text,ppl
8711,0,病人吃啊，挂面哈拉味，汤也腥。,135.06175262890824
5797,0,豆腐丝里吃出苍蝇，啥也不想说了,12.556133621505008
768,1,味道很好！送的也很快！好吃！,6.530701094650357
2518,1,菜品好，速度快，真是太好了！,8.356636764608352
7638,0,这家店就直接没送，接单不送的店,60.26786064269379
6583,0,送餐太慢太慢了～菜品还可以～,6.429048392089157
6692,0,"下次能送早点就好啦,快饿过劲啦",53.6593271407649
484,1,"很好吃量也很大都吃不完,赞一个",34.83884343432842
11295,0,下单2个小时才送到。无语了。,6.672683474537377
2826,1,谢谢师傅，辛苦了！非常准时！,4.991855478933971
11958,0,粉很好吃，但是订了卤蛋却没有。,45.37925548002632
4074,0,"吃到一半发现菜里有小强,简直了",21.072220005855534
1568,1,米饭是硬的。。不如上一次好吃,15.176788071595245
10881,0,米饭里有一只蟑螂，让人怎么吃,8.193811344228589
6353,0,咖喱鸡肉烩意面，不知鸡肉滋味,10.981250159871284
4765,0,很慢就不说了，关键是还不好吃。,17.439861034605677
370,1,态度很好，效率很高，给十分赞,7.160528932209478
11746,0,速度慢，第一次订餐就迟到，晕,13.05893764979165
8159,0,送餐走错路，袋子还破了………,23.651646350723315
2366,1,一直买他家的香脆鸡肉披萨，喜欢,6.103603826031408
866,1,"师傅辛苦了，谢谢,下雪注意安全",8.120628815387704
2743,1,又快又好棒呆了哈哈哈哈哈哈哈,11.153418270184524
9911,0,石锅拌饭里面吃出了塑料包装纸袋,39.23524437598379
5045,0,菜品没味道。。。周也是。。。。,29.79497749583169
1563,1,又快又好又便宜！真心给力！！！,8.23208180731181
10234,0,面时间太长了，坨了，不好吃了,23.119602719926643
29,1,"送餐非常快,态度特别好,谢谢",5.390108843496991
6442,0,"太小了,味道一般,说多了都是泪",5.256599023092753
467,1,送餐员辛苦，饭也好吃，继续购买,7.3949359007836994
58,1,"送餐特别快,送餐员态度也特别好",5.18593810897853
1652,1,很快，也好，包装也好，赞赞赞,17.722450156516828
4529,0,味道还行，就是送餐太慢了……,5.093676245655307
88,1,"又快又好,小哥态度很好,好评",8.639519720666147
4524,0,"味道就那样把,盖浇饭挺难吃的",60.04540921030916
3085,1,外卖小哥人超级好。。。。。。,6.87412316782831
10811,0,速度挺快的，面不好吃，都凉了,15.841750342432055
8052,0,"点两份鸡柳,就给送,一份。。。",116.49784146194243
5562,0,太慢，太小，吃不饱。味道还行,7.246998290528372
5132,0,不好吃。。。菜太少了。。。。,10.701597350766159
2537,1,配送非常快，10分钟就送到啦～,7.863095831860738
2730,1,人好速度快，好评好评好评！！,15.480836877700737
6256,0,米粉比以前份量少，没以前好了,21.900395058526243
2717,1,东西非常好，还是热的，辛苦了！,7.273815644579739
5791,0,给的豆皮果然多，只是肉变少了,35.738976278918294
434,1,很快，很好，经常订，谢谢师傅,14.83088602043436
2067,1,非常好吃，送餐很快，绝对好评,6.971792035098827
8096,0,就薯条还行！其他都不怎么样！,16.450491521167116
1952,1,味道还好。服务态度真的很好～！,6.396957060450466
6980,0,咋的跟饿了吗不一样的名，坑爹,94.83055224475368
2435,1,经常买这家的饺子，味道棒棒哒！,6.47016359266999
9055,0,没有在店里吃好吃，萝卜太多了,9.72257608841529
1653,1,除了速度有待加强，其他都不错,3.699403973939008
3654,1,没有餐具哦，还要自己点餐具么,29.93322296056008
1739,1,"服务不错,但是太难吃了啊啊啊",8.466268852568794
11045,0,面也太少了，才半盒，我就没吃饱,17.3727374033152
2626,1,非常的正宗，就是羊杂汤太咸啦,28.120584394266334
7925,0,午餐肉实在太难吃了，千万别点,6.833458367906349
5910,0,真的不适合外卖，另外，真难吃,9.079148978566153
11336,0,我的电话打不通，不知道为什么,4.675500654209043
809,1,很好，速度飞快，炸鸡有点火大,31.57281384199321
661,1,太快了！！简直是神速啊！！！,6.51092088777275
396,1,"第二次买了,挺好的,以后继续",4.871593360491309
5702,0,我备注要的粥，结果送来的是饮料,38.99185368953764
10859,0,赠送的黄飞红花生呢？没送啊！！,95.7733123692151
280,1,非常好送的很快，，，还是热的。,17.36800466204843
184,1,好好好！赞赞赞！态度好速度快！,4.274190849188047
2289,1,味道很好而且很实惠送得也很快,6.003513447710961
4775,0,包装牛逼，送餐速度……咳咳……,8.340673166190534
2711,1,"番茄醬撒了QAQ,其他nice",169.9600604080375
