,labels,text,ppl
82777,0,[泪] //@耿嘉晨：还真是,11.36901778480953
48250,1,爱上江西，没有理由！[哈哈],4.554292207890668
100168,0,计划赶不上变化[抓狂][泪],4.75431344865775
22319,1,芭其乐，大嘴快乐的家伙[爱你],37.85213631176504
70122,0,传统已逝??????[抓狂],13.451653950298729
6338,1,谢谢哈! 欢迎常来![鼓掌],6.685574556790294
20081,1,胖子手感好啊！[鼓掌][爱你],8.26056780431906
23064,1,生快！[干杯][蛋糕][鼓掌],16.45764909364927
84060,0,居然把我干儿子装脸盆里！[怒],19.066809400449618
93871,0,三哥总是这么的让人惊喜[晕],18.76281396589777
104161,0,此刻后：ko了... [晕],40.82331171471175
40416,1,[害羞][哈哈]@魔王1987,14.287752439818375
15376,1,随手拍祝大家周末愉快！[爱你],4.3881558809767105
10199,1,是滴，美女。欢迎哦！[可爱],25.85013300008919
71224,0,偷贡品。不怕报应啊？。[衰],88.90609179962212
12238,1,[哈哈] //@独眼u:哈哈哈,9.791295685319426
77537,0,求二手智能手机。。。[抓狂],5.0619679737834575
55063,1,是帮你挡酒的男的么？[嘻嘻],10.407317349751724
21548,1,原来很多国家都免签![哈哈],6.958938709391847
38076,1,百变大咖秀真的很快乐[哈哈],4.288012824912927
84198,0,[泪]//@那木错:[微风],41.94656311314834
27872,1,哈哈，强大[鼓掌][good],11.849937232623702
48051,1,眼睛一眨，美妞变辣妈！[哈哈],4.8269692161965905
18029,1,祝大家十一小长假快乐[太开心],2.5526685903117055
115177,0,[泪] //@袁腾飞:[泪],10.260826592732062
114619,0,可怜的风扇[泪] 我要等正版！,11.91217750059144
64870,0,固执的大叔这场又好危险[失望],14.677749082963734
74958,0,办公室都是孩儿他娘！！！[怒],23.922263071388315
77734,0,//@地狱中的八尾猫: [衰],22.693275980064637
51580,1,财神到我手?[偷笑][鼓掌],18.378732582284012
54352,1,爱吃牛排的童鞋举个手~[爱你],3.6721891834065516
8324,1,开始喽，看起来吧！！[鼓掌],12.584234081787354
106626,0,受伤，是个超级不好的消息[衰],8.143934629528644
15031,1,[哈哈][哈哈]收费大调查。。,6.636672180091857
8249,1,用美食向大家说早安~[嘻嘻],5.85002241893236
59782,0,愚人节的游戏，银行也玩呀[衰],9.255755314383043
110113,0,[衰]弄破了，基本上不会复原！,9.615100914888579
11405,1,哈，回忆录写到哪了？[嘻嘻],7.760799926647492
81138,0,书人搬家，其实就是搬书[晕],26.1846864508239
14831,1,《时尚旅游》也玩街拍了[哈哈],4.507604823883665
51446,1,阿姨做的菜相当好吃呢[爱你],5.086385543211962
73965,0,Facebook 还在跌[晕],96.32954982486847
101129,0,[抓狂] 你是在哪里腐败~~~,9.068791632385562
104892,0,男人动手…[怒][怒][怒],10.071597753964328
66040,0,我在这里：#闸北区#吃饭[泪],23.101501415936536
87632,0,难得休息的，竟然感冒了[泪],9.112263799796448
96063,0,知道得太晚了，遗憾！[失望],2.7747634863029926
81716,0,社会败坏的典型!?救了[衰],29.542354884461314
92195,0,姐，我给你跪下了，这才气[晕],18.849248115057797
95696,0,[泪]同意，让他们变成海豹!!,12.968579233310079
19351,1,//@好色小湿妹: [哈哈],14.954092396730772
41680,1,我觉得总结的很好，喜欢[鼓掌],2.6578985299400926
21865,1,斯坦福正门左侧草坪。[嘻嘻],6.376548574497603
2453,1,[嘻嘻]重口味爱好者的福音来咯,3.7736375826045205
48755,1,转给来北京玩的童鞋们[可爱],4.723498758349893
53195,1,偷偷发张我师父的照片[哈哈],7.1458787735694616
12712,1,好样的！[嘻嘻]你家就你牛！,16.34843729466121
94030,0,早知道找你买了还能越狱[抓狂],17.844632451601022
40934,1,我上班能穿成这样吗？[嘻嘻],4.3113334239236245
11905,1,[哈哈][哈哈][哈哈]翔子,4.386249947652794
56807,0,还有这么不要脸的[怒] 扩散,10.963986710317677
63131,0,最近压力让我头痛 [衰][晕],12.931360148286474
29589,1,@兔子奶奶熊的娘 还有[哈哈],23.04268775543492
101122,0,堵塞，不动！我快哭了！[泪],8.757798962223589
75355,0,下辈子该她被扔下去！！！[怒],25.9118301720333
70889,0,现在的快递啊，真心桑不起[泪],10.031414447594123
93899,0,我也有中奖的时候啊[泪][泪],2.6332919480765233
7932,1,[哈哈]//@大藏布:[哈哈],12.364186208516292
4819,1,有趣的“悲剧”设计！[哈哈],3.3794133929027175
112114,0,有把脚崴了。。。 大馒头[泪],49.64857260351519
9343,1,这透视，照成小短腿儿了[哈哈],19.59094457301713
86440,0,下冰雹了，我怎么回家呀[泪],9.532946244978165
82229,0,我也是男人//@???：[泪],13.097447493880194
34841,1,[鼓掌][鼓掌]期待精彩呈现,2.0197207527894885
106204,0,[泪]同求 粉待亲粉待亲呀！,18.844562811376456
63072,0,回去换身衣服准备第三场[抓狂],11.734168942541283
108363,0,狗狗是人类最忠实的朋友！[泪],3.7395963247690367
51324,1,[太开心] 过500了~ ?~,14.48225325022746
48652,1,家庭聚会，愉快的周末！[爱你],3.3760099788521583
50046,1,这么有意境的菜~~~[哈哈],5.29944737143868
69366,0,我滴亲丸子啊[泪][泪][泪],18.6177331672657
18022,1,//@电商报: 啊~~[哈哈],13.064605124332903
11792,1,谢谢喜欢我家的玛克丽[哈哈],5.591560711109495
51645,1,我发现我就是来发微博滴[可爱],7.2167804887877285
75967,0,见过好多，就是学不来啊[衰],12.028597635971828
55553,0,操，你他妈干的是人事嘛[怒],23.933863016595936
63799,0,我好像午饭忘吃了。。。[晕],9.550294129075734
2403,1,生日快乐，美女快乐哦~[嘻嘻],4.145560659648061
87818,0,[鄙视]//@钱文忠: [泪],15.552181828539336
42197,1,[good]我要好吃的[亲亲],10.86780603410471
2716,1,享受生活的乐趣[哈哈][?力],6.457121710823317
114496,0,我又错过了[衰]对不起唐老师了,8.73475366319215
39216,1,我的 剧照 ，?点咪[哈哈],73.90097810678405
78602,0,英语太烂，说不明白啊。[抓狂],5.879392337647186
677,1,[抱抱] 收藏，下班的时间看,11.24463305954885
76315,0,南方的小伙伴们，保重！[衰],16.38100543714633
67304,0,唉，又一轮轰炸即将开始[衰],6.773568820048354
44036,1,吼吼吼，怎么又回来了[鼓掌],4.368059618903277
9733,1,今天早餐从简[偷笑][嘻嘻],10.166109636207361
27440,1,真滴哇~~好啊好啊！[亲亲],13.309811901635285
2178,1,带着葡萄酒去蹭饭，[哈哈]。,6.113090564387406
49100,1,晚餐时间到！自己煮的[爱你],7.522648315963282
69009,0,//@Gummi_S:[泪],15.029184591592825
3699,1,大家多多帮黑哥投票哈[鼓掌],10.944091910106945
36275,1,陕西八大怪，面条想裤袋[哈哈],43.905456543313065
