,labels,text,ppl
8711,0,病人吃啊，挂面哈拉味，汤也腥。,313.347562903121
5797,0,豆腐丝里吃出苍蝇，啥也不想说了,33.24283151635778
768,1,味道很好！送的也很快！好吃！,26.95256047869603
2518,1,菜品好，速度快，真是太好了！,10.989130565700155
7638,0,这家店就直接没送，接单不送的店,71.402607867865
6583,0,送餐太慢太慢了～菜品还可以～,50.272185815825075
6692,0,"下次能送早点就好啦,快饿过劲啦",108.49061670174433
484,1,"很好吃量也很大都吃不完,赞一个",104.52577523897936
11295,0,下单2个小时才送到。无语了。,23.55156964159077
2826,1,谢谢师傅，辛苦了！非常准时！,48.93840444785605
11958,0,粉很好吃，但是订了卤蛋却没有。,105.27688088386685
4074,0,"吃到一半发现菜里有小强,简直了",40.81829407301001
1568,1,米饭是硬的。。不如上一次好吃,40.593928569395324
10881,0,米饭里有一只蟑螂，让人怎么吃,23.258922311491727
6353,0,咖喱鸡肉烩意面，不知鸡肉滋味,53.27616631084856
4765,0,很慢就不说了，关键是还不好吃。,12.860014994734795
370,1,态度很好，效率很高，给十分赞,18.143554431116645
11746,0,速度慢，第一次订餐就迟到，晕,44.71446203804401
8159,0,送餐走错路，袋子还破了………,52.349803419605074
2366,1,一直买他家的香脆鸡肉披萨，喜欢,12.932439037343778
866,1,"师傅辛苦了，谢谢,下雪注意安全",23.64579106373348
2743,1,又快又好棒呆了哈哈哈哈哈哈哈,24.841500594526796
9911,0,石锅拌饭里面吃出了塑料包装纸袋,81.25604346593235
5045,0,菜品没味道。。。周也是。。。。,98.15557018386319
1563,1,又快又好又便宜！真心给力！！！,24.276032870935815
10234,0,面时间太长了，坨了，不好吃了,32.95669207696347
29,1,"送餐非常快,态度特别好,谢谢",25.732644990033684
6442,0,"太小了,味道一般,说多了都是泪",12.170457081161766
467,1,送餐员辛苦，饭也好吃，继续购买,17.61655062151692
58,1,"送餐特别快,送餐员态度也特别好",16.395368088191212
1652,1,很快，也好，包装也好，赞赞赞,17.29229356502176
