,labels,text,ppl
751,1,"肯德基,都是一样的,没什么区别",7.938533284471662
5712,0,备注说了要皮蛋粥，给我南瓜粥,43.81680569905071
4523,0,"尖椒土豆丝卷饼夹生,不好差评",87.93391695876484
6045,0,俩小时才送到！！还全撒了！！！,24.77630327491532
5375,0,土豆肉丝并没有看到肉丝。。。,11.366735492156911
778,1,送餐准时，服务到位，非常好。,2.8717424172615926
7035,0,"饭已经凉了,而且晚送了半个小时",21.62641537947543
2144,1,卷饼不错，量足！就是肉太柴了。,12.95091248602353
967,1,鱼香肉丝的好吃，土豆丝的有点油,7.460320194871252
911,1,好吃，肉很多，连续两天都吃这个,5.748126934965741
11554,0,订了两单，还分别送到了两个地方,5.483936757696398
6100,0,凉面一般额。。。。。。其他还行,27.02733946556863
3036,1,师傅辛苦了，认真负责，找了半天,2.7524652964005014
856,1,"味道不是特别好,黑胡椒加多了",6.807031464747727
10550,0,"炒面还好。回锅肉太肥,米饭太硬",12.62827570544025
8763,0,"东西太贵,分量太少,快递太慢",7.642329742620957
3862,1,谢谢师傅～送餐很快～辛苦您了～,6.138490540855618
2858,1,麻辣香锅很地道，送餐及时，好评,4.010159039561877
5172,0,送餐速度慢，打包盒里全是散的粥,11.508902660306852
10183,0,"很难吃,炒面质量很差,不推荐",8.22682909238276
3636,1,干煸四季豆特别好吃，豆腐太嫩！,8.502054821899133
1757,1,好吃，肉很多。就是尖椒有点辣,7.829916694381522
3117,1,瞬间就送到了，冬天吃外卖好温馨,13.316000082465768
7104,0,腐竹烧肉跟肥肠调味偏酸，量挺足,36.09078569118073
4853,0,不好吃，肉不好，饼很硬，差评！,10.573800422079152
774,1,感谢快递小哥顶着大风来送货！,4.373487002359606
10381,0,饭量少的惊人，味道也不怎么样,4.711268328809418
11252,0,送餐难倒是黑社会老大？太牛逼了,27.47762489228414
1655,1,比上次慢了点，不过东西还是很好,3.1489633647772868
3022,1,送的非常快，包的也严实，好吃,7.342836405887347
8488,0,一般。不过订餐立减。也就差不多,16.78825014855602
704,1,配送很好，联系不到我还等了好久,7.055718312334895
