,labels,text,neg_logits,pos_logits
23455,0,[MASK]行。第二部就不该拍竟然还出第三部,11.268537,4.423663
37994,1,[MASK]行。局气！规矩！管虎导了俩影帝了！,10.751669,3.878954
45474,0,[MASK]行。前半段真好看，后半段越来越萎,10.394477,3.9785812
37018,0,[MASK]行。前面的剧情看得我尴尬癌都犯了,10.486136,3.9764402
39152,0,[MASK]行。混乱的情节，特么矫情无下限。,10.64609,3.3886352
4952,0,[MASK]行。适合能静得下心和有故事的人。,7.3142548,3.982608
49922,1,[MASK]行。最是人间留不住朱颜辞镜花辞树,8.344892,2.2220726
18895,1,[MASK]行。超级治愈又感人，狗狗真的好暖心,9.136699,3.2322097
16855,0,[MASK]行。密室设定很有意思，可惜未能维持,7.9354076,-0.039712053
33344,1,[MASK]行。原来巴萨的德国馆还有这个用处,9.141794,1.9556699
43014,1,[MASK]行。丫丫真的太美了，前夫哥好可爱,10.701413,4.5208707
30945,0,[MASK]行。烂的一逼，啥都没有，狗屁不通。,11.414574,4.2997675
11202,1,[MASK]行。这个玛丽苏我喜欢很好看求续集,11.49036,4.432237
43097,1,[MASK]行。看了点映，好多戳中我泪点??,11.18473,4.70631
7229,0,[MASK]行。郑恺和郭采洁还挺有cp感的。,10.510449,4.989427
46824,0,[MASK]行。民乐要靠二次元来拯救了嘛……,10.808164,4.9308634
44791,1,[MASK]行。反正我追完了，为了女主的颜值,11.738272,5.2119927
40750,0,[MASK]行。我朋友说，她尴尬得想原地去世。,12.119496,4.6189613
24357,0,[MASK]行。今年作品太多了，有点透支了。,10.085825,4.0527377
12065,0,[MASK]行。我是真的觉得孙悟空的扮相太丑了,11.799362,5.0969405
44782,1,[MASK]行。还可以吧……感觉题材还算新颖,10.08894,5.7294087
11314,0,[MASK]行。看完情圣来评评这部这部比情圣好,9.893285,4.5643697
19047,1,[MASK]行。它令我想起曾经怦然心动的轻吻,8.9249935,3.1192515
45899,0,[MASK]行。发哥抄着烂片专业户就去了。。。,11.570394,4.853056
14214,0,[MASK]行。第一集演得什么玩意儿，尴尬死了,10.967838,4.171903
31414,1,[MASK]行。热热闹闹的，看得我好开心啊。,9.902875,5.2592845
25276,0,[MASK]行。煽情煽成了MV，大家都笑了。,10.110563,4.159027
47776,1,[MASK]行。最喜欢的科幻故事，很成功的改编,8.4528475,2.639866
45012,1,[MASK]行。还算可以哦，故事讲的挺精彩！,9.41529,5.4989877
49786,0,[MASK]行。被黑天鹅惊艳到了！美轮美奂！,10.294528,4.42954
11029,0,[MASK]行。到底在演什麼啊？？大爛片！！！,11.096879,5.1035542
30704,1,[MASK]行。卧槽我竟然看过啊啊啊啊啊啊啊,11.915959,5.3771567
3121,1,[MASK]行。你无车无楼无番狗做乜要拖我手,9.333099,4.3112984
9512,0,[MASK]行。最弱版劳拉了吧？太弱了太无聊了,11.29756,3.5211332
15976,0,[MASK]行。重拍经典，孩子对恐惧的克服。,7.939087,1.8083528
26862,1,[MASK]行。太好看了！笑得我内分泌失调！,12.05207,6.883731
30395,0,[MASK]行。本来两星，加一星给受罪的演员吧,11.246906,4.180649
22972,0,[MASK]行。《星际特工：全宇宙看我们尬爱》,8.596859,-0.7650106
30570,0,[MASK]行。特效不错啊，但剧情就大简单了,9.629634,3.95224
