,labels,text,ppl
8711,0,病人吃啊，挂面哈拉味，汤也腥。,143.41109878357315
5797,0,豆腐丝里吃出苍蝇，啥也不想说了,14.898856935759534
768,1,味道很好！送的也很快！好吃！,3.8640664853875815
2518,1,菜品好，速度快，真是太好了！,4.504162349309436
7638,0,这家店就直接没送，接单不送的店,42.413234436357605
6583,0,送餐太慢太慢了～菜品还可以～,3.4789096838344253
6692,0,"下次能送早点就好啦,快饿过劲啦",43.568077243165696
484,1,"很好吃量也很大都吃不完,赞一个",15.510682353296366
11295,0,下单2个小时才送到。无语了。,5.0153633889693845
2826,1,谢谢师傅，辛苦了！非常准时！,4.35844490638611
11958,0,粉很好吃，但是订了卤蛋却没有。,22.590011257972826
4074,0,"吃到一半发现菜里有小强,简直了",14.049172435026591
1568,1,米饭是硬的。。不如上一次好吃,10.88766145041485
10881,0,米饭里有一只蟑螂，让人怎么吃,5.924486482514787
6353,0,咖喱鸡肉烩意面，不知鸡肉滋味,9.33003700032245
4765,0,很慢就不说了，关键是还不好吃。,13.13160932791922
370,1,态度很好，效率很高，给十分赞,4.950486383889071
11746,0,速度慢，第一次订餐就迟到，晕,7.533886701722298
8159,0,送餐走错路，袋子还破了………,14.12109916145732
2366,1,一直买他家的香脆鸡肉披萨，喜欢,4.490010323655834
866,1,"师傅辛苦了，谢谢,下雪注意安全",8.333516994544862
2743,1,又快又好棒呆了哈哈哈哈哈哈哈,9.573249306352292
9911,0,石锅拌饭里面吃出了塑料包装纸袋,36.42118359629593
5045,0,菜品没味道。。。周也是。。。。,25.926906399962025
1563,1,又快又好又便宜！真心给力！！！,4.3653724450570035
10234,0,面时间太长了，坨了，不好吃了,14.897001662353803
29,1,"送餐非常快,态度特别好,谢谢",3.9600045522561906
6442,0,"太小了,味道一般,说多了都是泪",2.7108517455988
467,1,送餐员辛苦，饭也好吃，继续购买,5.516375438589169
58,1,"送餐特别快,送餐员态度也特别好",3.2432628367276366
1652,1,很快，也好，包装也好，赞赞赞,11.107698026212798
4529,0,味道还行，就是送餐太慢了……,2.6073815451409925
88,1,"又快又好,小哥态度很好,好评",6.893898963506477
4524,0,"味道就那样把,盖浇饭挺难吃的",54.50555307980867
3085,1,外卖小哥人超级好。。。。。。,5.213015219097517
10811,0,速度挺快的，面不好吃，都凉了,9.061360291941478
8052,0,"点两份鸡柳,就给送,一份。。。",92.67345036354038
