,labels,text,ppl
82777,0,[泪] //@耿嘉晨：还真是,114.08236653944108
48250,1,爱上江西，没有理由！[哈哈],11.892964324261492
100168,0,计划赶不上变化[抓狂][泪],19.058806627450142
22319,1,芭其乐，大嘴快乐的家伙[爱你],132.75546432369262
70122,0,传统已逝??????[抓狂],29.070315395196474
6338,1,谢谢哈! 欢迎常来![鼓掌],58.75470027004114
20081,1,胖子手感好啊！[鼓掌][爱你],18.163227257019123
23064,1,生快！[干杯][蛋糕][鼓掌],29.214106773961728
84060,0,居然把我干儿子装脸盆里！[怒],48.20664418861508
93871,0,三哥总是这么的让人惊喜[晕],28.655406917902443
104161,0,此刻后：ko了... [晕],234.1621506138098
40416,1,[害羞][哈哈]@魔王1987,65.80026320379265
15376,1,随手拍祝大家周末愉快！[爱你],11.737010179084525
10199,1,是滴，美女。欢迎哦！[可爱],43.12129149309099
71224,0,偷贡品。不怕报应啊？。[衰],192.7659537882456
12238,1,[哈哈] //@独眼u:哈哈哈,17.817919413395554
77537,0,求二手智能手机。。。[抓狂],23.912552776344924
55063,1,是帮你挡酒的男的么？[嘻嘻],26.350592910554475
21548,1,原来很多国家都免签![哈哈],16.59046460795922
38076,1,百变大咖秀真的很快乐[哈哈],15.203698516187355
84198,0,[泪]//@那木错:[微风],76.35812064772023
27872,1,哈哈，强大[鼓掌][good],45.492010644462596
48051,1,眼睛一眨，美妞变辣妈！[哈哈],29.257895214091207
18029,1,祝大家十一小长假快乐[太开心],21.95932342085357
115177,0,[泪] //@袁腾飞:[泪],9.124597856870633
114619,0,可怜的风扇[泪] 我要等正版！,25.71479458686433
64870,0,固执的大叔这场又好危险[失望],65.59581163891012
74958,0,办公室都是孩儿他娘！！！[怒],39.68687427720293
77734,0,//@地狱中的八尾猫: [衰],51.03408839692308
51580,1,财神到我手?[偷笑][鼓掌],50.333696452682226
54352,1,爱吃牛排的童鞋举个手~[爱你],61.11497867929337
8324,1,开始喽，看起来吧！！[鼓掌],53.99875872239295
106626,0,受伤，是个超级不好的消息[衰],27.891392843787823
15031,1,[哈哈][哈哈]收费大调查。。,14.17094752335231
8249,1,用美食向大家说早安~[嘻嘻],20.8305229502782
59782,0,愚人节的游戏，银行也玩呀[衰],20.421689244883954
110113,0,[衰]弄破了，基本上不会复原！,12.305412281796487
11405,1,哈，回忆录写到哪了？[嘻嘻],24.812416046755875
81138,0,书人搬家，其实就是搬书[晕],48.4320682897964
14831,1,《时尚旅游》也玩街拍了[哈哈],18.559156905577183
51446,1,阿姨做的菜相当好吃呢[爱你],16.862667137352062
73965,0,Facebook 还在跌[晕],109.480875931834
101129,0,[抓狂] 你是在哪里腐败~~~,31.56330982391389
104892,0,男人动手…[怒][怒][怒],6.889385580854009
66040,0,我在这里：#闸北区#吃饭[泪],54.06428719942482
87632,0,难得休息的，竟然感冒了[泪],13.515809606263932
96063,0,知道得太晚了，遗憾！[失望],9.15261300602698
81716,0,社会败坏的典型!?救了[衰],73.64961286397998
92195,0,姐，我给你跪下了，这才气[晕],45.987872001109274
95696,0,[泪]同意，让他们变成海豹!!,28.557531203193168
19351,1,//@好色小湿妹: [哈哈],50.9998647189631
41680,1,我觉得总结的很好，喜欢[鼓掌],4.973324669802906
21865,1,斯坦福正门左侧草坪。[嘻嘻],31.719023011957066
2453,1,[嘻嘻]重口味爱好者的福音来咯,23.508690645562357
48755,1,转给来北京玩的童鞋们[可爱],69.55807830612561
53195,1,偷偷发张我师父的照片[哈哈],35.06622147344053
12712,1,好样的！[嘻嘻]你家就你牛！,52.9020896121998
94030,0,早知道找你买了还能越狱[抓狂],31.52424987817913
40934,1,我上班能穿成这样吗？[嘻嘻],12.188935438603329
11905,1,[哈哈][哈哈][哈哈]翔子,9.610754098352732
56807,0,还有这么不要脸的[怒] 扩散,24.17105302641386
63131,0,最近压力让我头痛 [衰][晕],24.885900675460373
29589,1,@兔子奶奶熊的娘 还有[哈哈],91.40407196609472
101122,0,堵塞，不动！我快哭了！[泪],38.8406232136909
75355,0,下辈子该她被扔下去！！！[怒],34.52705756654573
70889,0,现在的快递啊，真心桑不起[泪],33.70245596047633
93899,0,我也有中奖的时候啊[泪][泪],8.669459764572954
7932,1,[哈哈]//@大藏布:[哈哈],33.814096953831125
4819,1,有趣的“悲剧”设计！[哈哈],7.7638001107424435
112114,0,有把脚崴了。。。 大馒头[泪],117.92981673297518
9343,1,这透视，照成小短腿儿了[哈哈],106.69605625417029
86440,0,下冰雹了，我怎么回家呀[泪],15.699182218470698
82229,0,我也是男人//@???：[泪],50.40072023330135
34841,1,[鼓掌][鼓掌]期待精彩呈现,4.57419735188166
106204,0,[泪]同求 粉待亲粉待亲呀！,196.93915014272085
63072,0,回去换身衣服准备第三场[抓狂],70.93149380934643
108363,0,狗狗是人类最忠实的朋友！[泪],7.776701729777688
51324,1,[太开心] 过500了~ ?~,85.28100490306583
48652,1,家庭聚会，愉快的周末！[爱你],6.898443572347421
50046,1,这么有意境的菜~~~[哈哈],31.299875244755114
69366,0,我滴亲丸子啊[泪][泪][泪],42.486734463667126
18022,1,//@电商报: 啊~~[哈哈],37.00873044096116
11792,1,谢谢喜欢我家的玛克丽[哈哈],19.098337436454152
51645,1,我发现我就是来发微博滴[可爱],25.40730698411426
75967,0,见过好多，就是学不来啊[衰],35.18009756908436
55553,0,操，你他妈干的是人事嘛[怒],49.10936868954089
63799,0,我好像午饭忘吃了。。。[晕],69.47499080189971
2403,1,生日快乐，美女快乐哦~[嘻嘻],6.157957644272973
87818,0,[鄙视]//@钱文忠: [泪],38.20784546590302
42197,1,[good]我要好吃的[亲亲],47.47415542766143
2716,1,享受生活的乐趣[哈哈][?力],23.723088944764843
114496,0,我又错过了[衰]对不起唐老师了,32.78842515722099
39216,1,我的 剧照 ，?点咪[哈哈],233.15353578740928
78602,0,英语太烂，说不明白啊。[抓狂],10.028202393885815
