,labels,text,neg_logits,pos_logits
23455,0,[MASK]好。第二部就不该拍竟然还出第三部,9.242561,10.284148
37994,1,[MASK]好。局气！规矩！管虎导了俩影帝了！,8.863057,8.0373745
45474,0,[MASK]好。前半段真好看，后半段越来越萎,8.144586,10.575773
37018,0,[MASK]好。前面的剧情看得我尴尬癌都犯了,7.843741,10.677213
39152,0,[MASK]好。混乱的情节，特么矫情无下限。,8.569054,9.698923
4952,0,[MASK]好。适合能静得下心和有故事的人。,7.194086,12.823468
49922,1,[MASK]好。最是人间留不住朱颜辞镜花辞树,7.5987144,8.985208
18895,1,[MASK]好。超级治愈又感人，狗狗真的好暖心,7.31641,10.788979
16855,0,[MASK]好。密室设定很有意思，可惜未能维持,6.6281285,9.958639
33344,1,[MASK]好。原来巴萨的德国馆还有这个用处,8.13877,10.412452
43014,1,[MASK]好。丫丫真的太美了，前夫哥好可爱,8.023885,9.904427
30945,0,[MASK]好。烂的一逼，啥都没有，狗屁不通。,9.094237,10.06657
11202,1,[MASK]好。这个玛丽苏我喜欢很好看求续集,8.209825,12.200527
43097,1,[MASK]好。看了点映，好多戳中我泪点??,8.490618,11.7874155
7229,0,[MASK]好。郑恺和郭采洁还挺有cp感的。,7.801175,12.17874
46824,0,[MASK]好。民乐要靠二次元来拯救了嘛……,8.210508,10.652908
44791,1,[MASK]好。反正我追完了，为了女主的颜值,8.214301,11.203458
40750,0,[MASK]好。我朋友说，她尴尬得想原地去世。,9.139331,11.035282
24357,0,[MASK]好。今年作品太多了，有点透支了。,9.490315,11.768766
12065,0,[MASK]好。我是真的觉得孙悟空的扮相太丑了,9.174866,11.112532
44782,1,[MASK]好。还可以吧……感觉题材还算新颖,7.8227196,11.763948
11314,0,[MASK]好。看完情圣来评评这部这部比情圣好,8.028496,11.665218
19047,1,[MASK]好。它令我想起曾经怦然心动的轻吻,6.831827,11.207037
45899,0,[MASK]好。发哥抄着烂片专业户就去了。。。,8.9272175,10.032304
14214,0,[MASK]好。第一集演得什么玩意儿，尴尬死了,8.70794,11.015114
31414,1,[MASK]好。热热闹闹的，看得我好开心啊。,7.568835,11.001614
25276,0,[MASK]好。煽情煽成了MV，大家都笑了。,8.272454,11.264865
47776,1,[MASK]好。最喜欢的科幻故事，很成功的改编,7.1503396,11.980438
45012,1,[MASK]好。还算可以哦，故事讲的挺精彩！,7.615518,11.516009
49786,0,[MASK]好。被黑天鹅惊艳到了！美轮美奂！,7.91034,10.991885
11029,0,[MASK]好。到底在演什麼啊？？大爛片！！！,9.939502,10.243143
30704,1,[MASK]好。卧槽我竟然看过啊啊啊啊啊啊啊,8.25687,10.939761
3121,1,[MASK]好。你无车无楼无番狗做乜要拖我手,8.342946,8.917189
9512,0,[MASK]好。最弱版劳拉了吧？太弱了太无聊了,8.776598,10.358515
15976,0,[MASK]好。重拍经典，孩子对恐惧的克服。,6.991206,11.256094
26862,1,[MASK]好。太好看了！笑得我内分泌失调！,8.430078,10.66296
30395,0,[MASK]好。本来两星，加一星给受罪的演员吧,8.6208515,10.636591
22972,0,[MASK]好。《星际特工：全宇宙看我们尬爱》,6.932755,11.598614
30570,0,[MASK]好。特效不错啊，但剧情就大简单了,7.465198,11.14231
20588,0,[MASK]好。气氛到位，演员不存，故事简单！,6.884793,12.09543
13869,0,[MASK]好。看的点映，形式“精致”的大烂片,8.231621,10.383612
24216,1,[MASK]好。最后居然没搞你们还是人吗？？？,9.374286,9.976984
32991,0,[MASK]好。平淡真实不温不火我没懂哭点在哪,8.0686865,11.164395
1732,1,[MASK]好。其实伍迪哈里森演的是一个天使,8.072306,11.449702
4472,1,[MASK]好。陈可辛拍商业文艺片真的不错~~,8.171333,11.92777
33439,0,[MASK]好。泡泡妹子打打架，兄弟情在哪？,7.324687,9.541276
11847,0,[MASK]好。一部非常尬的电影。不推荐观看。,10.55154,12.671598
16369,0,[MASK]好。张艺谋式的漂亮画面，何必3D。,7.1963224,11.234788
31321,0,"[MASK]好。我不信你们没东西怼地雷啊=""=",8.663256,10.281482
18949,1,[MASK]好。少男少女必看，爱与美的启蒙。,7.559411,11.936423
32102,1,[MASK]好。迪斯尼的动画很赞，配乐很好听！,7.394634,13.272976
9630,1,[MASK]好。喜欢坎妹素颜的劳拉，期待后续。,7.1304135,10.436279
1571,1,[MASK]好。演小安生的小朋友很像岳云鹏啊。,8.668612,11.714127
38226,1,[MASK]好。你猜不到的结局…猜不到的惊异…,7.2846146,11.352318
17406,0,[MASK]好。卡尔文老师不是触手，是海蜇皮啊,7.8279877,10.220482
24554,1,[MASK]好。我不会说情话，只知道陪着你。,8.342656,11.080561
6181,1,[MASK]好。腕龙站在码头哀嚎的场景太泪目了,7.8808756,9.541595
6583,0,[MASK]好。比较难看的伪记录僵尸片...,8.2871895,11.0511055
6224,0,[MASK]好。cctv6盛产类似的古装片……,7.6411657,10.70165
39086,0,[MASK]好。打一星以上的人都是咋想的！！！,8.315673,8.202668
14019,0,[MASK]好。好吧，为了阿姨们的搏命演出。,7.814627,11.031241
10409,0,[MASK]好。勉强合格。觉得周冬雨有点厉害。,8.798058,11.493148
24108,0,[MASK]好。Highlyoverrated,7.3242636,10.51221
21295,0,[MASK]好。干了这碗毒鸡汤，来世不见张嘉佳,8.434656,9.529763
6067,1,[MASK]好。妈的吓死我了叫得我嗓子都哑了,9.2056,9.081974
9505,0,[MASK]好。寻父，遇彦祖。掘墓，炸病毒。,6.114917,4.898953
41265,0,[MASK]好。嗯电影院椅子挺舒服，睡得挺好,7.3448896,10.429869
48553,1,[MASK]好。Pixar真的没有让我失望过。,7.798351,13.77034
24690,1,[MASK]好。看完只想把所有好东西都给它……,7.6720886,11.833759
6635,1,[MASK]好。我给你四星，反正我就是胆小。,8.124231,11.17151
4338,1,[MASK]好。除了人贩子，所有人都是受害者,8.24457,11.050731
25535,1,[MASK]好。逃离已知世界的勇气令人敬佩。,6.688804,10.941063
17716,1,[MASK]好。老一套温情，稍稍让我有点麻木,7.6377687,10.583633
47637,0,[MASK]好。我特么就想知道那句中文是什么,8.156578,10.413543
8508,1,[MASK]好。好看！但是最后那关不过瘾???,6.1692276,12.251822
23534,1,[MASK]好。谁能拒绝穿护士服的余春娇呢？,8.2721,10.766273
26207,0,[MASK]好。太恶心了~不要看~建议哈···,11.419864,10.353966
28591,0,[MASK]好。主角明明是章鱼，你叫潜艇总动员,8.015603,9.823827
19643,0,[MASK]好。没看。但是五星水军太恶心了。,8.779579,11.374997
31415,1,[MASK]好。爽着爽着导演就给你喂了一口屎,8.902366,10.419725
2047,0,[MASK]好。好的地方都是老舍的。★★★☆,7.287219,11.838123
9358,0,[MASK]好。感觉在铁匠铺呆了一宿。。。。,8.103221,11.040246
27611,1,[MASK]好。勇敢、努力、坚强的女孩都是公主,7.4258437,10.096535
24947,0,[MASK]好。埃德加赖特的GTA6？太屎了,8.93314,10.200211
24137,0,[MASK]好。小哥有精神洁癖呀，这点好赞。,8.152133,10.950702
18739,1,[MASK]好。永远不要忘记你所爱的人，感动,7.273364,10.119062
26928,0,[MASK]好。把所有人都拍这么难看太不容易了,8.3370695,10.533543
15616,1,[MASK]好。就想知道睡觉打呼噜的人怎么办,9.016625,10.695798
49084,1,[MASK]好。能把蒜皮当雪花的姑娘你真好。,7.578407,10.094597
46654,0,[MASK]好。我没想到加分项竟然是景甜老师。,7.9088573,10.942878
31054,0,[MASK]好。交通安全宣传片，情感关系咨询片,6.7450027,10.173255
22682,1,[MASK]好。Kylo在色誘Rey啊啊啊！！,8.747736,10.146094
21126,0,[MASK]好。演员升级，故事降级，无聊透了。,8.649564,10.306675
19669,0,[MASK]好。车行径你妈逼去死！杀人凶手！,9.046408,8.71871
38351,1,[MASK]好。最后奔跑拥抱那里真的好感动。,7.113355,11.589713
29835,0,[MASK]好。女个坏女人挺好看的，好友真真,7.929378,9.447289
20290,0,[MASK]好。犯我中华者，虽远必诛其超市！,7.5514474,8.390351
32379,1,[MASK]好。我眼拙。不过剧情还是吸引人的。,10.668749,10.939117
7517,1,[MASK]好。看哭了，我是不是自我代入太努力,9.071829,10.76521
47322,1,[MASK]好。生命不止，奔跑不息。励志电影,6.800006,9.2859125
48159,1,[MASK]好。全片都是彩蛋。最后两个彩蛋。,7.213511,10.849023
39334,0,[MASK]好。馮小剛的電影，簡稱「尬影」。,7.6265965,10.707211
30801,0,[MASK]好。特效不错吧，其他没什么感觉。,7.401783,12.280573
48912,0,[MASK]好。莫名其妙，演到一半变得毫无逻辑,8.736173,10.740732
27998,0,[MASK]好。好玩，看完很放鬆的輕鬆喜劇。,7.733421,13.012181
5783,0,[MASK]好。为了第三部放恐龙也是牛逼……,8.049391,10.483672
25444,1,[MASK]好。剧情紧凑，案件逼真，很好看。,7.299425,14.122811
45902,0,[MASK]好。发哥近年来也都是接的烂片子啊,9.417768,10.59687
41165,0,[MASK]好。不是赵丽颖差，而是朱琳太好。,8.779369,10.823518
3114,0,[MASK]好。题材不错，可惜片子真的很一般。,7.541235,12.636156
28516,1,[MASK]好。披着科幻片外衣的恐怖悬疑电影,7.4843025,11.582827
45673,0,[MASK]好。他们都在打酱油不要冤枉甜老师,8.627985,11.013437
44474,0,[MASK]好。虐杀白垃圾的感觉真的会超爽吧,7.2502737,10.401861
2914,1,[MASK]好。verycd上的三级太强悍了,8.52283,11.62683
36553,1,[MASK]好。比我想象的好看，和妈妈一起看的,7.90289,12.275275
35983,0,[MASK]好。世人久不见苍鹰，竟觉秃鹫美。,6.6948237,7.892722
24574,1,[MASK]好。看完了真的值得深思，很有深意。,7.891661,13.66038
16765,1,[MASK]好。赞美可爱善良孝顺的帕丁顿熊！！,6.942816,9.909394
3072,0,[MASK]好。忘了讲什么了。7分吧。看完了,8.456089,12.216677
43841,0,[MASK]好。立体机动装置的镜头拍得真是丑啊,8.516971,9.359916
13535,1,[MASK]好。答应我一定要去看3D的好吗？,8.596011,11.204093
27935,1,[MASK]好。能吓到人的恐怖片就是好恐怖片,8.060274,10.800989
37463,1,[MASK]好。“这房间里面的书都是你的了”,7.3030243,10.795858
17012,0,[MASK]好。傲慢自大的朝鲜人领导了此电影,7.832871,11.20238
50167,0,[MASK]好。下錯片來看了，這片看著噁心。,10.153208,10.20238
25900,0,[MASK]好。把功夫都用在P超人的胡子上了,7.874682,9.521736
43522,1,[MASK]好。我不管反正我看哭了我要给五星,8.658451,11.85673
14127,0,[MASK]好。梦蝶的发型是模仿鲶鱼设计的吗？,8.126789,10.571066
40591,1,[MASK]好。“你出得了海，你上得了岸吗？”,8.062805,10.405575
23780,1,[MASK]好。绝望感，徒劳感一点点地蔓延。,9.026784,10.89198
33622,0,[MASK]好。哇，大咖云集的大烂片。。。。,7.8562136,10.819484
6131,1,[MASK]好。真正的大片，真正的视觉盛宴。,6.7437816,12.19126
49046,1,[MASK]好。仗义每多屠狗辈，负心总是读书人,6.715426,7.716714
23480,1,[MASK]好。你爱我我爱你你变成我我变成你,7.488339,9.8298
30778,0,[MASK]好。只是猩猩版的胜利大逃亡或者越狱,8.884861,10.601005
26793,1,[MASK]好。休闲娱乐的一部童话故事片子。,7.114483,11.907551
47988,1,[MASK]好。尊重与认同，是靠实力争取来的,7.5265136,9.82238
7844,0,[MASK]好。最后还逼着看了场广场舞好尴尬啊,9.114209,10.524218
16611,1,[MASK]好。休格兰特荣升英国周润发宝座【,6.498637,8.66628
7068,1,[MASK]好。最后怎么突然就玄幻起来了？！,10.061935,10.549391
33251,1,[MASK]好。反转反转大反转，值得好好用心看,7.779573,10.208257
34533,0,[MASK]好。三星半吧。女主挺美。剧情太扯。,9.03735,11.09432
41274,0,[MASK]好。我不懂林志玲存在的意义是什么,9.318543,11.47604
2571,1,[MASK]好。我还蛮喜欢的vintage耶,7.025402,11.063479
7017,0,[MASK]好。视听成熟，剧作幼稚，表演出色。,5.796401,9.420554
33663,0,[MASK]好。渣看首映看的睡着为中国电影难过,8.258144,10.829354
41653,0,[MASK]好。这是东野圭吾被黑得最惨的一次,8.283581,11.455975
25798,1,[MASK]好。挺好看干嘛取这么一个傻中文名。,8.277521,10.401868
37930,0,[MASK]好。其实很一般，老流氓逝去的青春,8.664736,12.347523
41139,1,[MASK]好。称得上是国漫精品了。继续努力。,7.1175957,14.006513
44855,0,[MASK]好。一把年纪还在拍动作片也是心疼…,7.90557,11.187332
6199,0,[MASK]好。哈哈哈哈哈哈哈哈哈哈哈哈哈哈,8.054356,10.726262
23669,1,[MASK]好。人性的丑陋，不敢看透的人心。,7.804101,9.953431
40921,1,[MASK]好。我相信，看粤语效果会好很多。,7.6920676,12.467749
5358,0,[MASK]好。我怎么就这么讨厌这部电影呢？,9.861039,12.439311
31300,0,[MASK]好。合格爆米花大片附加價值觀輸出,7.109285,8.642343
47443,1,[MASK]好。故事不是关键，弥漫的氛围完胜。,6.53496,11.806835
19329,1,[MASK]好。一生筚路成天地，半恨亲仇错缘君,7.1869206,8.75167
30647,1,[MASK]好。还行，大猩猩很酷xxoo都懂,7.332754,10.356968
