,labels,text,ppl
8711,0,病人吃啊，挂面哈拉味，汤也腥。,116.21582041450412
5797,0,豆腐丝里吃出苍蝇，啥也不想说了,14.613078408494346
768,1,味道很好！送的也很快！好吃！,4.124082546557499
2518,1,菜品好，速度快，真是太好了！,4.555393072803706
7638,0,这家店就直接没送，接单不送的店,38.551933333351116
6583,0,送餐太慢太慢了～菜品还可以～,3.0711522979762766
6692,0,"下次能送早点就好啦,快饿过劲啦",40.87939245682797
484,1,"很好吃量也很大都吃不完,赞一个",14.766246817591657
11295,0,下单2个小时才送到。无语了。,4.183361870601408
2826,1,谢谢师傅，辛苦了！非常准时！,4.151919504801707
11958,0,粉很好吃，但是订了卤蛋却没有。,23.37886483739253
4074,0,"吃到一半发现菜里有小强,简直了",13.456169160330226
1568,1,米饭是硬的。。不如上一次好吃,10.52612338513865
10881,0,米饭里有一只蟑螂，让人怎么吃,5.496367249836604
6353,0,咖喱鸡肉烩意面，不知鸡肉滋味,8.474725456540758
4765,0,很慢就不说了，关键是还不好吃。,12.790406226459348
370,1,态度很好，效率很高，给十分赞,5.261585889538356
11746,0,速度慢，第一次订餐就迟到，晕,7.478121790906135
8159,0,送餐走错路，袋子还破了………,13.969504833638378
2366,1,一直买他家的香脆鸡肉披萨，喜欢,4.376040140768016
866,1,"师傅辛苦了，谢谢,下雪注意安全",6.680289901338119
2743,1,又快又好棒呆了哈哈哈哈哈哈哈,12.964182369057873
9911,0,石锅拌饭里面吃出了塑料包装纸袋,28.854201800666775
5045,0,菜品没味道。。。周也是。。。。,26.92442759186626
1563,1,又快又好又便宜！真心给力！！！,4.570491847454619
10234,0,面时间太长了，坨了，不好吃了,13.59731132217109
29,1,"送餐非常快,态度特别好,谢谢",3.91181721287129
6442,0,"太小了,味道一般,说多了都是泪",2.619235594351557
467,1,送餐员辛苦，饭也好吃，继续购买,5.128998427864599
58,1,"送餐特别快,送餐员态度也特别好",3.3530863700443074
1652,1,很快，也好，包装也好，赞赞赞,13.547915368426109
4529,0,味道还行，就是送餐太慢了……,2.716877263583805
88,1,"又快又好,小哥态度很好,好评",6.826202262927235
4524,0,"味道就那样把,盖浇饭挺难吃的",49.502358828389575
3085,1,外卖小哥人超级好。。。。。。,5.392786668172302
10811,0,速度挺快的，面不好吃，都凉了,8.489851148329448
8052,0,"点两份鸡柳,就给送,一份。。。",81.08703936080958
5562,0,太慢，太小，吃不饱。味道还行,4.711581797888524
5132,0,不好吃。。。菜太少了。。。。,5.187057477000025
2537,1,配送非常快，10分钟就送到啦～,4.039644796066304
2730,1,人好速度快，好评好评好评！！,14.31469159468844
6256,0,米粉比以前份量少，没以前好了,14.627557558069105
2717,1,东西非常好，还是热的，辛苦了！,5.994514409982022
5791,0,给的豆皮果然多，只是肉变少了,18.99647424179258
