,labels,text,ppl
23455,0,第二部就不该拍竟然还出第三部,8.591464156515089
37994,1,局气！规矩！管虎导了俩影帝了！,274.2335946410744
45474,0,前半段真好看，后半段越来越萎,6.315031689423742
37018,0,前面的剧情看得我尴尬癌都犯了,2.671123066668197
39152,0,混乱的情节，特么矫情无下限。,10.363799740332176
4952,0,适合能静得下心和有故事的人。,4.60315305777705
49922,1,最是人间留不住朱颜辞镜花辞树,102.89566606548931
18895,1,超级治愈又感人，狗狗真的好暖心,7.526921499179522
16855,0,密室设定很有意思，可惜未能维持,10.096214082173155
33344,1,原来巴萨的德国馆还有这个用处,10.826863310490177
43014,1,丫丫真的太美了，前夫哥好可爱,9.514941334160193
30945,0,烂的一逼，啥都没有，狗屁不通。,13.048487040446552
11202,1,这个玛丽苏我喜欢很好看求续集,14.716526129107812
43097,1,看了点映，好多戳中我泪点??,8.574079101367174
7229,0,郑恺和郭采洁还挺有cp感的。,6.061611430054126
46824,0,民乐要靠二次元来拯救了嘛……,19.26577931306383
44791,1,反正我追完了，为了女主的颜值,6.714035824453166
40750,0,我朋友说，她尴尬得想原地去世。,51.68081766334254
24357,0,今年作品太多了，有点透支了。,4.724905521796028
12065,0,我是真的觉得孙悟空的扮相太丑了,2.3261158367414927
44782,1,还可以吧……感觉题材还算新颖,3.662523126642057
11314,0,看完情圣来评评这部这部比情圣好,3.994878224278617
19047,1,它令我想起曾经怦然心动的轻吻,6.501050183232792
45899,0,发哥抄着烂片专业户就去了。。。,138.26951794153007
14214,0,第一集演得什么玩意儿，尴尬死了,6.455625637696208
31414,1,热热闹闹的，看得我好开心啊。,2.8620175678567934
25276,0,煽情煽成了MV，大家都笑了。,19.872823180599283
47776,1,最喜欢的科幻故事，很成功的改编,3.124196968654795
45012,1,还算可以哦，故事讲的挺精彩！,5.466706851300579
49786,0,被黑天鹅惊艳到了！美轮美奂！,3.7822722406177895
11029,0,到底在演什麼啊？？大爛片！！！,49.52010297010396
30704,1,卧槽我竟然看过啊啊啊啊啊啊啊,3.6296122018173476
3121,1,你无车无楼无番狗做乜要拖我手,113.28773413446304
9512,0,最弱版劳拉了吧？太弱了太无聊了,17.602984624705353
15976,0,重拍经典，孩子对恐惧的克服。,6.638115329777369
26862,1,太好看了！笑得我内分泌失调！,5.298802416480144
30395,0,本来两星，加一星给受罪的演员吧,9.691613577841391
22972,0,《星际特工：全宇宙看我们尬爱》,30.59465347762759
30570,0,特效不错啊，但剧情就大简单了,7.791768701658594
20588,0,气氛到位，演员不存，故事简单！,7.74604486626956
13869,0,看的点映，形式“精致”的大烂片,40.99077848956083
24216,1,最后居然没搞你们还是人吗？？？,9.622483245909986
32991,0,平淡真实不温不火我没懂哭点在哪,16.449394985721053
1732,1,其实伍迪哈里森演的是一个天使,12.246642227880042
4472,1,陈可辛拍商业文艺片真的不错~~,5.386076117637754
33439,0,泡泡妹子打打架，兄弟情在哪？,11.054958788331945
11847,0,一部非常尬的电影。不推荐观看。,8.601286815382187
16369,0,张艺谋式的漂亮画面，何必3D。,10.61542148002595
31321,0,"我不信你们没东西怼地雷啊=""=",33.08431147197014
18949,1,少男少女必看，爱与美的启蒙。,5.572986214862124
32102,1,迪斯尼的动画很赞，配乐很好听！,5.244010903873815
9630,1,喜欢坎妹素颜的劳拉，期待后续。,36.46739233930157
1571,1,演小安生的小朋友很像岳云鹏啊。,18.155614451280837
38226,1,你猜不到的结局…猜不到的惊异…,5.755696709709454
17406,0,卡尔文老师不是触手，是海蜇皮啊,43.37924396008748
24554,1,我不会说情话，只知道陪着你。,2.7762533717603204
6181,1,腕龙站在码头哀嚎的场景太泪目了,44.073216038094145
6583,0,比较难看的伪记录僵尸片...,8.6674001425599
6224,0,cctv6盛产类似的古装片……,20.75659165888334
39086,0,打一星以上的人都是咋想的！！！,10.405653163011575
14019,0,好吧，为了阿姨们的搏命演出。,14.934790532860193
10409,0,勉强合格。觉得周冬雨有点厉害。,3.687785526823621
24108,0,Highlyoverrated,151.2389879275771
21295,0,干了这碗毒鸡汤，来世不见张嘉佳,32.31410283586764
6067,1,妈的吓死我了叫得我嗓子都哑了,8.193552949815352
