,labels,text,ppl
82777,0,[泪] //@耿嘉晨：还真是,10.722015459462703
48250,1,爱上江西，没有理由！[哈哈],3.9706662420579657
100168,0,计划赶不上变化[抓狂][泪],3.6769382411388887
22319,1,芭其乐，大嘴快乐的家伙[爱你],35.73963193733141
70122,0,传统已逝??????[抓狂],8.426777701458168
6338,1,谢谢哈! 欢迎常来![鼓掌],8.02859111590042
20081,1,胖子手感好啊！[鼓掌][爱你],5.513089875762696
23064,1,生快！[干杯][蛋糕][鼓掌],10.137776962619183
84060,0,居然把我干儿子装脸盆里！[怒],16.55632159107605
93871,0,三哥总是这么的让人惊喜[晕],13.396398529520875
104161,0,此刻后：ko了... [晕],45.27014890420208
40416,1,[害羞][哈哈]@魔王1987,16.637878998947123
15376,1,随手拍祝大家周末愉快！[爱你],4.347099527491604
10199,1,是滴，美女。欢迎哦！[可爱],17.215849984462295
71224,0,偷贡品。不怕报应啊？。[衰],63.501765254147635
12238,1,[哈哈] //@独眼u:哈哈哈,10.507902495427155
77537,0,求二手智能手机。。。[抓狂],6.55819252567325
55063,1,是帮你挡酒的男的么？[嘻嘻],7.704532155249518
21548,1,原来很多国家都免签![哈哈],4.246190230072871
38076,1,百变大咖秀真的很快乐[哈哈],4.091604466849329
84198,0,[泪]//@那木错:[微风],48.1516709623855
27872,1,哈哈，强大[鼓掌][good],12.817104105006852
48051,1,眼睛一眨，美妞变辣妈！[哈哈],3.5130187597859543
18029,1,祝大家十一小长假快乐[太开心],2.572605527533833
115177,0,[泪] //@袁腾飞:[泪],10.743874743971032
114619,0,可怜的风扇[泪] 我要等正版！,13.777628731003292
64870,0,固执的大叔这场又好危险[失望],16.350684612900455
74958,0,办公室都是孩儿他娘！！！[怒],19.98413158453782
77734,0,//@地狱中的八尾猫: [衰],21.158318658346193
51580,1,财神到我手?[偷笑][鼓掌],13.401540904754922
54352,1,爱吃牛排的童鞋举个手~[爱你],3.530048182232258
8324,1,开始喽，看起来吧！！[鼓掌],9.449016860840453
106626,0,受伤，是个超级不好的消息[衰],6.187696659530116
15031,1,[哈哈][哈哈]收费大调查。。,6.274942218656751
8249,1,用美食向大家说早安~[嘻嘻],4.652151465063929
59782,0,愚人节的游戏，银行也玩呀[衰],6.74761070745689
110113,0,[衰]弄破了，基本上不会复原！,9.566579357565784
11405,1,哈，回忆录写到哪了？[嘻嘻],8.203036300662127
81138,0,书人搬家，其实就是搬书[晕],20.49857596339769
14831,1,《时尚旅游》也玩街拍了[哈哈],3.170307627882533
51446,1,阿姨做的菜相当好吃呢[爱你],3.86647285345163
73965,0,Facebook 还在跌[晕],42.22848342328951
101129,0,[抓狂] 你是在哪里腐败~~~,8.95405118340143
104892,0,男人动手…[怒][怒][怒],8.470421355597106
66040,0,我在这里：#闸北区#吃饭[泪],13.926983632972595
87632,0,难得休息的，竟然感冒了[泪],6.376185161996213
96063,0,知道得太晚了，遗憾！[失望],2.9537703726543425
81716,0,社会败坏的典型!?救了[衰],20.5961301353525
92195,0,姐，我给你跪下了，这才气[晕],13.454503762495516
95696,0,[泪]同意，让他们变成海豹!!,7.421134219711089
19351,1,//@好色小湿妹: [哈哈],14.594230160491524
41680,1,我觉得总结的很好，喜欢[鼓掌],2.885471139276587
21865,1,斯坦福正门左侧草坪。[嘻嘻],4.849605241498852
2453,1,[嘻嘻]重口味爱好者的福音来咯,3.3380216237681033
48755,1,转给来北京玩的童鞋们[可爱],4.443944365337438
53195,1,偷偷发张我师父的照片[哈哈],5.369268607078957
12712,1,好样的！[嘻嘻]你家就你牛！,13.766818365137075
94030,0,早知道找你买了还能越狱[抓狂],13.855598938273824
40934,1,我上班能穿成这样吗？[嘻嘻],3.4610009546961256
11905,1,[哈哈][哈哈][哈哈]翔子,4.640018370162838
56807,0,还有这么不要脸的[怒] 扩散,8.055935741811435
63131,0,最近压力让我头痛 [衰][晕],9.465914695635858
29589,1,@兔子奶奶熊的娘 还有[哈哈],21.840833538739396
101122,0,堵塞，不动！我快哭了！[泪],9.367642102252198
75355,0,下辈子该她被扔下去！！！[怒],24.03030929858067
70889,0,现在的快递啊，真心桑不起[泪],8.55147292585466
93899,0,我也有中奖的时候啊[泪][泪],1.9579927558340293
7932,1,[哈哈]//@大藏布:[哈哈],14.259304481749309
4819,1,有趣的“悲剧”设计！[哈哈],2.7778248478567567
112114,0,有把脚崴了。。。 大馒头[泪],35.54841967400972
9343,1,这透视，照成小短腿儿了[哈哈],15.745304883374587
86440,0,下冰雹了，我怎么回家呀[泪],7.687641696936642
82229,0,我也是男人//@???：[泪],9.024837096738471
34841,1,[鼓掌][鼓掌]期待精彩呈现,1.9278150056006422
106204,0,[泪]同求 粉待亲粉待亲呀！,21.60867123610023
63072,0,回去换身衣服准备第三场[抓狂],8.975615990350967
108363,0,狗狗是人类最忠实的朋友！[泪],2.106516183710247
51324,1,[太开心] 过500了~ ?~,18.503838632849465
48652,1,家庭聚会，愉快的周末！[爱你],3.634115545896297
50046,1,这么有意境的菜~~~[哈哈],5.430902531282104
69366,0,我滴亲丸子啊[泪][泪][泪],15.12715912893796
18022,1,//@电商报: 啊~~[哈哈],11.223048110884768
11792,1,谢谢喜欢我家的玛克丽[哈哈],6.995972760473148
51645,1,我发现我就是来发微博滴[可爱],5.493158823035233
75967,0,见过好多，就是学不来啊[衰],11.385013861716514
55553,0,操，你他妈干的是人事嘛[怒],18.693709318900186
63799,0,我好像午饭忘吃了。。。[晕],9.088166900491057
2403,1,生日快乐，美女快乐哦~[嘻嘻],3.207002462160999
87818,0,[鄙视]//@钱文忠: [泪],19.091783739280963
42197,1,[good]我要好吃的[亲亲],13.749227668034628
2716,1,享受生活的乐趣[哈哈][?力],5.728860011559307
