,labels,text,ppl
30574,0,怀疑是假货，洗发后感觉很不好,11.355627316218047
7598,1,手机质量很好哎，就是没有送礼品,4.38772833743548
43849,0,有差异的产品，下次不会选购了,7.946363341640501
10361,0,东西搭配了一堆没用的，给差评,7.7376817758793806
3099,1,一般般 会有卡顿 看电影还行,19.872779969480867
28438,1,不错很满意，物流小哥很给力。,5.588447263648768
34577,0,京东的配送就这样吗？真是失望,4.734554931192987
12015,0,非常不满意，大型游戏根本玩不了,4.574588267003571
31819,0,垃圾京东，收钱不发货，趁早倒闭,18.020467622171502
42623,1,衣服面料很舒服，柔软，大小合适,2.838916756337427
43428,0,哎与图片差距太大真心接受不了,11.921414670942381
38964,1,面料很好，款式时尚 穿上很舒服,3.076901392126436
32231,0,洗发水不正宗的，洗完头皮屑很多,9.683351599593527
17545,1,京东商城的商品实惠，继续支持！,3.989405322990507
36576,1,蒙牛出香蕉奶啦 味道还不错哦,36.08449815444122
6653,1,快递速度很快，平板用了还不错。,6.519524700190968
39896,1,大小合适，有弹力，辉常满意！,13.168339909316598
38971,1,刚收到货，很好，物超所值！！,10.901550203541845
41286,1,穿上变得特别帅，怎么呢？嘻嘻。,7.692004214800412
29583,1,超值值得购买！便宜实惠真的很好,4.322757226135365
12956,0,不咋好，显示不清楚，想贴膜的,13.180525481340178
31712,0,不好，这么贵还不好，我也是醉了,10.990437956912018
31680,0,啥时候到啊下单好几天了还没到?,9.252171577841569
60362,0,很一般，价格不高，但设备差！,7.190188161980169
45785,0,没穿几次就破2个洞，做工不好。,17.70878394423816
30820,0,被坑了，不好用，只能给一星?,30.054336278081426
10933,0,送货师傅不错，平板质量一般般,8.88063257707466
40218,1,穿上很舒服，面料不错，蛮好的,4.175199038629633
36597,1,蒙牛滴。。。口感醇厚，不错～,56.56432114222788
47403,0,衣服不行 ！！！ 快递也不给力,13.586627588601262
42213,1,质量好，做工精细。非常满意！,3.20440269825169
31785,0,不好用，味道太浓，不适合男人,5.167001348256903
46015,0,质量没有想像的那么好，不要上当,3.4575265446770294
42170,1,款式新颖，又合身，孩子很喜欢,3.804967199354422
43150,0,欺骗消费者！！！严重不符！！！,6.57198067855034
45415,0,商品没图上的好看，面料也不多好,12.887835434982943
30230,1,价格实惠，服务好，东西不错。,2.2179430971991523
47927,0,没收到商品，一个月了，差劲。,13.433264221347015
30018,1,好，不错，得蛮多的，划算，喜欢,12.712984831247898
26817,1,到货好快。服务好！东西满意！,6.12953538615638
5006,1,手机不错，屏大清晰，速度快。,6.947231479318863
44936,0,洗了掉色特严重，很硬，还没穿,20.734553603635202
16856,1,还味吃，现在觉得苹果越来越甜了,16.94463964689222
3845,1,不错 很喜欢 华为平板666,28.714533417918876
28242,1,洗发水好用，洗过头发很清爽…,9.132373474724236
42123,1,可以 比较满意 穿了再来评价,5.888035581453042
34621,0,有一瓶盖子烂了，流的到处都是。,14.107578380301755
33650,0,使用一般，和国货区别不是很大！,7.564200900748746
5554,1,好好的一个好的自己选的好好好货,28.84659292871603
30937,0,说好的吹风机在哪！太垃圾了！,12.001943533264507
60557,0,服务很一般，设施和装修也不好。,2.9938859780752805
46810,0,真的和网上看的差别真大，好垃圾,7.179498658275626
25754,1,看着还可以，小的赠送旅行装不错,12.340851201711974
43705,0,物流太慢太慢，衣服不怎么样，,5.515412082846108
18630,1,个头小但很甜，用来做早餐正好。,4.600224831962348
41784,1,商品不错，物超所值。真实体验。,5.6828521383859085
45106,0,非常一般，不推荐，不要贪便宜,2.9428742903709644
31546,0,昨天收到今天就降价，太过分了！,7.1033251742939605
43624,0,有股刺鼻的味道，还特别脏，差评,8.841845944686185
10107,0,差评，保护壳都没有，5星差评！,9.420408232845556
32824,0,不好用，不适合我的发质，起头屑,8.093819592247629
4883,1,不错物流给力，值得信赖，正品，,6.619919606319311
31305,0,发来就破了。。懒得跟客服叨叨了,35.70884868577631
17539,1,性价比真他们高。。。。够味还脆,88.69373060094058
3991,1,不错，给妈妈玩游戏用的，很喜欢,3.3763669236558935
35438,1,安装好了，还没用，感觉挺好的,5.221599998384453
10959,0,骗子。垃圾货。收到的卡装不了,15.066280558655412
38859,1,衣服挺好的，我一下子买了两件,3.1941280258458153
33344,0,还品牌垃圾要死，越洗越多头屑。,28.03599553406764
11811,0,不好买来好后悔玩游戏好卡差评。,40.225688434927065
26497,1,一如既往的快，态度好，日期新。,9.464253534686897
39505,1,裤子面料不错的 版型很喜欢啊,6.148728429629098
34065,0,买了很多次，这次的是假货，失望,10.145719435995556
