,labels,text,neg_logits,pos_logits
82777,0,[MASK]车。[泪] //@耿嘉晨：还真是,1.3810811,1.4422686
48250,1,[MASK]车。爱上江西，没有理由！[哈哈],1.5033078,1.8544475
100168,0,[MASK]车。计划赶不上变化[抓狂][泪],0.82746613,0.52293706
22319,1,[MASK]车。芭其乐，大嘴快乐的家伙[爱你],0.6270691,1.227772
70122,0,[MASK]车。传统已逝??????[抓狂],1.0545863,1.870271
6338,1,[MASK]车。谢谢哈! 欢迎常来![鼓掌],1.35251,0.207377
20081,1,[MASK]车。胖子手感好啊！[鼓掌][爱你],1.5019096,0.8473872
23064,1,[MASK]车。生快！[干杯][蛋糕][鼓掌],1.2466629,1.1935707
84060,0,[MASK]车。居然把我干儿子装脸盆里！[怒],1.45929,1.99988
93871,0,[MASK]车。三哥总是这么的让人惊喜[晕],0.36610597,1.3319038
104161,0,[MASK]车。此刻后：ko了... [晕],1.7334726,0.7414377
40416,1,[MASK]车。[害羞][哈哈]@魔王1987,0.9837673,1.2997385
15376,1,[MASK]车。随手拍祝大家周末愉快！[爱你],0.85431254,0.40717697
10199,1,[MASK]车。是滴，美女。欢迎哦！[可爱],1.7531582,2.2489636
71224,0,[MASK]车。偷贡品。不怕报应啊？。[衰],1.9095814,3.138491
12238,1,[MASK]车。[哈哈] //@独眼u:哈哈哈,1.4692389,1.1434298
77537,0,[MASK]车。求二手智能手机。。。[抓狂],1.6758194,1.3258263
55063,1,[MASK]车。是帮你挡酒的男的么？[嘻嘻],1.5686177,1.9028491
21548,1,[MASK]车。原来很多国家都免签![哈哈],2.5955036,1.8259859
38076,1,[MASK]车。百变大咖秀真的很快乐[哈哈],0.17711154,1.0128018
84198,0,[MASK]车。[泪]//@那木错:[微风],1.3781585,1.0614196
27872,1,[MASK]车。哈哈，强大[鼓掌][good],0.9915799,0.9167003
48051,1,[MASK]车。眼睛一眨，美妞变辣妈！[哈哈],0.6925781,1.4800862
18029,1,[MASK]车。祝大家十一小长假快乐[太开心],1.0435419,1.2191423
115177,0,[MASK]车。[泪] //@袁腾飞:[泪],1.3744771,1.5274855
114619,0,[MASK]车。可怜的风扇[泪] 我要等正版！,1.2736012,1.1482708
64870,0,[MASK]车。固执的大叔这场又好危险[失望],1.8864365,2.0599165
74958,0,[MASK]车。办公室都是孩儿他娘！！！[怒],1.6126447,1.3931733
77734,0,[MASK]车。//@地狱中的八尾猫: [衰],0.66470635,1.4520144
51580,1,[MASK]车。财神到我手?[偷笑][鼓掌],0.6058048,1.9666203
54352,1,[MASK]车。爱吃牛排的童鞋举个手~[爱你],0.9418491,1.2266414
8324,1,[MASK]车。开始喽，看起来吧！！[鼓掌],1.5952001,1.0588434
106626,0,[MASK]车。受伤，是个超级不好的消息[衰],0.9957683,1.4702566
15031,1,[MASK]车。[哈哈][哈哈]收费大调查。。,2.202586,1.2810333
8249,1,[MASK]车。用美食向大家说早安~[嘻嘻],0.96326065,1.2656002
59782,0,[MASK]车。愚人节的游戏，银行也玩呀[衰],0.9645984,2.286321
110113,0,[MASK]车。[衰]弄破了，基本上不会复原！,0.9115925,1.2677538
11405,1,[MASK]车。哈，回忆录写到哪了？[嘻嘻],0.9273088,1.5326751
81138,0,[MASK]车。书人搬家，其实就是搬书[晕],0.30472705,1.59864
14831,1,[MASK]车。《时尚旅游》也玩街拍了[哈哈],0.68294907,1.1072295
51446,1,[MASK]车。阿姨做的菜相当好吃呢[爱你],0.8134036,1.0340736
