,labels,text,neg_logits,pos_logits
8711,0,[MASK]好。病人吃啊，挂面哈拉味，汤也腥。,8.442368,8.662325
5797,0,[MASK]好。豆腐丝里吃出苍蝇，啥也不想说了,7.9629445,8.969047
768,1,[MASK]好。味道很好！送的也很快！好吃！,8.128907,13.341867
2518,1,[MASK]好。菜品好，速度快，真是太好了！,6.2146273,11.129465
7638,0,[MASK]好。这家店就直接没送，接单不送的店,8.481761,9.487187
6583,0,[MASK]好。送餐太慢太慢了～菜品还可以～,9.703358,10.55619
6692,0,"[MASK]好。下次能送早点就好啦,快饿过劲啦",8.8929,10.1521
484,1,"[MASK]好。很好吃量也很大都吃不完,赞一个",7.9540668,13.392935
11295,0,[MASK]好。下单2个小时才送到。无语了。,9.124127,10.09081
2826,1,[MASK]好。谢谢师傅，辛苦了！非常准时！,7.3005013,10.775275
11958,0,[MASK]好。粉很好吃，但是订了卤蛋却没有。,9.35435,10.464355
4074,0,"[MASK]好。吃到一半发现菜里有小强,简直了",7.44048,10.349278
1568,1,[MASK]好。米饭是硬的。。不如上一次好吃,10.399374,10.40331
10881,0,[MASK]好。米饭里有一只蟑螂，让人怎么吃,8.286917,7.9527006
6353,0,[MASK]好。咖喱鸡肉烩意面，不知鸡肉滋味,7.1659775,9.21132
4765,0,[MASK]好。很慢就不说了，关键是还不好吃。,9.556471,12.794701
370,1,[MASK]好。态度很好，效率很高，给十分赞,7.012652,12.833897
11746,0,[MASK]好。速度慢，第一次订餐就迟到，晕,9.483462,9.373193
8159,0,[MASK]好。送餐走错路，袋子还破了………,9.892301,8.877052
2366,1,[MASK]好。一直买他家的香脆鸡肉披萨，喜欢,7.501237,10.957733
866,1,"[MASK]好。师傅辛苦了，谢谢,下雪注意安全",6.9694915,9.587095
2743,1,[MASK]好。又快又好棒呆了哈哈哈哈哈哈哈,7.6647735,11.235865
9911,0,[MASK]好。石锅拌饭里面吃出了塑料包装纸袋,7.510453,9.059574
5045,0,[MASK]好。菜品没味道。。。周也是。。。。,11.017296,10.156925
1563,1,[MASK]好。又快又好又便宜！真心给力！！！,7.165569,11.117598
10234,0,[MASK]好。面时间太长了，坨了，不好吃了,10.022238,8.729063
29,1,"[MASK]好。送餐非常快,态度特别好,谢谢",7.0135975,12.0449295
6442,0,"[MASK]好。太小了,味道一般,说多了都是泪",9.062865,11.149664
467,1,[MASK]好。送餐员辛苦，饭也好吃，继续购买,6.5108433,9.119051
58,1,"[MASK]好。送餐特别快,送餐员态度也特别好",6.6494102,10.535014
1652,1,[MASK]好。很快，也好，包装也好，赞赞赞,6.632584,13.183383
4529,0,[MASK]好。味道还行，就是送餐太慢了……,7.341458,12.48024
88,1,"[MASK]好。又快又好,小哥态度很好,好评",6.994969,11.456996
4524,0,"[MASK]好。味道就那样把,盖浇饭挺难吃的",8.891037,10.487115
3085,1,[MASK]好。外卖小哥人超级好。。。。。。,6.8012075,11.029669
10811,0,[MASK]好。速度挺快的，面不好吃，都凉了,6.980496,9.474498
8052,0,"[MASK]好。点两份鸡柳,就给送,一份。。。",6.246106,8.438569
5562,0,[MASK]好。太慢，太小，吃不饱。味道还行,9.840234,11.500212
5132,0,[MASK]好。不好吃。。。菜太少了。。。。,13.632498,11.787418
2537,1,[MASK]好。配送非常快，10分钟就送到啦～,7.09968,12.358926
2730,1,[MASK]好。人好速度快，好评好评好评！！,5.4765778,8.568482
6256,0,[MASK]好。米粉比以前份量少，没以前好了,8.960611,9.553749
2717,1,[MASK]好。东西非常好，还是热的，辛苦了！,7.886503,11.41585
5791,0,[MASK]好。给的豆皮果然多，只是肉变少了,6.300335,9.321649
434,1,[MASK]好。很快，很好，经常订，谢谢师傅,7.700279,14.601298
2067,1,[MASK]好。非常好吃，送餐很快，绝对好评,7.370645,11.995677
8096,0,[MASK]好。就薯条还行！其他都不怎么样！,10.1564,11.70417
1952,1,[MASK]好。味道还好。服务态度真的很好～！,7.6350093,11.565463
6980,0,[MASK]好。咋的跟饿了吗不一样的名，坑爹,9.11866,9.168457
2435,1,[MASK]好。经常买这家的饺子，味道棒棒哒！,7.5735965,11.644344
9055,0,[MASK]好。没有在店里吃好吃，萝卜太多了,9.770406,10.227454
1653,1,[MASK]好。除了速度有待加强，其他都不错,6.572233,11.811629
3654,1,[MASK]好。没有餐具哦，还要自己点餐具么,7.929991,10.297275
1739,1,"[MASK]好。服务不错,但是太难吃了啊啊啊",7.7426515,12.130312
11045,0,[MASK]好。面也太少了，才半盒，我就没吃饱,9.0606785,10.020484
2626,1,[MASK]好。非常的正宗，就是羊杂汤太咸啦,7.724709,11.684354
7925,0,[MASK]好。午餐肉实在太难吃了，千万别点,8.732344,10.008116
5910,0,[MASK]好。真的不适合外卖，另外，真难吃,9.7013855,10.610153
11336,0,[MASK]好。我的电话打不通，不知道为什么,9.052517,10.554115
809,1,[MASK]好。很好，速度飞快，炸鸡有点火大,8.425,14.489207
661,1,[MASK]好。太快了！！简直是神速啊！！！,8.631058,11.383455
396,1,"[MASK]好。第二次买了,挺好的,以后继续",8.355761,10.330925
5702,0,[MASK]好。我备注要的粥，结果送来的是饮料,7.8130527,9.48422
10859,0,[MASK]好。赠送的黄飞红花生呢？没送啊！！,8.359593,8.614777
