,labels,text,ppl
23455,0,第二部就不该拍竟然还出第三部,37.33490268934352
37994,1,局气！规矩！管虎导了俩影帝了！,1285.4842134316427
45474,0,前半段真好看，后半段越来越萎,17.918218016066668
37018,0,前面的剧情看得我尴尬癌都犯了,17.038481942015956
39152,0,混乱的情节，特么矫情无下限。,31.004039993515246
4952,0,适合能静得下心和有故事的人。,13.000316644551038
49922,1,最是人间留不住朱颜辞镜花辞树,845.5740914475487
18895,1,超级治愈又感人，狗狗真的好暖心,15.569394895791289
16855,0,密室设定很有意思，可惜未能维持,27.645131179681453
33344,1,原来巴萨的德国馆还有这个用处,89.85501123389705
43014,1,丫丫真的太美了，前夫哥好可爱,42.8128040574282
30945,0,烂的一逼，啥都没有，狗屁不通。,21.65566079908467
11202,1,这个玛丽苏我喜欢很好看求续集,57.9625801429214
43097,1,看了点映，好多戳中我泪点??,162.5432894667997
7229,0,郑恺和郭采洁还挺有cp感的。,101.78322066342805
46824,0,民乐要靠二次元来拯救了嘛……,78.48424340507475
44791,1,反正我追完了，为了女主的颜值,23.82596780192153
40750,0,我朋友说，她尴尬得想原地去世。,34.1794155709541
24357,0,今年作品太多了，有点透支了。,10.879407296908104
12065,0,我是真的觉得孙悟空的扮相太丑了,14.43877569255507
44782,1,还可以吧……感觉题材还算新颖,12.40975390060815
11314,0,看完情圣来评评这部这部比情圣好,50.51066684774778
19047,1,它令我想起曾经怦然心动的轻吻,14.181314325076448
45899,0,发哥抄着烂片专业户就去了。。。,276.9770830521251
14214,0,第一集演得什么玩意儿，尴尬死了,16.394604344686865
31414,1,热热闹闹的，看得我好开心啊。,8.924923294455487
25276,0,煽情煽成了MV，大家都笑了。,50.12210201960365
47776,1,最喜欢的科幻故事，很成功的改编,12.532909017666977
45012,1,还算可以哦，故事讲的挺精彩！,51.79412259097616
49786,0,被黑天鹅惊艳到了！美轮美奂！,36.648187221265886
11029,0,到底在演什麼啊？？大爛片！！！,74.80609898866541
30704,1,卧槽我竟然看过啊啊啊啊啊啊啊,25.637971671960663
3121,1,你无车无楼无番狗做乜要拖我手,810.3110393491918
9512,0,最弱版劳拉了吧？太弱了太无聊了,141.85436668177834
15976,0,重拍经典，孩子对恐惧的克服。,16.824871114661864
26862,1,太好看了！笑得我内分泌失调！,34.61216361014618
30395,0,本来两星，加一星给受罪的演员吧,78.1454964312478
22972,0,《星际特工：全宇宙看我们尬爱》,60.40947386468764
30570,0,特效不错啊，但剧情就大简单了,58.23321612049265
20588,0,气氛到位，演员不存，故事简单！,47.92207368303163
13869,0,看的点映，形式“精致”的大烂片,163.21657164696038
24216,1,最后居然没搞你们还是人吗？？？,56.29229193433346
32991,0,平淡真实不温不火我没懂哭点在哪,142.17445274604898
1732,1,其实伍迪哈里森演的是一个天使,24.00199241237483
4472,1,陈可辛拍商业文艺片真的不错~~,33.67336980034623
33439,0,泡泡妹子打打架，兄弟情在哪？,60.95370383507774
11847,0,一部非常尬的电影。不推荐观看。,9.525313043054506
16369,0,张艺谋式的漂亮画面，何必3D。,35.112396434152146
31321,0,"我不信你们没东西怼地雷啊=""=",147.7708019402694
18949,1,少男少女必看，爱与美的启蒙。,20.426201513171502
32102,1,迪斯尼的动画很赞，配乐很好听！,39.500236663697976
9630,1,喜欢坎妹素颜的劳拉，期待后续。,89.14148903945011
1571,1,演小安生的小朋友很像岳云鹏啊。,75.292648497565
38226,1,你猜不到的结局…猜不到的惊异…,34.76123299663492
17406,0,卡尔文老师不是触手，是海蜇皮啊,58.25713408458214
24554,1,我不会说情话，只知道陪着你。,8.375137570945155
6181,1,腕龙站在码头哀嚎的场景太泪目了,184.74941605871396
6583,0,比较难看的伪记录僵尸片...,27.8995965404713
6224,0,cctv6盛产类似的古装片……,76.99619945512953
39086,0,打一星以上的人都是咋想的！！！,52.3711933306626
14019,0,好吧，为了阿姨们的搏命演出。,26.490907642390834
10409,0,勉强合格。觉得周冬雨有点厉害。,15.979694382427828
24108,0,Highlyoverrated,12353.051011172061
21295,0,干了这碗毒鸡汤，来世不见张嘉佳,153.67431137279684
6067,1,妈的吓死我了叫得我嗓子都哑了,221.47047477165032
9505,0,寻父，遇彦祖。掘墓，炸病毒。,160.38999642676515
41265,0,嗯电影院椅子挺舒服，睡得挺好,76.09083660343175
48553,1,Pixar真的没有让我失望过。,14.481719576465585
24690,1,看完只想把所有好东西都给它……,13.529542992637127
6635,1,我给你四星，反正我就是胆小。,20.7150542914449
4338,1,除了人贩子，所有人都是受害者,7.047240411571521
25535,1,逃离已知世界的勇气令人敬佩。,14.584042960233587
17716,1,老一套温情，稍稍让我有点麻木,24.533927939338703
47637,0,我特么就想知道那句中文是什么,13.048071273540124
8508,1,好看！但是最后那关不过瘾???,50.742552739367326
23534,1,谁能拒绝穿护士服的余春娇呢？,29.60921703646176
26207,0,太恶心了~不要看~建议哈···,57.27537995840617
28591,0,主角明明是章鱼，你叫潜艇总动员,28.735194270260752
19643,0,没看。但是五星水军太恶心了。,83.88322031207608
31415,1,爽着爽着导演就给你喂了一口屎,51.81042642587945
2047,0,好的地方都是老舍的。★★★☆,159.85913212031338
9358,0,感觉在铁匠铺呆了一宿。。。。,23.522402847924106
27611,1,勇敢、努力、坚强的女孩都是公主,18.00152470287618
24947,0,埃德加赖特的GTA6？太屎了,1334.67838724876
24137,0,小哥有精神洁癖呀，这点好赞。,40.89219744109556
18739,1,永远不要忘记你所爱的人，感动,6.501428315165081
26928,0,把所有人都拍这么难看太不容易了,13.512539450152222
15616,1,就想知道睡觉打呼噜的人怎么办,9.75205252326333
49084,1,能把蒜皮当雪花的姑娘你真好。,42.83130086532819
46654,0,我没想到加分项竟然是景甜老师。,31.404259223434476
31054,0,交通安全宣传片，情感关系咨询片,8.396621908395582
22682,1,Kylo在色誘Rey啊啊啊！！,1148.6532178826656
21126,0,演员升级，故事降级，无聊透了。,12.967415789522704
19669,0,车行径你妈逼去死！杀人凶手！,197.46915927685623
38351,1,最后奔跑拥抱那里真的好感动。,13.760312649855857
29835,0,女个坏女人挺好看的，好友真真,66.62714552734981
20290,0,犯我中华者，虽远必诛其超市！,143.0118905831341
32379,1,我眼拙。不过剧情还是吸引人的。,26.36378204640646
7517,1,看哭了，我是不是自我代入太努力,103.44882039790825
47322,1,生命不止，奔跑不息。励志电影,11.378527917651255
48159,1,全片都是彩蛋。最后两个彩蛋。,10.720677102443473
39334,0,馮小剛的電影，簡稱「尬影」。,26.613122780279745
30801,0,特效不错吧，其他没什么感觉。,23.545942644389303
48912,0,莫名其妙，演到一半变得毫无逻辑,16.25566750060518
27998,0,好玩，看完很放鬆的輕鬆喜劇。,28.56670306337907
5783,0,为了第三部放恐龙也是牛逼……,94.30794506240984
25444,1,剧情紧凑，案件逼真，很好看。,9.622999547149904
45902,0,发哥近年来也都是接的烂片子啊,128.416153223037
41165,0,不是赵丽颖差，而是朱琳太好。,67.07635792761407
3114,0,题材不错，可惜片子真的很一般。,16.90151719647426
28516,1,披着科幻片外衣的恐怖悬疑电影,13.91289307957923
45673,0,他们都在打酱油不要冤枉甜老师,80.32198104944781
44474,0,虐杀白垃圾的感觉真的会超爽吧,53.69594479742582
2914,1,verycd上的三级太强悍了,241.23834647574657
36553,1,比我想象的好看，和妈妈一起看的,9.975693766706069
35983,0,世人久不见苍鹰，竟觉秃鹫美。,83.22446786360912
24574,1,看完了真的值得深思，很有深意。,15.662570417742453
16765,1,赞美可爱善良孝顺的帕丁顿熊！！,569.1341906765858
3072,0,忘了讲什么了。7分吧。看完了,31.758143871479962
43841,0,立体机动装置的镜头拍得真是丑啊,47.94909599815568
13535,1,答应我一定要去看3D的好吗？,18.745627119832942
27935,1,能吓到人的恐怖片就是好恐怖片,9.924685396627737
37463,1,“这房间里面的书都是你的了”,49.32131580967171
17012,0,傲慢自大的朝鲜人领导了此电影,23.274075343726448
50167,0,下錯片來看了，這片看著噁心。,129.16595422703668
25900,0,把功夫都用在P超人的胡子上了,152.03346251176038
43522,1,我不管反正我看哭了我要给五星,121.78363735723096
14127,0,梦蝶的发型是模仿鲶鱼设计的吗？,23.376052473758296
40591,1,“你出得了海，你上得了岸吗？”,30.58408839497805
23780,1,绝望感，徒劳感一点点地蔓延。,50.938861653310056
33622,0,哇，大咖云集的大烂片。。。。,83.85048281832702
6131,1,真正的大片，真正的视觉盛宴。,8.998299522116934
49046,1,仗义每多屠狗辈，负心总是读书人,192.334291900146
23480,1,你爱我我爱你你变成我我变成你,13.097364262049258
30778,0,只是猩猩版的胜利大逃亡或者越狱,59.80424685030203
26793,1,休闲娱乐的一部童话故事片子。,11.69169287543678
47988,1,尊重与认同，是靠实力争取来的,11.101664907384706
