,labels,text,neg_logits,pos_logits
23455,0,[MASK]可以。第二部就不该拍竟然还出第三部,11.339119,6.985501
37994,1,[MASK]可以。局气！规矩！管虎导了俩影帝了！,10.372651,6.2787967
45474,0,[MASK]可以。前半段真好看，后半段越来越萎,9.822819,7.5204234
37018,0,[MASK]可以。前面的剧情看得我尴尬癌都犯了,10.270505,7.372072
39152,0,[MASK]可以。混乱的情节，特么矫情无下限。,10.897662,6.6684594
4952,0,[MASK]可以。适合能静得下心和有故事的人。,8.393078,6.9017544
49922,1,[MASK]可以。最是人间留不住朱颜辞镜花辞树,10.024086,6.1842394
18895,1,[MASK]可以。超级治愈又感人，狗狗真的好暖心,9.841014,7.2047143
16855,0,[MASK]可以。密室设定很有意思，可惜未能维持,10.011929,6.947246
33344,1,[MASK]可以。原来巴萨的德国馆还有这个用处,10.983655,6.7413673
43014,1,[MASK]可以。丫丫真的太美了，前夫哥好可爱,9.979567,7.5205836
30945,0,[MASK]可以。烂的一逼，啥都没有，狗屁不通。,9.615348,6.8134184
11202,1,[MASK]可以。这个玛丽苏我喜欢很好看求续集,9.785252,7.6958833
43097,1,[MASK]可以。看了点映，好多戳中我泪点??,9.17881,7.859288
7229,0,[MASK]可以。郑恺和郭采洁还挺有cp感的。,9.801632,8.4251375
46824,0,[MASK]可以。民乐要靠二次元来拯救了嘛……,11.346573,6.660815
44791,1,[MASK]可以。反正我追完了，为了女主的颜值,9.976897,6.772753
40750,0,[MASK]可以。我朋友说，她尴尬得想原地去世。,10.929361,6.8610454
24357,0,[MASK]可以。今年作品太多了，有点透支了。,9.8945,7.42548
12065,0,[MASK]可以。我是真的觉得孙悟空的扮相太丑了,11.764912,7.344439
44782,1,[MASK]可以。还可以吧……感觉题材还算新颖,9.286772,8.63086
11314,0,[MASK]可以。看完情圣来评评这部这部比情圣好,10.511629,7.983582
19047,1,[MASK]可以。它令我想起曾经怦然心动的轻吻,9.542446,6.434616
45899,0,[MASK]可以。发哥抄着烂片专业户就去了。。。,10.325677,6.8909864
14214,0,[MASK]可以。第一集演得什么玩意儿，尴尬死了,10.423947,7.671758
31414,1,[MASK]可以。热热闹闹的，看得我好开心啊。,9.03309,7.393518
25276,0,[MASK]可以。煽情煽成了MV，大家都笑了。,9.489837,7.586302
47776,1,[MASK]可以。最喜欢的科幻故事，很成功的改编,9.794957,7.7049675
45012,1,[MASK]可以。还算可以哦，故事讲的挺精彩！,9.5862,8.470227
49786,0,[MASK]可以。被黑天鹅惊艳到了！美轮美奂！,10.8776245,7.2488074
11029,0,[MASK]可以。到底在演什麼啊？？大爛片！！！,9.654836,6.216967
30704,1,[MASK]可以。卧槽我竟然看过啊啊啊啊啊啊啊,10.582653,6.9664817
3121,1,[MASK]可以。你无车无楼无番狗做乜要拖我手,10.334605,5.491755
9512,0,[MASK]可以。最弱版劳拉了吧？太弱了太无聊了,10.204319,7.416349
15976,0,[MASK]可以。重拍经典，孩子对恐惧的克服。,10.400594,6.7314057
26862,1,[MASK]可以。太好看了！笑得我内分泌失调！,9.443533,7.633313
30395,0,[MASK]可以。本来两星，加一星给受罪的演员吧,10.272188,6.59792
22972,0,[MASK]可以。《星际特工：全宇宙看我们尬爱》,10.349195,6.590839
30570,0,[MASK]可以。特效不错啊，但剧情就大简单了,9.021903,7.9589367
20588,0,[MASK]可以。气氛到位，演员不存，故事简单！,9.108679,8.0156355
13869,0,[MASK]可以。看的点映，形式“精致”的大烂片,9.769162,6.612771
24216,1,[MASK]可以。最后居然没搞你们还是人吗？？？,10.556144,6.476481
32991,0,[MASK]可以。平淡真实不温不火我没懂哭点在哪,8.47134,6.72773
1732,1,[MASK]可以。其实伍迪哈里森演的是一个天使,10.959818,7.3879123
4472,1,[MASK]可以。陈可辛拍商业文艺片真的不错~~,9.686324,8.837811
33439,0,[MASK]可以。泡泡妹子打打架，兄弟情在哪？,10.678464,6.604608
11847,0,[MASK]可以。一部非常尬的电影。不推荐观看。,10.27196,7.9061656
16369,0,[MASK]可以。张艺谋式的漂亮画面，何必3D。,10.031627,5.966061
31321,0,"[MASK]可以。我不信你们没东西怼地雷啊=""=",10.303956,5.5627
18949,1,[MASK]可以。少男少女必看，爱与美的启蒙。,10.401926,6.8324695
32102,1,[MASK]可以。迪斯尼的动画很赞，配乐很好听！,9.653813,9.035662
9630,1,[MASK]可以。喜欢坎妹素颜的劳拉，期待后续。,8.800065,6.8554616
1571,1,[MASK]可以。演小安生的小朋友很像岳云鹏啊。,10.662211,8.583669
38226,1,[MASK]可以。你猜不到的结局…猜不到的惊异…,10.892255,6.872003
17406,0,[MASK]可以。卡尔文老师不是触手，是海蜇皮啊,10.966168,7.1122556
24554,1,[MASK]可以。我不会说情话，只知道陪着你。,10.526952,6.5462165
6181,1,[MASK]可以。腕龙站在码头哀嚎的场景太泪目了,10.237057,6.615049
6583,0,[MASK]可以。比较难看的伪记录僵尸片...,10.116646,7.3426976
6224,0,[MASK]可以。cctv6盛产类似的古装片……,10.593883,7.4219337
39086,0,[MASK]可以。打一星以上的人都是咋想的！！！,10.040487,5.647512
14019,0,[MASK]可以。好吧，为了阿姨们的搏命演出。,10.308181,6.8477373
10409,0,[MASK]可以。勉强合格。觉得周冬雨有点厉害。,9.162393,7.7058325
24108,0,[MASK]可以。Highlyoverrated,10.307331,5.6963005
21295,0,[MASK]可以。干了这碗毒鸡汤，来世不见张嘉佳,10.688986,6.466181
6067,1,[MASK]可以。妈的吓死我了叫得我嗓子都哑了,9.879926,6.357244
