,labels,text,neg_logits,pos_logits
23455,0,[MASK]喜欢。第二部就不该拍竟然还出第三部,11.533362,11.85296
37994,1,[MASK]喜欢。局气！规矩！管虎导了俩影帝了！,11.468017,9.577769
45474,0,[MASK]喜欢。前半段真好看，后半段越来越萎,10.862337,11.909917
37018,0,[MASK]喜欢。前面的剧情看得我尴尬癌都犯了,11.344661,11.866939
39152,0,[MASK]喜欢。混乱的情节，特么矫情无下限。,12.871244,10.587017
4952,0,[MASK]喜欢。适合能静得下心和有故事的人。,11.393684,11.92244
49922,1,[MASK]喜欢。最是人间留不住朱颜辞镜花辞树,12.121654,11.966906
18895,1,[MASK]喜欢。超级治愈又感人，狗狗真的好暖心,9.468704,13.011218
16855,0,[MASK]喜欢。密室设定很有意思，可惜未能维持,10.535756,11.908227
33344,1,[MASK]喜欢。原来巴萨的德国馆还有这个用处,10.279405,12.339257
43014,1,[MASK]喜欢。丫丫真的太美了，前夫哥好可爱,10.990835,12.131214
30945,0,[MASK]喜欢。烂的一逼，啥都没有，狗屁不通。,13.155267,9.303009
11202,1,[MASK]喜欢。这个玛丽苏我喜欢很好看求续集,12.054251,12.562542
43097,1,[MASK]喜欢。看了点映，好多戳中我泪点??,10.912078,13.093499
7229,0,[MASK]喜欢。郑恺和郭采洁还挺有cp感的。,11.980591,12.403732
46824,0,[MASK]喜欢。民乐要靠二次元来拯救了嘛……,10.978456,11.288358
44791,1,[MASK]喜欢。反正我追完了，为了女主的颜值,12.337553,11.73758
40750,0,[MASK]喜欢。我朋友说，她尴尬得想原地去世。,12.605089,11.998247
24357,0,[MASK]喜欢。今年作品太多了，有点透支了。,12.30414,12.514654
12065,0,[MASK]喜欢。我是真的觉得孙悟空的扮相太丑了,13.101301,12.190341
44782,1,[MASK]喜欢。还可以吧……感觉题材还算新颖,10.950962,12.929375
11314,0,[MASK]喜欢。看完情圣来评评这部这部比情圣好,11.70773,12.190399
19047,1,[MASK]喜欢。它令我想起曾经怦然心动的轻吻,10.79418,12.172527
45899,0,[MASK]喜欢。发哥抄着烂片专业户就去了。。。,12.137673,10.5702
14214,0,[MASK]喜欢。第一集演得什么玩意儿，尴尬死了,12.124094,12.045511
31414,1,[MASK]喜欢。热热闹闹的，看得我好开心啊。,11.189946,12.439164
25276,0,[MASK]喜欢。煽情煽成了MV，大家都笑了。,10.368716,12.924526
47776,1,[MASK]喜欢。最喜欢的科幻故事，很成功的改编,10.948629,12.121796
45012,1,[MASK]喜欢。还算可以哦，故事讲的挺精彩！,9.851535,12.644212
49786,0,[MASK]喜欢。被黑天鹅惊艳到了！美轮美奂！,10.418457,12.767386
11029,0,[MASK]喜欢。到底在演什麼啊？？大爛片！！！,12.507209,11.276342
30704,1,[MASK]喜欢。卧槽我竟然看过啊啊啊啊啊啊啊,11.127949,12.168666
3121,1,[MASK]喜欢。你无车无楼无番狗做乜要拖我手,10.851085,9.233167
9512,0,[MASK]喜欢。最弱版劳拉了吧？太弱了太无聊了,12.125357,11.2866955
15976,0,[MASK]喜欢。重拍经典，孩子对恐惧的克服。,10.487198,11.932248
26862,1,[MASK]喜欢。太好看了！笑得我内分泌失调！,10.666747,11.706495
30395,0,[MASK]喜欢。本来两星，加一星给受罪的演员吧,12.113193,11.465954
22972,0,[MASK]喜欢。《星际特工：全宇宙看我们尬爱》,11.526078,11.878594
30570,0,[MASK]喜欢。特效不错啊，但剧情就大简单了,11.071908,12.609539
20588,0,[MASK]喜欢。气氛到位，演员不存，故事简单！,9.721384,12.576665
13869,0,[MASK]喜欢。看的点映，形式“精致”的大烂片,11.803455,10.394748
24216,1,[MASK]喜欢。最后居然没搞你们还是人吗？？？,11.464703,10.323384
32991,0,[MASK]喜欢。平淡真实不温不火我没懂哭点在哪,12.263264,11.128116
1732,1,[MASK]喜欢。其实伍迪哈里森演的是一个天使,11.240287,12.624643
4472,1,[MASK]喜欢。陈可辛拍商业文艺片真的不错~~,11.234837,13.251463
33439,0,[MASK]喜欢。泡泡妹子打打架，兄弟情在哪？,11.504454,9.930695
11847,0,[MASK]喜欢。一部非常尬的电影。不推荐观看。,14.472668,12.569562
16369,0,[MASK]喜欢。张艺谋式的漂亮画面，何必3D。,11.482563,12.134637
31321,0,"[MASK]喜欢。我不信你们没东西怼地雷啊=""=",11.656249,11.130996
18949,1,[MASK]喜欢。少男少女必看，爱与美的启蒙。,11.1178,12.476711
32102,1,[MASK]喜欢。迪斯尼的动画很赞，配乐很好听！,10.246237,13.594115
9630,1,[MASK]喜欢。喜欢坎妹素颜的劳拉，期待后续。,12.769881,11.53697
1571,1,[MASK]喜欢。演小安生的小朋友很像岳云鹏啊。,11.315524,13.549852
38226,1,[MASK]喜欢。你猜不到的结局…猜不到的惊异…,10.828375,11.763667
17406,0,[MASK]喜欢。卡尔文老师不是触手，是海蜇皮啊,11.874666,12.296494
24554,1,[MASK]喜欢。我不会说情话，只知道陪着你。,12.550009,12.779645
6181,1,[MASK]喜欢。腕龙站在码头哀嚎的场景太泪目了,11.47258,11.992995
6583,0,[MASK]喜欢。比较难看的伪记录僵尸片...,12.359174,11.992911
6224,0,[MASK]喜欢。cctv6盛产类似的古装片……,10.88948,12.1729555
39086,0,[MASK]喜欢。打一星以上的人都是咋想的！！！,10.998167,9.31713
14019,0,[MASK]喜欢。好吧，为了阿姨们的搏命演出。,10.80585,11.794516
10409,0,[MASK]喜欢。勉强合格。觉得周冬雨有点厉害。,13.877266,12.181774
24108,0,[MASK]喜欢。Highlyoverrated,11.587085,10.785013
21295,0,[MASK]喜欢。干了这碗毒鸡汤，来世不见张嘉佳,12.2056875,10.64394
6067,1,[MASK]喜欢。妈的吓死我了叫得我嗓子都哑了,11.811099,11.806602
9505,0,[MASK]喜欢。寻父，遇彦祖。掘墓，炸病毒。,10.834249,9.0903635
