,labels,text,neg_logits,pos_logits
8711,0,[MASK]黑。病人吃啊，挂面哈拉味，汤也腥。,2.8139763,7.0176034
5797,0,[MASK]黑。豆腐丝里吃出苍蝇，啥也不想说了,3.3342004,5.443247
768,1,[MASK]黑。味道很好！送的也很快！好吃！,3.9739423,6.328815
2518,1,[MASK]黑。菜品好，速度快，真是太好了！,2.6811285,5.812421
7638,0,[MASK]黑。这家店就直接没送，接单不送的店,2.732252,4.613013
6583,0,[MASK]黑。送餐太慢太慢了～菜品还可以～,3.2449975,5.1283274
6692,0,"[MASK]黑。下次能送早点就好啦,快饿过劲啦",2.5227134,6.0936475
484,1,"[MASK]黑。很好吃量也很大都吃不完,赞一个",3.839026,7.2366533
11295,0,[MASK]黑。下单2个小时才送到。无语了。,3.9217868,4.8649993
2826,1,[MASK]黑。谢谢师傅，辛苦了！非常准时！,4.0661364,6.5586734
11958,0,[MASK]黑。粉很好吃，但是订了卤蛋却没有。,4.5426364,7.1131988
4074,0,"[MASK]黑。吃到一半发现菜里有小强,简直了",3.2839506,6.4412003
1568,1,[MASK]黑。米饭是硬的。。不如上一次好吃,2.106927,5.4113545
10881,0,[MASK]黑。米饭里有一只蟑螂，让人怎么吃,3.72677,6.36033
6353,0,[MASK]黑。咖喱鸡肉烩意面，不知鸡肉滋味,2.3552294,5.1115637
4765,0,[MASK]黑。很慢就不说了，关键是还不好吃。,3.8300781,6.852923
370,1,[MASK]黑。态度很好，效率很高，给十分赞,2.904146,4.6216526
11746,0,[MASK]黑。速度慢，第一次订餐就迟到，晕,3.3301091,5.2052875
8159,0,[MASK]黑。送餐走错路，袋子还破了………,2.9245834,4.919948
2366,1,[MASK]黑。一直买他家的香脆鸡肉披萨，喜欢,2.3550105,4.9762163
866,1,"[MASK]黑。师傅辛苦了，谢谢,下雪注意安全",2.5228477,5.4277577
2743,1,[MASK]黑。又快又好棒呆了哈哈哈哈哈哈哈,2.6740685,5.263161
9911,0,[MASK]黑。石锅拌饭里面吃出了塑料包装纸袋,2.303309,5.150109
5045,0,[MASK]黑。菜品没味道。。。周也是。。。。,2.4594257,5.4381967
1563,1,[MASK]黑。又快又好又便宜！真心给力！！！,2.8828309,4.065141
10234,0,[MASK]黑。面时间太长了，坨了，不好吃了,3.2695465,6.9551735
29,1,"[MASK]黑。送餐非常快,态度特别好,谢谢",3.7877192,5.5347733
6442,0,"[MASK]黑。太小了,味道一般,说多了都是泪",3.842276,6.648072
467,1,[MASK]黑。送餐员辛苦，饭也好吃，继续购买,2.9331183,4.7461867
58,1,"[MASK]黑。送餐特别快,送餐员态度也特别好",4.0880694,5.745466
1652,1,[MASK]黑。很快，也好，包装也好，赞赞赞,2.1178315,3.3215742
4529,0,[MASK]黑。味道还行，就是送餐太慢了……,3.9112883,6.0414405
88,1,"[MASK]黑。又快又好,小哥态度很好,好评",3.6904216,5.424436
4524,0,"[MASK]黑。味道就那样把,盖浇饭挺难吃的",4.0935755,6.7746196
3085,1,[MASK]黑。外卖小哥人超级好。。。。。。,3.2835934,5.309379
10811,0,[MASK]黑。速度挺快的，面不好吃，都凉了,3.4739225,6.449667
8052,0,"[MASK]黑。点两份鸡柳,就给送,一份。。。",2.6026328,4.4176455
5562,0,[MASK]黑。太慢，太小，吃不饱。味道还行,3.1386747,6.789115
5132,0,[MASK]黑。不好吃。。。菜太少了。。。。,2.3180554,5.4358444
2537,1,[MASK]黑。配送非常快，10分钟就送到啦～,3.2227278,5.030003
2730,1,[MASK]黑。人好速度快，好评好评好评！！,3.8789983,5.601161
6256,0,[MASK]黑。米粉比以前份量少，没以前好了,3.0338352,5.7027874
2717,1,[MASK]黑。东西非常好，还是热的，辛苦了！,3.1890182,5.465047
5791,0,[MASK]黑。给的豆皮果然多，只是肉变少了,3.3902354,5.786935
434,1,[MASK]黑。很快，很好，经常订，谢谢师傅,2.8874931,4.282131
2067,1,[MASK]黑。非常好吃，送餐很快，绝对好评,3.3892615,5.678622
8096,0,[MASK]黑。就薯条还行！其他都不怎么样！,2.4319725,5.676875
1952,1,[MASK]黑。味道还好。服务态度真的很好～！,4.251665,6.0107517
6980,0,[MASK]黑。咋的跟饿了吗不一样的名，坑爹,2.8599138,5.9792433
2435,1,[MASK]黑。经常买这家的饺子，味道棒棒哒！,3.438344,6.150959
9055,0,[MASK]黑。没有在店里吃好吃，萝卜太多了,3.7243984,7.5874195
1653,1,[MASK]黑。除了速度有待加强，其他都不错,4.130408,6.063625
3654,1,[MASK]黑。没有餐具哦，还要自己点餐具么,2.77458,4.384286
1739,1,"[MASK]黑。服务不错,但是太难吃了啊啊啊",2.5706258,5.6368513
11045,0,[MASK]黑。面也太少了，才半盒，我就没吃饱,2.0209033,5.934481
2626,1,[MASK]黑。非常的正宗，就是羊杂汤太咸啦,3.8366094,7.112045
7925,0,[MASK]黑。午餐肉实在太难吃了，千万别点,2.5422735,5.174821
5910,0,[MASK]黑。真的不适合外卖，另外，真难吃,3.2760074,6.2342043
11336,0,[MASK]黑。我的电话打不通，不知道为什么,3.5487275,5.505
809,1,[MASK]黑。很好，速度飞快，炸鸡有点火大,3.1484091,6.3381615
661,1,[MASK]黑。太快了！！简直是神速啊！！！,2.3771312,4.7597675
396,1,"[MASK]黑。第二次买了,挺好的,以后继续",4.365631,6.4892917
5702,0,[MASK]黑。我备注要的粥，结果送来的是饮料,2.4943705,4.73788
10859,0,[MASK]黑。赠送的黄飞红花生呢？没送啊！！,3.1444087,6.548791
280,1,[MASK]黑。非常好送的很快，，，还是热的。,3.8462062,5.6062465
184,1,[MASK]黑。好好好！赞赞赞！态度好速度快！,4.233943,4.985911
2289,1,[MASK]黑。味道很好而且很实惠送得也很快,3.5265193,5.3157544
4775,0,[MASK]黑。包装牛逼，送餐速度……咳咳……,2.569504,4.782417
2711,1,"[MASK]黑。番茄醬撒了QAQ,其他nice",1.3402301,3.2554011
854,1,"[MASK]黑。粥里有头发,就没吃,剩下都好吃",4.054882,7.256932
5116,0,[MASK]黑。太慢了，俩小时连个解释也没有,2.8228052,5.010878
2377,1,[MASK]黑。速度挺快的东西也挺好的给赞~,3.795694,5.137471
4429,0,[MASK]黑。肥肉太多吃的时候还把嘴唇拿破了,3.1560988,6.5152335
11423,0,[MASK]黑。饭菜都凉的，一个多小时才送来,2.5725458,5.791086
7151,0,[MASK]黑。地三鲜，茄子里面有很多是生的,3.4625888,7.077857
901,1,[MASK]黑。我吃出来一个钢丝球上的一个丝,2.6500163,5.5449443
5808,0,[MASK]黑。不好吃，包子还不熟，都硬邦邦的,4.486963,7.991668
2679,1,[MASK]黑。味道好，包装好，送餐及时，不错,3.930705,5.91343
11060,0,[MASK]黑。差评，退款太慢！我说的是百度！,2.481749,3.4548323
10479,0,"[MASK]黑。送错了,打电话要求补送也不送",4.1603603,5.449248
8079,0,[MASK]黑。送的时间太晚了，一个小时才送来,2.2180278,5.100489
4617,0,[MASK]黑。送餐很慢，饿死了，味道很一般,3.165223,5.7466726
2406,1,[MASK]黑。挺好的，速度也不错，以后还来,4.1743274,5.8451858
2682,1,[MASK]黑。大叔特别面善！饭食用料很好！,2.8964398,4.9310784
2442,1,[MASK]黑。大冷天的百度骑士真是辛苦了～,2.6030216,4.3467402
963,1,[MASK]黑。肉很多，味道不错，配送也很快,4.017848,7.1317205
3617,1,[MASK]黑。饭菜香质量好，服务好，送饭快。,4.5393534,5.607531
10792,0,[MASK]黑。一单元和二单元分不清...麻烦,3.7186904,6.03235
2821,1,[MASK]黑。送餐快，阿田大虾一如既往的好吃,2.9702666,5.5574217
2108,1,[MASK]黑。菜挺多饭挺多就是牛肉丝质量一般,3.422465,6.770268
2832,1,[MASK]黑。送货很快，经常吃他家的，很棒,3.579359,5.140618
9713,0,[MASK]黑。送餐人员素质太差，不适合本工作,3.4406219,4.8224797
3122,1,"[MASK]黑。赞赞赞,很好吃,小哥送餐也很快",3.151433,5.2910132
10897,0,[MASK]黑。味道还好，但是送餐实在是太久了,2.9536424,5.464732
3793,1,[MASK]黑。都非常好，就是派送费有点贵！,3.7470126,3.8314412
6995,0,[MASK]黑。饺子都凉了还能吃吗，送来太慢了,2.3510103,5.2894626
1115,1,"[MASK]黑。好吃,就是太慢,两个小时才送到",4.2394524,6.792177
6568,0,[MASK]黑。送餐慢，披萨巨小！还没餐具！！,3.1179314,4.6404233
2431,1,[MASK]黑。送餐很快，送餐人员很热情！～,4.195404,5.115313
1601,1,[MASK]黑。配送的真快，及时。很好好强大,3.861321,4.959188
7187,0,[MASK]黑。送餐太慢，等了两个小时，无语,2.8522143,4.5496635
3236,1,[MASK]黑。口味质量俱佳，送餐小伙很不错,4.2410316,5.550343
7287,0,"[MASK]黑。咖啡撒了一兜子,还是凉的,服了",3.5201774,6.0866704
836,1,"[MASK]黑。很不错的一次,下次还会到这买",3.6273801,5.015058
2663,1,[MASK]黑。送餐很快，菜很好，羊杂味道不错,2.9772267,5.5793986
9190,0,"[MASK]黑。每次酸奶都不给我带吸管,心好累",3.247067,5.891986
262,1,[MASK]黑。太快了，你是飞过来送餐的吧…,2.4141047,5.3845396
11078,0,[MASK]黑。接线员工态度太差。其他的还不错,2.7042255,4.529263
393,1,[MASK]黑。速度很快，菜的味道也好！不错！,3.76614,5.920286
6382,0,[MASK]黑。汤横着就送过来了，撒到处都是!,2.6011262,5.9166374
9862,0,[MASK]黑。难吃的一逼，体验差，名不副实。,2.3825924,5.709753
5440,0,[MASK]黑。肉太多了，送餐速度有待提高！,2.6493084,5.7436643
8739,0,"[MASK]黑。汤挺好喝的,就是米线没有米线味",4.714762,7.08596
10139,0,[MASK]黑。5555比以前的肉肉少了好多,2.036834,5.550345
8704,0,"[MASK]黑。味道不错,就是太慢了,真的很慢",4.665542,6.896896
3526,1,[MASK]黑。服务很好，送的很快，很有礼貌。,4.0617704,5.117786
