,labels,text,ppl
23455,0,第二部就不该拍竟然还出第三部,11.393673528251677
37994,1,局气！规矩！管虎导了俩影帝了！,305.34670064412137
45474,0,前半段真好看，后半段越来越萎,7.999106342038359
37018,0,前面的剧情看得我尴尬癌都犯了,3.6727889619305913
39152,0,混乱的情节，特么矫情无下限。,10.687189298396122
4952,0,适合能静得下心和有故事的人。,7.302036140348316
49922,1,最是人间留不住朱颜辞镜花辞树,126.49876772640332
18895,1,超级治愈又感人，狗狗真的好暖心,6.146894888702203
16855,0,密室设定很有意思，可惜未能维持,8.689104624145722
33344,1,原来巴萨的德国馆还有这个用处,20.62337012852243
43014,1,丫丫真的太美了，前夫哥好可爱,9.420201129812053
30945,0,烂的一逼，啥都没有，狗屁不通。,9.748557159584761
11202,1,这个玛丽苏我喜欢很好看求续集,19.69549777359109
43097,1,看了点映，好多戳中我泪点??,10.306470173516983
7229,0,郑恺和郭采洁还挺有cp感的。,9.810016150440875
46824,0,民乐要靠二次元来拯救了嘛……,22.614647128806453
44791,1,反正我追完了，为了女主的颜值,7.864427500028678
40750,0,我朋友说，她尴尬得想原地去世。,57.31250600925545
24357,0,今年作品太多了，有点透支了。,6.131981956323414
12065,0,我是真的觉得孙悟空的扮相太丑了,3.322412073287689
44782,1,还可以吧……感觉题材还算新颖,4.251721999923561
11314,0,看完情圣来评评这部这部比情圣好,5.377022210599636
19047,1,它令我想起曾经怦然心动的轻吻,5.765304660901371
45899,0,发哥抄着烂片专业户就去了。。。,165.73833487523223
14214,0,第一集演得什么玩意儿，尴尬死了,6.210186359752108
31414,1,热热闹闹的，看得我好开心啊。,3.717480592166721
25276,0,煽情煽成了MV，大家都笑了。,25.080055052702843
47776,1,最喜欢的科幻故事，很成功的改编,3.2820558390176995
45012,1,还算可以哦，故事讲的挺精彩！,6.401404596249664
49786,0,被黑天鹅惊艳到了！美轮美奂！,4.63561095042116
11029,0,到底在演什麼啊？？大爛片！！！,97.42531794593005
30704,1,卧槽我竟然看过啊啊啊啊啊啊啊,5.0993912043599
3121,1,你无车无楼无番狗做乜要拖我手,112.817200165129
9512,0,最弱版劳拉了吧？太弱了太无聊了,22.713376535935904
15976,0,重拍经典，孩子对恐惧的克服。,7.430750343328749
26862,1,太好看了！笑得我内分泌失调！,7.557770584915143
30395,0,本来两星，加一星给受罪的演员吧,11.868965337803493
22972,0,《星际特工：全宇宙看我们尬爱》,28.849597562626393
30570,0,特效不错啊，但剧情就大简单了,8.580533288762465
20588,0,气氛到位，演员不存，故事简单！,7.924355162788898
