,labels,text,neg_logits,pos_logits
8711,0,[MASK]高兴。病人吃啊，挂面哈拉味，汤也腥。,10.74037,10.232168
5797,0,[MASK]高兴。豆腐丝里吃出苍蝇，啥也不想说了,9.839245,10.536785
768,1,[MASK]高兴。味道很好！送的也很快！好吃！,8.58943,12.831195
2518,1,[MASK]高兴。菜品好，速度快，真是太好了！,8.461768,12.3341255
7638,0,[MASK]高兴。这家店就直接没送，接单不送的店,11.032225,10.093024
6583,0,[MASK]高兴。送餐太慢太慢了～菜品还可以～,10.427598,11.86705
6692,0,"[MASK]高兴。下次能送早点就好啦,快饿过劲啦",9.132958,11.672539
484,1,"[MASK]高兴。很好吃量也很大都吃不完,赞一个",8.639086,12.555267
11295,0,[MASK]高兴。下单2个小时才送到。无语了。,13.059989,11.052309
2826,1,[MASK]高兴。谢谢师傅，辛苦了！非常准时！,8.700614,13.120749
11958,0,[MASK]高兴。粉很好吃，但是订了卤蛋却没有。,11.274567,11.05889
4074,0,"[MASK]高兴。吃到一半发现菜里有小强,简直了",8.951908,11.571278
1568,1,[MASK]高兴。米饭是硬的。。不如上一次好吃,11.133116,10.731261
10881,0,[MASK]高兴。米饭里有一只蟑螂，让人怎么吃,10.142176,11.351981
6353,0,[MASK]高兴。咖喱鸡肉烩意面，不知鸡肉滋味,8.761823,10.705664
4765,0,[MASK]高兴。很慢就不说了，关键是还不好吃。,10.8241205,10.882635
370,1,[MASK]高兴。态度很好，效率很高，给十分赞,8.36232,12.796245
11746,0,[MASK]高兴。速度慢，第一次订餐就迟到，晕,11.15231,10.041401
8159,0,[MASK]高兴。送餐走错路，袋子还破了………,10.535774,10.108055
2366,1,[MASK]高兴。一直买他家的香脆鸡肉披萨，喜欢,9.350871,12.100532
866,1,"[MASK]高兴。师傅辛苦了，谢谢,下雪注意安全",8.929668,12.338792
2743,1,[MASK]高兴。又快又好棒呆了哈哈哈哈哈哈哈,7.996009,10.573265
9911,0,[MASK]高兴。石锅拌饭里面吃出了塑料包装纸袋,9.269563,10.845186
5045,0,[MASK]高兴。菜品没味道。。。周也是。。。。,11.532083,9.412212
1563,1,[MASK]高兴。又快又好又便宜！真心给力！！！,8.452922,11.3277025
10234,0,[MASK]高兴。面时间太长了，坨了，不好吃了,11.402283,10.507979
29,1,"[MASK]高兴。送餐非常快,态度特别好,谢谢",8.260291,13.07505
6442,0,"[MASK]高兴。太小了,味道一般,说多了都是泪",10.826276,10.084967
467,1,[MASK]高兴。送餐员辛苦，饭也好吃，继续购买,9.34252,11.118986
58,1,"[MASK]高兴。送餐特别快,送餐员态度也特别好",8.82239,12.343137
1652,1,[MASK]高兴。很快，也好，包装也好，赞赞赞,8.325662,12.246531
4529,0,[MASK]高兴。味道还行，就是送餐太慢了……,10.1602745,11.494599
88,1,"[MASK]高兴。又快又好,小哥态度很好,好评",8.304603,11.134327
4524,0,"[MASK]高兴。味道就那样把,盖浇饭挺难吃的",10.098773,10.937581
3085,1,[MASK]高兴。外卖小哥人超级好。。。。。。,8.848719,12.655184
10811,0,[MASK]高兴。速度挺快的，面不好吃，都凉了,10.57764,10.527815
8052,0,"[MASK]高兴。点两份鸡柳,就给送,一份。。。",9.519527,10.118756
5562,0,[MASK]高兴。太慢，太小，吃不饱。味道还行,11.799079,9.999075
5132,0,[MASK]高兴。不好吃。。。菜太少了。。。。,14.667331,9.685537
2537,1,[MASK]高兴。配送非常快，10分钟就送到啦～,7.4056168,12.925166
2730,1,[MASK]高兴。人好速度快，好评好评好评！！,7.7323785,11.024358
6256,0,[MASK]高兴。米粉比以前份量少，没以前好了,9.994259,11.297561
2717,1,[MASK]高兴。东西非常好，还是热的，辛苦了！,9.76428,12.683293
5791,0,[MASK]高兴。给的豆皮果然多，只是肉变少了,9.707541,11.699835
434,1,[MASK]高兴。很快，很好，经常订，谢谢师傅,8.21264,12.94927
2067,1,[MASK]高兴。非常好吃，送餐很快，绝对好评,7.9709177,12.143959
8096,0,[MASK]高兴。就薯条还行！其他都不怎么样！,11.209789,11.333426
1952,1,[MASK]高兴。味道还好。服务态度真的很好～！,9.448499,12.911521
6980,0,[MASK]高兴。咋的跟饿了吗不一样的名，坑爹,10.089953,9.712395
2435,1,[MASK]高兴。经常买这家的饺子，味道棒棒哒！,7.8136783,12.242429
9055,0,[MASK]高兴。没有在店里吃好吃，萝卜太多了,11.157972,10.8260355
1653,1,[MASK]高兴。除了速度有待加强，其他都不错,8.997682,12.752566
3654,1,[MASK]高兴。没有餐具哦，还要自己点餐具么,9.74628,11.528134
1739,1,"[MASK]高兴。服务不错,但是太难吃了啊啊啊",10.749107,11.780893
11045,0,[MASK]高兴。面也太少了，才半盒，我就没吃饱,11.875048,10.382088
2626,1,[MASK]高兴。非常的正宗，就是羊杂汤太咸啦,8.402532,11.549652
7925,0,[MASK]高兴。午餐肉实在太难吃了，千万别点,9.822111,10.4813795
5910,0,[MASK]高兴。真的不适合外卖，另外，真难吃,10.834675,11.091032
11336,0,[MASK]高兴。我的电话打不通，不知道为什么,11.047939,12.033235
809,1,[MASK]高兴。很好，速度飞快，炸鸡有点火大,8.995462,11.304213
661,1,[MASK]高兴。太快了！！简直是神速啊！！！,8.499415,10.779583
396,1,"[MASK]高兴。第二次买了,挺好的,以后继续",9.68156,13.043525
5702,0,[MASK]高兴。我备注要的粥，结果送来的是饮料,10.770686,11.05783
10859,0,[MASK]高兴。赠送的黄飞红花生呢？没送啊！！,10.79377,10.739364
280,1,[MASK]高兴。非常好送的很快，，，还是热的。,8.612555,12.086528
184,1,[MASK]高兴。好好好！赞赞赞！态度好速度快！,8.091647,11.521164
2289,1,[MASK]高兴。味道很好而且很实惠送得也很快,8.255063,12.546538
4775,0,[MASK]高兴。包装牛逼，送餐速度……咳咳……,8.461211,10.893196
2711,1,"[MASK]高兴。番茄醬撒了QAQ,其他nice",8.443734,10.954567
854,1,"[MASK]高兴。粥里有头发,就没吃,剩下都好吃",9.92004,10.85876
5116,0,[MASK]高兴。太慢了，俩小时连个解释也没有,11.387322,10.29156
2377,1,[MASK]高兴。速度挺快的东西也挺好的给赞~,8.4283085,12.395632
4429,0,[MASK]高兴。肥肉太多吃的时候还把嘴唇拿破了,10.7514105,10.201518
11423,0,[MASK]高兴。饭菜都凉的，一个多小时才送来,10.50902,10.986985
7151,0,[MASK]高兴。地三鲜，茄子里面有很多是生的,8.885097,11.284073
901,1,[MASK]高兴。我吃出来一个钢丝球上的一个丝,9.649545,11.5262785
5808,0,[MASK]高兴。不好吃，包子还不熟，都硬邦邦的,11.318253,9.527823
2679,1,[MASK]高兴。味道好，包装好，送餐及时，不错,8.43917,11.691957
11060,0,[MASK]高兴。差评，退款太慢！我说的是百度！,11.388084,11.194525
10479,0,"[MASK]高兴。送错了,打电话要求补送也不送",11.921467,10.6747055
8079,0,[MASK]高兴。送的时间太晚了，一个小时才送来,10.769574,11.491517
4617,0,[MASK]高兴。送餐很慢，饿死了，味道很一般,11.505941,11.163276
2406,1,[MASK]高兴。挺好的，速度也不错，以后还来,9.189281,12.159659
2682,1,[MASK]高兴。大叔特别面善！饭食用料很好！,8.705052,12.557611
2442,1,[MASK]高兴。大冷天的百度骑士真是辛苦了～,8.636979,11.808765
