,labels,text,neg_logits,pos_logits
8711,0,[MASK]满意。病人吃啊，挂面哈拉味，汤也腥。,11.722958,10.330259
5797,0,[MASK]满意。豆腐丝里吃出苍蝇，啥也不想说了,10.530144,10.720203
768,1,[MASK]满意。味道很好！送的也很快！好吃！,10.187268,13.831656
2518,1,[MASK]满意。菜品好，速度快，真是太好了！,9.167125,12.437757
7638,0,[MASK]满意。这家店就直接没送，接单不送的店,11.850981,9.9362545
6583,0,[MASK]满意。送餐太慢太慢了～菜品还可以～,11.543331,12.149087
6692,0,"[MASK]满意。下次能送早点就好啦,快饿过劲啦",10.262379,10.256156
484,1,"[MASK]满意。很好吃量也很大都吃不完,赞一个",10.703016,12.779658
11295,0,[MASK]满意。下单2个小时才送到。无语了。,13.896617,10.123885
2826,1,[MASK]满意。谢谢师傅，辛苦了！非常准时！,9.724568,11.47637
11958,0,[MASK]满意。粉很好吃，但是订了卤蛋却没有。,12.634152,11.061263
4074,0,"[MASK]满意。吃到一半发现菜里有小强,简直了",10.177844,12.095841
1568,1,[MASK]满意。米饭是硬的。。不如上一次好吃,12.350896,10.487873
10881,0,[MASK]满意。米饭里有一只蟑螂，让人怎么吃,11.551158,10.373522
6353,0,[MASK]满意。咖喱鸡肉烩意面，不知鸡肉滋味,9.613561,11.077179
4765,0,[MASK]满意。很慢就不说了，关键是还不好吃。,11.8482275,11.82913
370,1,[MASK]满意。态度很好，效率很高，给十分赞,9.22451,11.971572
11746,0,[MASK]满意。速度慢，第一次订餐就迟到，晕,11.988081,9.897411
8159,0,[MASK]满意。送餐走错路，袋子还破了………,11.853469,9.9534
2366,1,[MASK]满意。一直买他家的香脆鸡肉披萨，喜欢,10.696184,12.754857
866,1,"[MASK]满意。师傅辛苦了，谢谢,下雪注意安全",10.459196,9.998864
2743,1,[MASK]满意。又快又好棒呆了哈哈哈哈哈哈哈,8.92444,10.702956
9911,0,[MASK]满意。石锅拌饭里面吃出了塑料包装纸袋,9.905975,10.779588
5045,0,[MASK]满意。菜品没味道。。。周也是。。。。,12.782959,9.614877
1563,1,[MASK]满意。又快又好又便宜！真心给力！！！,9.323144,11.48276
10234,0,[MASK]满意。面时间太长了，坨了，不好吃了,12.377504,10.757541
29,1,"[MASK]满意。送餐非常快,态度特别好,谢谢",9.847874,12.47323
6442,0,"[MASK]满意。太小了,味道一般,说多了都是泪",12.449096,10.360421
467,1,[MASK]满意。送餐员辛苦，饭也好吃，继续购买,9.599791,11.040709
58,1,"[MASK]满意。送餐特别快,送餐员态度也特别好",9.5953865,12.292323
1652,1,[MASK]满意。很快，也好，包装也好，赞赞赞,9.263104,11.78629
4529,0,[MASK]满意。味道还行，就是送餐太慢了……,11.5777,11.729876
88,1,"[MASK]满意。又快又好,小哥态度很好,好评",9.659915,11.140168
4524,0,"[MASK]满意。味道就那样把,盖浇饭挺难吃的",11.999358,11.371424
3085,1,[MASK]满意。外卖小哥人超级好。。。。。。,10.579177,11.701634
10811,0,[MASK]满意。速度挺快的，面不好吃，都凉了,12.087475,11.409361
8052,0,"[MASK]满意。点两份鸡柳,就给送,一份。。。",10.791707,9.218891
5562,0,[MASK]满意。太慢，太小，吃不饱。味道还行,12.34068,11.325733
5132,0,[MASK]满意。不好吃。。。菜太少了。。。。,14.707236,10.547988
2537,1,[MASK]满意。配送非常快，10分钟就送到啦～,8.357187,12.652414
2730,1,[MASK]满意。人好速度快，好评好评好评！！,8.618476,9.883581
6256,0,[MASK]满意。米粉比以前份量少，没以前好了,10.922802,11.221334
2717,1,[MASK]满意。东西非常好，还是热的，辛苦了！,10.989415,12.607139
5791,0,[MASK]满意。给的豆皮果然多，只是肉变少了,10.567969,11.738892
434,1,[MASK]满意。很快，很好，经常订，谢谢师傅,9.2142,12.436618
2067,1,[MASK]满意。非常好吃，送餐很快，绝对好评,9.0787325,12.89546
8096,0,[MASK]满意。就薯条还行！其他都不怎么样！,12.268728,11.652461
1952,1,[MASK]满意。味道还好。服务态度真的很好～！,10.32702,13.595103
6980,0,[MASK]满意。咋的跟饿了吗不一样的名，坑爹,11.601179,10.030449
2435,1,[MASK]满意。经常买这家的饺子，味道棒棒哒！,8.995299,13.262963
9055,0,[MASK]满意。没有在店里吃好吃，萝卜太多了,12.29987,10.962601
1653,1,[MASK]满意。除了速度有待加强，其他都不错,9.995867,11.820264
3654,1,[MASK]满意。没有餐具哦，还要自己点餐具么,11.231442,10.234843
1739,1,"[MASK]满意。服务不错,但是太难吃了啊啊啊",12.331013,11.321754
11045,0,[MASK]满意。面也太少了，才半盒，我就没吃饱,12.735458,10.89633
2626,1,[MASK]满意。非常的正宗，就是羊杂汤太咸啦,10.15936,12.702917
7925,0,[MASK]满意。午餐肉实在太难吃了，千万别点,10.484428,9.846941
5910,0,[MASK]满意。真的不适合外卖，另外，真难吃,12.356633,10.493151
11336,0,[MASK]满意。我的电话打不通，不知道为什么,12.58452,10.131077
809,1,[MASK]满意。很好，速度飞快，炸鸡有点火大,10.290087,12.157668
661,1,[MASK]满意。太快了！！简直是神速啊！！！,10.212215,10.735045
396,1,"[MASK]满意。第二次买了,挺好的,以后继续",11.032809,12.328966
5702,0,[MASK]满意。我备注要的粥，结果送来的是饮料,11.945227,10.531276
10859,0,[MASK]满意。赠送的黄飞红花生呢？没送啊！！,11.956757,9.9694395
280,1,[MASK]满意。非常好送的很快，，，还是热的。,9.7208185,12.815864
184,1,[MASK]满意。好好好！赞赞赞！态度好速度快！,9.245997,10.377385
2289,1,[MASK]满意。味道很好而且很实惠送得也很快,9.777614,13.238618
4775,0,[MASK]满意。包装牛逼，送餐速度……咳咳……,9.074249,11.003458
2711,1,"[MASK]满意。番茄醬撒了QAQ,其他nice",9.189683,10.491203
854,1,"[MASK]满意。粥里有头发,就没吃,剩下都好吃",11.123006,10.998
5116,0,[MASK]满意。太慢了，俩小时连个解释也没有,12.225655,10.150225
2377,1,[MASK]满意。速度挺快的东西也挺好的给赞~,10.170174,11.589367
4429,0,[MASK]满意。肥肉太多吃的时候还把嘴唇拿破了,11.747291,10.624284
11423,0,[MASK]满意。饭菜都凉的，一个多小时才送来,11.396193,11.631964
7151,0,[MASK]满意。地三鲜，茄子里面有很多是生的,10.460593,12.029469
901,1,[MASK]满意。我吃出来一个钢丝球上的一个丝,11.414858,10.947749
5808,0,[MASK]满意。不好吃，包子还不熟，都硬邦邦的,12.619389,10.382993
2679,1,[MASK]满意。味道好，包装好，送餐及时，不错,9.729097,12.326201
11060,0,[MASK]满意。差评，退款太慢！我说的是百度！,12.822722,10.059421
10479,0,"[MASK]满意。送错了,打电话要求补送也不送",13.132545,8.704195
8079,0,[MASK]满意。送的时间太晚了，一个小时才送来,11.671956,11.524611
4617,0,[MASK]满意。送餐很慢，饿死了，味道很一般,12.583651,11.4776535
2406,1,[MASK]满意。挺好的，速度也不错，以后还来,9.889906,12.382887
2682,1,[MASK]满意。大叔特别面善！饭食用料很好！,9.395135,12.756496
2442,1,[MASK]满意。大冷天的百度骑士真是辛苦了～,10.124784,10.0597
963,1,[MASK]满意。肉很多，味道不错，配送也很快,9.826675,13.425458
3617,1,[MASK]满意。饭菜香质量好，服务好，送饭快。,8.671278,11.704809
10792,0,[MASK]满意。一单元和二单元分不清...麻烦,12.208099,9.531982
2821,1,[MASK]满意。送餐快，阿田大虾一如既往的好吃,8.579651,11.455971
2108,1,[MASK]满意。菜挺多饭挺多就是牛肉丝质量一般,11.657794,11.893559
2832,1,[MASK]满意。送货很快，经常吃他家的，很棒,9.009423,14.000926
9713,0,[MASK]满意。送餐人员素质太差，不适合本工作,12.596634,9.26984
3122,1,"[MASK]满意。赞赞赞,很好吃,小哥送餐也很快",9.818787,12.088039
10897,0,[MASK]满意。味道还好，但是送餐实在是太久了,12.239296,11.430211
3793,1,[MASK]满意。都非常好，就是派送费有点贵！,9.484972,13.091582
6995,0,[MASK]满意。饺子都凉了还能吃吗，送来太慢了,12.172244,10.315816
1115,1,"[MASK]满意。好吃,就是太慢,两个小时才送到",11.126303,11.279219
6568,0,[MASK]满意。送餐慢，披萨巨小！还没餐具！！,11.953611,10.167903
2431,1,[MASK]满意。送餐很快，送餐人员很热情！～,8.326293,12.700789
1601,1,[MASK]满意。配送的真快，及时。很好好强大,8.953238,12.122865
7187,0,[MASK]满意。送餐太慢，等了两个小时，无语,11.8690605,10.249528
3236,1,[MASK]满意。口味质量俱佳，送餐小伙很不错,8.746066,12.158183
7287,0,"[MASK]满意。咖啡撒了一兜子,还是凉的,服了",10.987945,10.821861
836,1,"[MASK]满意。很不错的一次,下次还会到这买",10.324532,12.459561
2663,1,[MASK]满意。送餐很快，菜很好，羊杂味道不错,9.965475,13.325276
9190,0,"[MASK]满意。每次酸奶都不给我带吸管,心好累",13.015709,10.300474
262,1,[MASK]满意。太快了，你是飞过来送餐的吧…,10.720047,10.650216
11078,0,[MASK]满意。接线员工态度太差。其他的还不错,13.399706,9.931115
393,1,[MASK]满意。速度很快，菜的味道也好！不错！,10.084081,13.724453
6382,0,[MASK]满意。汤横着就送过来了，撒到处都是!,10.135349,10.93863
9862,0,[MASK]满意。难吃的一逼，体验差，名不副实。,12.467531,9.789526
5440,0,[MASK]满意。肉太多了，送餐速度有待提高！,11.929874,10.519357
8739,0,"[MASK]满意。汤挺好喝的,就是米线没有米线味",11.652038,12.095138
10139,0,[MASK]满意。5555比以前的肉肉少了好多,11.097729,11.478186
8704,0,"[MASK]满意。味道不错,就是太慢了,真的很慢",11.692205,11.96953
3526,1,[MASK]满意。服务很好，送的很快，很有礼貌。,9.738946,14.00523
2947,1,[MASK]满意。宿舍信号不好，耽误了你的时间,12.421172,9.555277
8116,0,[MASK]满意。态度真差，喊什么喊！CBWD,11.998261,9.068357
771,1,[MASK]满意。都挺满意，送餐的师傅也很细心。,9.085229,11.718007
8579,0,[MASK]满意。盒子很精致，味道还好。整体不错,10.504003,13.19423
7305,0,[MASK]满意。撒的到处是。摩卡只有半杯了。,11.142798,10.511041
10599,0,[MASK]满意。备注写好要生菜，结果送来不是,11.755493,9.615491
10977,0,"[MASK]满意。送的太慢了,2小时,菜都冷了",12.378462,10.569763
9176,0,"[MASK]满意。你吗,送了俩小时,太不靠谱了",11.767363,9.092348
2915,1,[MASK]满意。还不错，就是买回来面有一点陀,11.060739,11.966166
9393,0,[MASK]满意。太慢了，送来都凉了，态度各种差,12.261689,9.333111
6230,0,[MASK]满意。口味比之前差多了！换厨师了吗？,12.154387,11.239989
8449,0,[MASK]满意。图片与实物不符...根本没鸡腿,12.079367,10.443175
1005,1,[MASK]满意。快递小哥以后继续加速啊，加油,10.319043,11.015591
6607,0,"[MASK]满意。次次迟到n久~~,菜都是凉的",11.533037,10.412167
2226,1,[MASK]满意。价格偏高，不过倒是蛮好吃的。,11.700041,12.535089
1379,1,"[MASK]满意。难吃,难吃,难吃。凉了,凉了",11.327607,9.944418
11472,0,"[MASK]满意。味道一般般,不过送餐速度很快",10.858218,11.901409
7292,0,[MASK]满意。没有糖包，热巧克力要了只有一半,10.029248,10.467848
2993,1,[MASK]满意。很赞哟，小哥辛苦啦这么冷的天,9.507102,11.560483
472,1,[MASK]满意。速度很快，东西也不错，赞一下,10.606649,12.505978
8661,0,[MASK]满意。鸡肉味、牛肉味，不名物~~~,10.162473,11.418785
648,1,[MASK]满意。配送及时，味道佳。湖北人必吃,7.4518785,11.117582
7455,0,[MASK]满意。1点多才送，饭真没以前好吃了,12.084444,10.994332
1606,1,[MASK]满意。评论晚了，不好意思哒，32个赞,10.583442,11.079643
1879,1,[MASK]满意。送的有点慢…酱香卷还是很好吃的,11.241122,12.772274
7170,0,[MASK]满意。菜还不错，米饭有点馊了。。。。,11.080869,12.051993
9834,0,[MASK]满意。太慢了，两个小时才送来，都凉了,11.795051,10.70548
2283,1,[MASK]满意。送的早到了半个小时，味道很棒,9.736087,13.095402
2314,1,"[MASK]满意。鱼香肉丝的最好吃了,四川口味的",11.352067,12.366929
9720,0,[MASK]满意。连续吃几次就不好吃了，不耐吃,12.96365,9.961649
6351,0,[MASK]满意。呵呵了个呵呵，+1r，不开心。,11.935329,9.943978
879,1,[MASK]满意。饼味道一般吧，很少的一碗粥。,12.194148,11.668443
42,1,"[MASK]满意。很好吃,速递快,下次继续选择",10.586969,12.866471
3587,1,[MASK]满意。送货超级迅速，服务到位，好评,7.750351,11.493548
10985,0,[MASK]满意。严重超时不说，饭菜都凉了。差评,12.534568,10.271496
8326,0,[MASK]满意。用不着赶时间把东西都颠散了吧,10.11098,10.853131
2583,1,[MASK]满意。速度好快，送餐小哥态度超级好,9.413667,11.462276
964,1,"[MASK]满意。味道不错！皮有点厚,继续努力",10.905129,12.126985
10858,0,[MASK]满意。东西少不说，说好的赠送花生呢？,10.3492155,10.852871
10039,0,[MASK]满意。感觉比在店里吃的时候粗糙很多,12.743599,12.151603
235,1,[MASK]满意。味道不错连着好几天了都在喝！,10.294658,13.226414
239,1,[MASK]满意。好喝！味道不错！送餐也很快！,9.980969,13.391426
8225,0,[MASK]满意。好小啊，味道也不是我喜欢的。,13.885364,10.898635
6454,0,[MASK]满意。送餐超慢，对店家真是无语了。,12.660693,10.178243
8728,0,"[MASK]满意。做的不够精细,凑合吃吃也还好",11.881156,11.073277
228,1,[MASK]满意。快递小哥特别好。奶茶棒棒哒！,9.412974,12.549594
2619,1,[MASK]满意。扬州炒饭几乎没有盐味…………,10.082192,11.789966
6892,0,[MASK]满意。真心太咸了，太咸了，太咸了，唉,12.12387,10.397912
2529,1,[MASK]满意。非常满意，感谢送货员和商家！,9.927462,12.060881
3963,1,[MASK]满意。还可以、分量也足、但是有点软了,11.007077,11.926886
1250,1,[MASK]满意。吃着味道很不错，也很实惠的店铺,10.203198,13.170313
6823,0,[MASK]满意。一共买了3个芒果，两个是生的。,11.6488905,12.279689
371,1,[MASK]满意。每次量都很足哈！超级赞，好吃,8.8237505,13.1485195
127,1,[MASK]满意。送餐很快，这么冷的天气辛苦了,9.814561,12.244398
4623,0,[MASK]满意。快递恶劣到极点了，还耍小心眼,12.411445,9.629672
432,1,[MASK]满意。满意，很好，配送给力食物好吃,8.955503,11.791782
4162,0,[MASK]满意。配送时间过长，主要离得很近～,11.754162,10.4423895
11158,0,[MASK]满意。蜗牛送餐速度，催了还挂电话！,9.907845,10.044976
3217,1,[MASK]满意。好吃又实惠，感谢快递员哥哥，,9.198672,11.596914
11335,0,[MASK]满意。都说了不要辣，为什么还有辣？！,10.585607,10.397791
7813,0,[MASK]满意。菜品不好，咖啡难喝，送餐太慢了,13.050467,9.881963
5651,0,[MASK]满意。送到的时候完全凉透了。。。。,10.331472,12.243203
2539,1,[MASK]满意。最爱吃的两样，而且送餐超快！,8.3684635,11.655703
2961,1,[MASK]满意。两个都很好吃，配送大哥人很好,9.96478,12.776851
8040,0,[MASK]满意。味道很一般，不知道哪里怪怪的,12.506934,11.897909
11161,0,[MASK]满意。除了粉之外，其他的配菜有点老,10.713936,11.8526945
7285,0,"[MASK]满意。加了奶油都不到盖子,什么情况",13.235111,10.129585
5471,0,"[MASK]满意。时间太长,卷没有kfc的好吃",12.308836,10.672865
10673,0,[MASK]满意。0星，受不了这app的假状态,10.964065,9.800101
1037,1,"[MASK]满意。很好,味道淡淡的,而且很干净",11.194671,12.791832
2093,1,[MASK]满意。经济实惠，又好吃，打包的还好,9.739481,11.96981
9610,0,[MASK]满意。茄子太甜，油太多，牛肉还可以,12.044525,11.078959
514,1,[MASK]满意。什锦蘑菇有些腻，饭量挺大的…,10.980395,11.5785
3004,1,[MASK]满意。送餐超快，半个小时不到就送到了,8.826878,12.687572
3818,1,[MASK]满意。骑士服务很好，商品质量也可。,10.283709,12.230011
6781,0,"[MASK]满意。时间一长,没送到就特别不好吃了",12.530542,10.724059
11796,0,[MASK]满意。速度太慢了，等了近一个半小时。,12.246247,11.035834
2976,1,[MASK]满意。快递小哥很给力，送的非常快！,9.586334,13.310444
8594,0,"[MASK]满意。20-8的活动没了,不厚道。",12.491254,9.954922
1610,1,[MASK]满意。饭提前到了，而且还弄漏了真是的,11.470075,10.94823
2932,1,[MASK]满意。快递师傅态度超好，速度一流。,8.94855,11.959105
1784,1,"[MASK]满意。鱼香肉丝卷味道不错,南瓜粥还行",11.3906555,12.397319
4415,0,[MASK]满意。土豆丝还可以，香菇的好难吃！,12.0728035,11.964997
1314,1,"[MASK]满意。送餐师傅帅爆了,赛晓明超霆锋",9.997445,10.609157
11056,0,[MASK]满意。现在我就一句话我去你妈了个逼,11.53495,9.454504
6683,0,"[MASK]满意。猴子面包就给那么点奶油,无语了",12.0031185,10.104538
11147,0,[MASK]满意。为什么烤肠付钱了，怎么没送啊,12.328749,10.246291
5089,0,[MASK]满意。菜太少了太少了。根本不够吃。,13.502547,10.600714
9206,0,[MASK]满意。送的太慢了。。。。。鸡挺好吃的,13.184201,11.085541
3076,1,[MASK]满意。服务很好！少了豆浆，又特地送来,9.645695,13.332059
2726,1,[MASK]满意。非常负责的快递员，很快很快…,9.007098,12.541233
3017,1,[MASK]满意。味道不错，百度骑士的速度很赞～,10.595959,12.718004
3633,1,[MASK]满意。眉州东坡的菜名不虚传！好吃！,9.823382,11.626373
7791,0,[MASK]满意。咖啡送错了，晕死，太不靠谱了,11.503418,9.415073
