,labels,text,ppl
8711,0,病人吃啊，挂面哈拉味，汤也腥。,167.44666857384334
5797,0,豆腐丝里吃出苍蝇，啥也不想说了,14.01736716251797
768,1,味道很好！送的也很快！好吃！,5.220784568234352
2518,1,菜品好，速度快，真是太好了！,4.888399044775165
7638,0,这家店就直接没送，接单不送的店,40.43950680775972
6583,0,送餐太慢太慢了～菜品还可以～,4.901377013303643
6692,0,"下次能送早点就好啦,快饿过劲啦",58.07164609403493
484,1,"很好吃量也很大都吃不完,赞一个",27.909352886707936
11295,0,下单2个小时才送到。无语了。,5.665815153391643
2826,1,谢谢师傅，辛苦了！非常准时！,3.6598327759920966
11958,0,粉很好吃，但是订了卤蛋却没有。,32.66109376452843
4074,0,"吃到一半发现菜里有小强,简直了",18.812720598249737
1568,1,米饭是硬的。。不如上一次好吃,23.106894075160113
10881,0,米饭里有一只蟑螂，让人怎么吃,8.943916350728273
6353,0,咖喱鸡肉烩意面，不知鸡肉滋味,10.63628972680998
4765,0,很慢就不说了，关键是还不好吃。,19.706770518414178
370,1,态度很好，效率很高，给十分赞,5.824978328407461
11746,0,速度慢，第一次订餐就迟到，晕,9.613208950464182
8159,0,送餐走错路，袋子还破了………,14.947203405180774
2366,1,一直买他家的香脆鸡肉披萨，喜欢,4.985812643335736
866,1,"师傅辛苦了，谢谢,下雪注意安全",7.863835410503922
2743,1,又快又好棒呆了哈哈哈哈哈哈哈,11.636746614093752
9911,0,石锅拌饭里面吃出了塑料包装纸袋,42.94375324747325
5045,0,菜品没味道。。。周也是。。。。,33.35315435694927
1563,1,又快又好又便宜！真心给力！！！,5.661571238530083
10234,0,面时间太长了，坨了，不好吃了,17.492114502811976
29,1,"送餐非常快,态度特别好,谢谢",3.251091620384495
6442,0,"太小了,味道一般,说多了都是泪",4.531421482172252
467,1,送餐员辛苦，饭也好吃，继续购买,5.691168830283896
58,1,"送餐特别快,送餐员态度也特别好",3.82784926820766
1652,1,很快，也好，包装也好，赞赞赞,16.22569487138587
4529,0,味道还行，就是送餐太慢了……,3.2924780235421056
88,1,"又快又好,小哥态度很好,好评",5.923487415104249
4524,0,"味道就那样把,盖浇饭挺难吃的",52.421988841511975
3085,1,外卖小哥人超级好。。。。。。,7.781349617510893
10811,0,速度挺快的，面不好吃，都凉了,11.932866236687643
8052,0,"点两份鸡柳,就给送,一份。。。",125.78424197180047
5562,0,太慢，太小，吃不饱。味道还行,6.763663129442735
5132,0,不好吃。。。菜太少了。。。。,8.636060995130931
2537,1,配送非常快，10分钟就送到啦～,4.456278991016589
2730,1,人好速度快，好评好评好评！！,14.476051072520429
6256,0,米粉比以前份量少，没以前好了,16.055232615341907
2717,1,东西非常好，还是热的，辛苦了！,4.779826119162857
5791,0,给的豆皮果然多，只是肉变少了,24.107343480995862
434,1,很快，很好，经常订，谢谢师傅,6.061785102668598
2067,1,非常好吃，送餐很快，绝对好评,4.237507303832876
8096,0,就薯条还行！其他都不怎么样！,15.085549389196677
1952,1,味道还好。服务态度真的很好～！,5.129451478883089
6980,0,咋的跟饿了吗不一样的名，坑爹,59.51527416679512
2435,1,经常买这家的饺子，味道棒棒哒！,5.419727420625403
9055,0,没有在店里吃好吃，萝卜太多了,5.324072902582853
1653,1,除了速度有待加强，其他都不错,2.6694158778071593
3654,1,没有餐具哦，还要自己点餐具么,30.89180781931437
1739,1,"服务不错,但是太难吃了啊啊啊",5.799306415292388
11045,0,面也太少了，才半盒，我就没吃饱,18.584309958083274
2626,1,非常的正宗，就是羊杂汤太咸啦,13.14804499201507
7925,0,午餐肉实在太难吃了，千万别点,7.556664184213317
5910,0,真的不适合外卖，另外，真难吃,7.212860287287343
11336,0,我的电话打不通，不知道为什么,5.183858390429523
809,1,很好，速度飞快，炸鸡有点火大,22.015836185669805
661,1,太快了！！简直是神速啊！！！,5.8723544056490535
396,1,"第二次买了,挺好的,以后继续",3.650493334800947
5702,0,我备注要的粥，结果送来的是饮料,39.35916969197046
10859,0,赠送的黄飞红花生呢？没送啊！！,73.45033068880934
280,1,非常好送的很快，，，还是热的。,10.403863337676174
184,1,好好好！赞赞赞！态度好速度快！,3.688913525027608
2289,1,味道很好而且很实惠送得也很快,4.148250968866635
4775,0,包装牛逼，送餐速度……咳咳……,6.473427859631525
2711,1,"番茄醬撒了QAQ,其他nice",169.56580679707739
854,1,"粥里有头发,就没吃,剩下都好吃",38.8822560096582
5116,0,太慢了，俩小时连个解释也没有,6.606646543464015
2377,1,速度挺快的东西也挺好的给赞~,11.08885451172321
4429,0,肥肉太多吃的时候还把嘴唇拿破了,8.288463385168223
11423,0,饭菜都凉的，一个多小时才送来,9.396304952220618
7151,0,地三鲜，茄子里面有很多是生的,19.66358779358469
901,1,我吃出来一个钢丝球上的一个丝,34.43429502779744
5808,0,不好吃，包子还不熟，都硬邦邦的,11.211881853310935
2679,1,味道好，包装好，送餐及时，不错,4.212228973193628
11060,0,差评，退款太慢！我说的是百度！,11.61555302405095
10479,0,"送错了,打电话要求补送也不送",33.14684228120352
8079,0,送的时间太晚了，一个小时才送来,5.126465578920476
4617,0,送餐很慢，饿死了，味道很一般,4.976511937165744
2406,1,挺好的，速度也不错，以后还来,5.506016403877317
2682,1,大叔特别面善！饭食用料很好！,21.46322492108728
2442,1,大冷天的百度骑士真是辛苦了～,21.088387678489678
963,1,肉很多，味道不错，配送也很快,6.8585722722707345
3617,1,饭菜香质量好，服务好，送饭快。,9.664001232692703
10792,0,一单元和二单元分不清...麻烦,4.421747438693491
2821,1,送餐快，阿田大虾一如既往的好吃,19.332329744720095
2108,1,菜挺多饭挺多就是牛肉丝质量一般,9.04180595186039
2832,1,送货很快，经常吃他家的，很棒,4.429494332444087
9713,0,送餐人员素质太差，不适合本工作,5.547118248604941
3122,1,"赞赞赞,很好吃,小哥送餐也很快",10.002791153592312
10897,0,味道还好，但是送餐实在是太久了,6.797432350898693
3793,1,都非常好，就是派送费有点贵！,8.018771653815568
6995,0,饺子都凉了还能吃吗，送来太慢了,13.071120942895206
1115,1,"好吃,就是太慢,两个小时才送到",7.736806574772592
6568,0,送餐慢，披萨巨小！还没餐具！！,51.30405251885424
2431,1,送餐很快，送餐人员很热情！～,4.479002811642323
1601,1,配送的真快，及时。很好好强大,25.93011887197396
7187,0,送餐太慢，等了两个小时，无语,5.171400074869166
3236,1,口味质量俱佳，送餐小伙很不错,7.794722412365041
7287,0,"咖啡撒了一兜子,还是凉的,服了",25.66832256514546
836,1,"很不错的一次,下次还会到这买",9.161183519988088
2663,1,送餐很快，菜很好，羊杂味道不错,5.807822024487435
9190,0,"每次酸奶都不给我带吸管,心好累",23.301971097044067
262,1,太快了，你是飞过来送餐的吧…,21.46258591908129
11078,0,接线员工态度太差。其他的还不错,9.90331693892487
393,1,速度很快，菜的味道也好！不错！,4.635218611003213
6382,0,汤横着就送过来了，撒到处都是!,56.304318607744634
9862,0,难吃的一逼，体验差，名不副实。,20.91223412485504
5440,0,肉太多了，送餐速度有待提高！,8.949276486794329
8739,0,"汤挺好喝的,就是米线没有米线味",10.871889174914601
10139,0,5555比以前的肉肉少了好多,11.265612567071186
8704,0,"味道不错,就是太慢了,真的很慢",4.041655573001613
3526,1,服务很好，送的很快，很有礼貌。,3.120118289490073
2947,1,宿舍信号不好，耽误了你的时间,4.902151663870582
8116,0,态度真差，喊什么喊！CBWD,59.281076939836055
771,1,都挺满意，送餐的师傅也很细心。,4.898353154968854
8579,0,盒子很精致，味道还好。整体不错,3.973660566751033
7305,0,撒的到处是。摩卡只有半杯了。,55.357905429333066
10599,0,备注写好要生菜，结果送来不是,46.85717934756416
10977,0,"送的太慢了,2小时,菜都冷了",11.7358788558572
9176,0,"你吗,送了俩小时,太不靠谱了",20.649937088534145
2915,1,还不错，就是买回来面有一点陀,14.433656830557993
9393,0,太慢了，送来都凉了，态度各种差,18.035057682412784
6230,0,口味比之前差多了！换厨师了吗？,6.954244138076452
8449,0,图片与实物不符...根本没鸡腿,9.602117278713733
1005,1,快递小哥以后继续加速啊，加油,8.198393444233032
6607,0,"次次迟到n久~~,菜都是凉的",44.970951286391816
2226,1,价格偏高，不过倒是蛮好吃的。,5.610575105714082
1379,1,"难吃,难吃,难吃。凉了,凉了",4.451302616344998
11472,0,"味道一般般,不过送餐速度很快",4.100887880467959
7292,0,没有糖包，热巧克力要了只有一半,26.308718225588883
