,labels,text,ppl
8711,0,病人吃啊，挂面哈拉味，汤也腥。,547.3954793364429
5797,0,豆腐丝里吃出苍蝇，啥也不想说了,52.978502011082135
768,1,味道很好！送的也很快！好吃！,34.188636433189515
2518,1,菜品好，速度快，真是太好了！,21.16563248446052
7638,0,这家店就直接没送，接单不送的店,128.08495140345934
6583,0,送餐太慢太慢了～菜品还可以～,44.75445378448715
6692,0,"下次能送早点就好啦,快饿过劲啦",678.9976144266994
484,1,"很好吃量也很大都吃不完,赞一个",111.97017162251076
11295,0,下单2个小时才送到。无语了。,44.43930937921005
2826,1,谢谢师傅，辛苦了！非常准时！,20.40439505221561
11958,0,粉很好吃，但是订了卤蛋却没有。,143.81103540552456
4074,0,"吃到一半发现菜里有小强,简直了",51.62343226217172
1568,1,米饭是硬的。。不如上一次好吃,109.68258230898509
10881,0,米饭里有一只蟑螂，让人怎么吃,69.90282076750772
6353,0,咖喱鸡肉烩意面，不知鸡肉滋味,92.74976083345275
4765,0,很慢就不说了，关键是还不好吃。,20.59545455505201
370,1,态度很好，效率很高，给十分赞,31.398080440230714
11746,0,速度慢，第一次订餐就迟到，晕,88.1110238864234
8159,0,送餐走错路，袋子还破了………,89.88570822764082
2366,1,一直买他家的香脆鸡肉披萨，喜欢,32.555988750627705
866,1,"师傅辛苦了，谢谢,下雪注意安全",40.692091725574535
2743,1,又快又好棒呆了哈哈哈哈哈哈哈,37.645557691598064
9911,0,石锅拌饭里面吃出了塑料包装纸袋,110.32886976745846
5045,0,菜品没味道。。。周也是。。。。,492.6010026283812
1563,1,又快又好又便宜！真心给力！！！,28.25698599634055
10234,0,面时间太长了，坨了，不好吃了,54.814690203767
29,1,"送餐非常快,态度特别好,谢谢",48.661958148876884
6442,0,"太小了,味道一般,说多了都是泪",11.633589631390901
467,1,送餐员辛苦，饭也好吃，继续购买,34.0165241288562
58,1,"送餐特别快,送餐员态度也特别好",36.96645722721725
1652,1,很快，也好，包装也好，赞赞赞,38.00452890774033
4529,0,味道还行，就是送餐太慢了……,39.12097327424282
88,1,"又快又好,小哥态度很好,好评",30.221198619028947
4524,0,"味道就那样把,盖浇饭挺难吃的",440.09476686720626
3085,1,外卖小哥人超级好。。。。。。,160.2713573774182
10811,0,速度挺快的，面不好吃，都凉了,77.60376833752485
8052,0,"点两份鸡柳,就给送,一份。。。",954.2277257068419
5562,0,太慢，太小，吃不饱。味道还行,20.455932372014612
5132,0,不好吃。。。菜太少了。。。。,288.65953185484
2537,1,配送非常快，10分钟就送到啦～,30.315699611818882
2730,1,人好速度快，好评好评好评！！,40.860277128192685
6256,0,米粉比以前份量少，没以前好了,48.10996038021156
2717,1,东西非常好，还是热的，辛苦了！,15.073518783517525
5791,0,给的豆皮果然多，只是肉变少了,617.6226893020403
434,1,很快，很好，经常订，谢谢师傅,39.267401999045504
2067,1,非常好吃，送餐很快，绝对好评,65.49113505215173
8096,0,就薯条还行！其他都不怎么样！,172.35499630057367
1952,1,味道还好。服务态度真的很好～！,23.121988040355966
