,labels,text,neg_logits,pos_logits
30574,0,[MASK]可以。怀疑是假货，洗发后感觉很不好,11.263089,8.244676
7598,1,[MASK]可以。手机质量很好哎，就是没有送礼品,8.722744,8.8289585
43849,0,[MASK]可以。有差异的产品，下次不会选购了,9.951398,6.605139
10361,0,[MASK]可以。东西搭配了一堆没用的，给差评,9.347537,7.3489017
3099,1,[MASK]可以。一般般 会有卡顿 看电影还行,9.143852,6.837009
28438,1,[MASK]可以。不错很满意，物流小哥很给力。,8.113689,10.753033
34577,0,[MASK]可以。京东的配送就这样吗？真是失望,11.675776,7.687533
12015,0,[MASK]可以。非常不满意，大型游戏根本玩不了,10.879721,7.746987
31819,0,[MASK]可以。垃圾京东，收钱不发货，趁早倒闭,10.673928,6.3967023
42623,1,[MASK]可以。衣服面料很舒服，柔软，大小合适,8.961837,8.466493
43428,0,[MASK]可以。哎与图片差距太大真心接受不了,9.781289,6.734468
38964,1,[MASK]可以。面料很好，款式时尚 穿上很舒服,8.901585,9.758855
32231,0,[MASK]可以。洗发水不正宗的，洗完头皮屑很多,12.0437355,7.860736
17545,1,[MASK]可以。京东商城的商品实惠，继续支持！,9.824488,7.8225255
36576,1,[MASK]可以。蒙牛出香蕉奶啦 味道还不错哦,8.999273,8.002813
6653,1,[MASK]可以。快递速度很快，平板用了还不错。,7.701654,9.716876
39896,1,[MASK]可以。大小合适，有弹力，辉常满意！,7.9540224,7.956064
38971,1,[MASK]可以。刚收到货，很好，物超所值！！,9.001024,9.428742
41286,1,[MASK]可以。穿上变得特别帅，怎么呢？嘻嘻。,9.732095,7.39465
29583,1,[MASK]可以。超值值得购买！便宜实惠真的很好,8.782671,9.0746975
12956,0,[MASK]可以。不咋好，显示不清楚，想贴膜的,8.539038,7.1990495
31712,0,[MASK]可以。不好，这么贵还不好，我也是醉了,9.392173,7.013863
31680,0,[MASK]可以。啥时候到啊下单好几天了还没到?,9.678191,5.9380484
60362,0,[MASK]可以。很一般，价格不高，但设备差！,9.132668,8.69639
45785,0,[MASK]可以。没穿几次就破2个洞，做工不好。,11.446935,8.141805
30820,0,[MASK]可以。被坑了，不好用，只能给一星?,9.67117,6.2200427
10933,0,[MASK]可以。送货师傅不错，平板质量一般般,8.607461,8.929924
40218,1,[MASK]可以。穿上很舒服，面料不错，蛮好的,8.442317,10.096043
36597,1,[MASK]可以。蒙牛滴。。。口感醇厚，不错～,7.421067,7.6038303
47403,0,[MASK]可以。衣服不行 ！！！ 快递也不给力,9.653261,6.248305
42213,1,[MASK]可以。质量好，做工精细。非常满意！,7.979044,9.934274
31785,0,[MASK]可以。不好用，味道太浓，不适合男人,10.585744,7.289688
46015,0,[MASK]可以。质量没有想像的那么好，不要上当,9.259134,6.6484723
42170,1,[MASK]可以。款式新颖，又合身，孩子很喜欢,8.199655,9.215065
43150,0,[MASK]可以。欺骗消费者！！！严重不符！！！,12.562497,6.778954
45415,0,[MASK]可以。商品没图上的好看，面料也不多好,9.751208,7.725297
30230,1,[MASK]可以。价格实惠，服务好，东西不错。,8.179752,9.545705
47927,0,[MASK]可以。没收到商品，一个月了，差劲。,10.0139,7.70313
30018,1,[MASK]可以。好，不错，得蛮多的，划算，喜欢,7.197286,6.446667
26817,1,[MASK]可以。到货好快。服务好！东西满意！,7.7269425,9.02914
5006,1,[MASK]可以。手机不错，屏大清晰，速度快。,8.067426,8.783154
44936,0,[MASK]可以。洗了掉色特严重，很硬，还没穿,10.282937,8.011316
16856,1,[MASK]可以。还味吃，现在觉得苹果越来越甜了,9.342971,7.4260254
3845,1,[MASK]可以。不错 很喜欢 华为平板666,8.289067,9.290754
28242,1,[MASK]可以。洗发水好用，洗过头发很清爽…,8.956865,8.237771
42123,1,[MASK]可以。可以 比较满意 穿了再来评价,8.284483,7.6684813
34621,0,[MASK]可以。有一瓶盖子烂了，流的到处都是。,11.029101,7.3098145
33650,0,[MASK]可以。使用一般，和国货区别不是很大！,9.069349,7.895528
5554,1,[MASK]可以。好好的一个好的自己选的好好好货,9.198863,7.074761
30937,0,[MASK]可以。说好的吹风机在哪！太垃圾了！,11.1646,7.3733597
60557,0,[MASK]可以。服务很一般，设施和装修也不好。,10.477957,9.583803
46810,0,[MASK]可以。真的和网上看的差别真大，好垃圾,10.930023,7.4932246
25754,1,[MASK]可以。看着还可以，小的赠送旅行装不错,7.9976077,8.5754595
43705,0,[MASK]可以。物流太慢太慢，衣服不怎么样，,11.513627,7.535914
18630,1,[MASK]可以。个头小但很甜，用来做早餐正好。,8.509895,8.663398
41784,1,[MASK]可以。商品不错，物超所值。真实体验。,8.445948,8.577494
45106,0,[MASK]可以。非常一般，不推荐，不要贪便宜,8.987229,7.2908015
31546,0,[MASK]可以。昨天收到今天就降价，太过分了！,11.493957,7.454634
43624,0,[MASK]可以。有股刺鼻的味道，还特别脏，差评,11.138872,8.378348
10107,0,[MASK]可以。差评，保护壳都没有，5星差评！,10.305447,8.316172
32824,0,[MASK]可以。不好用，不适合我的发质，起头屑,10.431955,8.041263
4883,1,[MASK]可以。不错物流给力，值得信赖，正品，,7.8301125,9.374005
31305,0,[MASK]可以。发来就破了。。懒得跟客服叨叨了,9.742691,5.472605
17539,1,[MASK]可以。性价比真他们高。。。。够味还脆,7.8904405,7.687293
3991,1,[MASK]可以。不错，给妈妈玩游戏用的，很喜欢,7.705882,9.222397
35438,1,[MASK]可以。安装好了，还没用，感觉挺好的,9.284254,7.8016057
10959,0,[MASK]可以。骗子。垃圾货。收到的卡装不了,11.766301,6.6799245
38859,1,[MASK]可以。衣服挺好的，我一下子买了两件,9.329496,8.472512
33344,0,[MASK]可以。还品牌垃圾要死，越洗越多头屑。,11.319925,7.4349847
11811,0,[MASK]可以。不好买来好后悔玩游戏好卡差评。,8.223939,7.7312927
26497,1,[MASK]可以。一如既往的快，态度好，日期新。,8.362669,6.682255
39505,1,[MASK]可以。裤子面料不错的 版型很喜欢啊,8.512948,9.136028
34065,0,[MASK]可以。买了很多次，这次的是假货，失望,10.065009,8.061702
57426,0,[MASK]可以。服务不好。乱收费，非常不满意！,9.96589,9.283897
10211,0,[MASK]可以。cpu太差 一点都不流畅 亏了,9.720163,7.301665
6071,1,[MASK]可以。真正好PAD，学英语不用愁啦,8.051603,6.3113317
46500,0,[MASK]可以。网上买几次都是烂货，不能相信。,12.024795,7.3113017
39929,1,[MASK]可以。裤子的质量真的不错，值得表扬！,9.162608,9.185975
47506,0,[MASK]可以。穿了一次，扔了，好还是不好？,11.044842,6.5408096
6287,1,[MASK]可以。屏幕够大，上手容易，物流很快。,7.8970985,8.3617
39475,1,[MASK]可以。买回来很合适，老公很喜欢。。。,8.03107,8.955063
38335,1,[MASK]可以。质量非常不错，穿起来很舒服。,8.350964,10.408219
32710,0,[MASK]可以。就是好难受看到你日目的地后的吧,8.8367,6.994626
7812,1,[MASK]可以。帮朋友买的，反馈信息还不错?。,8.532769,8.575092
33424,0,[MASK]可以。快递丢失 不处理 没有维权渠道,12.486817,6.9705524
39217,1,[MASK]可以。很不错哦，我又要在买多一条了,8.613878,8.490932
35260,0,[MASK]可以。这个商标都掉了，可能是二手货吧,11.261011,7.217129
19076,1,[MASK]可以。苹果包装完好，吃起来香甜可口！,9.888907,8.484236
