,labels,text,neg_logits,pos_logits
23455,0,[MASK]满意。第二部就不该拍竟然还出第三部,11.8478365,10.506358
37994,1,[MASK]满意。局气！规矩！管虎导了俩影帝了！,10.325117,10.047984
45474,0,[MASK]满意。前半段真好看，后半段越来越萎,10.862669,10.760767
37018,0,[MASK]满意。前面的剧情看得我尴尬癌都犯了,10.721312,10.996964
39152,0,[MASK]满意。混乱的情节，特么矫情无下限。,11.9476185,10.206399
4952,0,[MASK]满意。适合能静得下心和有故事的人。,8.977482,10.613976
49922,1,[MASK]满意。最是人间留不住朱颜辞镜花辞树,9.198604,8.409076
18895,1,[MASK]满意。超级治愈又感人，狗狗真的好暖心,9.775822,11.571396
16855,0,[MASK]满意。密室设定很有意思，可惜未能维持,10.817857,10.58764
33344,1,[MASK]满意。原来巴萨的德国馆还有这个用处,10.44428,11.736065
43014,1,[MASK]满意。丫丫真的太美了，前夫哥好可爱,10.663937,10.981999
30945,0,[MASK]满意。烂的一逼，啥都没有，狗屁不通。,11.97684,9.666562
11202,1,[MASK]满意。这个玛丽苏我喜欢很好看求续集,11.433177,11.110689
43097,1,[MASK]满意。看了点映，好多戳中我泪点??,10.81743,11.543941
7229,0,[MASK]满意。郑恺和郭采洁还挺有cp感的。,11.082548,12.149669
46824,0,[MASK]满意。民乐要靠二次元来拯救了嘛……,10.9270525,9.892308
44791,1,[MASK]满意。反正我追完了，为了女主的颜值,11.123401,10.822449
40750,0,[MASK]满意。我朋友说，她尴尬得想原地去世。,12.149245,10.917207
24357,0,[MASK]满意。今年作品太多了，有点透支了。,11.838162,11.339187
12065,0,[MASK]满意。我是真的觉得孙悟空的扮相太丑了,12.886941,10.709268
44782,1,[MASK]满意。还可以吧……感觉题材还算新颖,11.091287,11.6095705
11314,0,[MASK]满意。看完情圣来评评这部这部比情圣好,10.998921,11.01227
19047,1,[MASK]满意。它令我想起曾经怦然心动的轻吻,8.946393,10.740502
45899,0,[MASK]满意。发哥抄着烂片专业户就去了。。。,11.659081,9.772779
14214,0,[MASK]满意。第一集演得什么玩意儿，尴尬死了,12.106961,10.990172
31414,1,[MASK]满意。热热闹闹的，看得我好开心啊。,10.58202,11.653248
25276,0,[MASK]满意。煽情煽成了MV，大家都笑了。,9.936301,11.598198
47776,1,[MASK]满意。最喜欢的科幻故事，很成功的改编,10.455163,12.695015
45012,1,[MASK]满意。还算可以哦，故事讲的挺精彩！,10.341086,12.207228
49786,0,[MASK]满意。被黑天鹅惊艳到了！美轮美奂！,10.195872,11.533408
11029,0,[MASK]满意。到底在演什麼啊？？大爛片！！！,12.406943,9.867233
30704,1,[MASK]满意。卧槽我竟然看过啊啊啊啊啊啊啊,11.7471,10.633007
