,labels,text,ppl
30574,0,怀疑是假货，洗发后感觉很不好,35.89584966361537
7598,1,手机质量很好哎，就是没有送礼品,23.689326076328864
43849,0,有差异的产品，下次不会选购了,18.65618125358077
10361,0,东西搭配了一堆没用的，给差评,13.934743313216233
3099,1,一般般 会有卡顿 看电影还行,77.99783039550442
28438,1,不错很满意，物流小哥很给力。,30.18840437069016
34577,0,京东的配送就这样吗？真是失望,27.667536579652065
12015,0,非常不满意，大型游戏根本玩不了,3.9322866281510804
31819,0,垃圾京东，收钱不发货，趁早倒闭,22.798168420390134
42623,1,衣服面料很舒服，柔软，大小合适,20.79598965393245
43428,0,哎与图片差距太大真心接受不了,110.4942555429633
38964,1,面料很好，款式时尚 穿上很舒服,20.164893016853323
32231,0,洗发水不正宗的，洗完头皮屑很多,67.50844905215764
17545,1,京东商城的商品实惠，继续支持！,5.446381656997919
36576,1,蒙牛出香蕉奶啦 味道还不错哦,151.89280543310292
6653,1,快递速度很快，平板用了还不错。,18.84910886406008
39896,1,大小合适，有弹力，辉常满意！,45.39026358081388
38971,1,刚收到货，很好，物超所值！！,28.75840450270663
41286,1,穿上变得特别帅，怎么呢？嘻嘻。,23.411359287955634
29583,1,超值值得购买！便宜实惠真的很好,4.596735810373975
12956,0,不咋好，显示不清楚，想贴膜的,34.39404121153348
31712,0,不好，这么贵还不好，我也是醉了,33.74369156367943
31680,0,啥时候到啊下单好几天了还没到?,37.561377329691766
60362,0,很一般，价格不高，但设备差！,17.32485264833869
45785,0,没穿几次就破2个洞，做工不好。,79.55217851246175
30820,0,被坑了，不好用，只能给一星?,83.88019979018172
10933,0,送货师傅不错，平板质量一般般,52.04875605559355
40218,1,穿上很舒服，面料不错，蛮好的,29.15486235840739
36597,1,蒙牛滴。。。口感醇厚，不错～,296.2600046624115
47403,0,衣服不行 ！！！ 快递也不给力,138.25353586709647
42213,1,质量好，做工精细。非常满意！,5.61968564293307
31785,0,不好用，味道太浓，不适合男人,11.17233892621826
46015,0,质量没有想像的那么好，不要上当,7.479412044078516
42170,1,款式新颖，又合身，孩子很喜欢,14.691892323638148
43150,0,欺骗消费者！！！严重不符！！！,14.913780884748155
45415,0,商品没图上的好看，面料也不多好,99.34278817849439
30230,1,价格实惠，服务好，东西不错。,4.88997275989952
47927,0,没收到商品，一个月了，差劲。,30.916874922941755
30018,1,好，不错，得蛮多的，划算，喜欢,56.96548292239731
26817,1,到货好快。服务好！东西满意！,15.82550555934001
5006,1,手机不错，屏大清晰，速度快。,21.617561485117452
44936,0,洗了掉色特严重，很硬，还没穿,90.24486148200421
16856,1,还味吃，现在觉得苹果越来越甜了,67.36415386113607
3845,1,不错 很喜欢 华为平板666,232.40156593931098
28242,1,洗发水好用，洗过头发很清爽…,22.61964986188287
42123,1,可以 比较满意 穿了再来评价,21.519738051472856
34621,0,有一瓶盖子烂了，流的到处都是。,33.9779707256911
33650,0,使用一般，和国货区别不是很大！,12.137311972584701
5554,1,好好的一个好的自己选的好好好货,77.11875976165409
30937,0,说好的吹风机在哪！太垃圾了！,15.793778638499312
60557,0,服务很一般，设施和装修也不好。,12.699798496687443
46810,0,真的和网上看的差别真大，好垃圾,11.516318997506307
25754,1,看着还可以，小的赠送旅行装不错,51.260466870152825
43705,0,物流太慢太慢，衣服不怎么样，,34.899010483117294
18630,1,个头小但很甜，用来做早餐正好。,26.419127172886814
41784,1,商品不错，物超所值。真实体验。,20.14560720191576
45106,0,非常一般，不推荐，不要贪便宜,11.076763938707765
31546,0,昨天收到今天就降价，太过分了！,24.895965077221163
43624,0,有股刺鼻的味道，还特别脏，差评,23.55946530858149
10107,0,差评，保护壳都没有，5星差评！,11.052519250208366
32824,0,不好用，不适合我的发质，起头屑,24.80531553470174
4883,1,不错物流给力，值得信赖，正品，,81.79995699264941
31305,0,发来就破了。。懒得跟客服叨叨了,119.8754792810091
17539,1,性价比真他们高。。。。够味还脆,171.20127483882783
3991,1,不错，给妈妈玩游戏用的，很喜欢,6.065694183742391
35438,1,安装好了，还没用，感觉挺好的,9.855738798648144
10959,0,骗子。垃圾货。收到的卡装不了,130.9173705552842
38859,1,衣服挺好的，我一下子买了两件,16.036233078859016
33344,0,还品牌垃圾要死，越洗越多头屑。,59.27268085966625
11811,0,不好买来好后悔玩游戏好卡差评。,91.24311203141365
26497,1,一如既往的快，态度好，日期新。,44.48050821905598
39505,1,裤子面料不错的 版型很喜欢啊,96.08060887485694
34065,0,买了很多次，这次的是假货，失望,37.32542696276241
57426,0,服务不好。乱收费，非常不满意！,6.568993497941912
10211,0,cpu太差 一点都不流畅 亏了,166.15964111184044
6071,1,真正好PAD，学英语不用愁啦,102.23465315464301
46500,0,网上买几次都是烂货，不能相信。,15.511493466676493
39929,1,裤子的质量真的不错，值得表扬！,9.122673521802637
47506,0,穿了一次，扔了，好还是不好？,19.276934374698158
6287,1,屏幕够大，上手容易，物流很快。,8.895495272889866
39475,1,买回来很合适，老公很喜欢。。。,13.941631794785778
38335,1,质量非常不错，穿起来很舒服。,5.748157359915121
32710,0,就是好难受看到你日目的地后的吧,248.36319419392444
7812,1,帮朋友买的，反馈信息还不错?。,36.42787099580016
33424,0,快递丢失 不处理 没有维权渠道,25.194998465331427
39217,1,很不错哦，我又要在买多一条了,81.00190443892832
35260,0,这个商标都掉了，可能是二手货吧,31.776183024416497
19076,1,苹果包装完好，吃起来香甜可口！,12.002186350281642
58781,0,酒店很旧，设施陈旧！花洒漏水,63.70848413409362
10412,0,卡出翔，到底是不是3G运行？,58.30161110450028
46154,0,物流太慢了，就凭这一条给你零分,44.77048227770153
34631,0,非常无语，包装是裸的，没有塑封,26.305317229541192
57024,0,所有的房间里的设施不是很齐全！,8.793971205602457
