,labels,text,neg_logits,pos_logits
30574,0,[MASK]黑。怀疑是假货，洗发后感觉很不好,4.146165,6.535263
7598,1,[MASK]黑。手机质量很好哎，就是没有送礼品,3.3608816,3.0591645
43849,0,[MASK]黑。有差异的产品，下次不会选购了,1.9148657,2.0528069
10361,0,[MASK]黑。东西搭配了一堆没用的，给差评,2.850625,2.7159142
3099,1,[MASK]黑。一般般 会有卡顿 看电影还行,2.9198675,2.5322511
28438,1,[MASK]黑。不错很满意，物流小哥很给力。,2.097283,2.624499
34577,0,[MASK]黑。京东的配送就这样吗？真是失望,2.5184865,2.3081946
12015,0,[MASK]黑。非常不满意，大型游戏根本玩不了,3.177362,2.8192432
31819,0,[MASK]黑。垃圾京东，收钱不发货，趁早倒闭,1.1509955,2.0097938
42623,1,[MASK]黑。衣服面料很舒服，柔软，大小合适,3.11974,4.473509
43428,0,[MASK]黑。哎与图片差距太大真心接受不了,2.8767297,2.5774002
38964,1,[MASK]黑。面料很好，款式时尚 穿上很舒服,3.9187984,5.003909
32231,0,[MASK]黑。洗发水不正宗的，洗完头皮屑很多,2.1268,5.538809
17545,1,[MASK]黑。京东商城的商品实惠，继续支持！,0.9738171,2.8400073
36576,1,[MASK]黑。蒙牛出香蕉奶啦 味道还不错哦,1.88729,4.153453
6653,1,[MASK]黑。快递速度很快，平板用了还不错。,2.873757,2.4519956
39896,1,[MASK]黑。大小合适，有弹力，辉常满意！,4.163514,4.1443768
38971,1,[MASK]黑。刚收到货，很好，物超所值！！,2.785005,3.5634236
41286,1,[MASK]黑。穿上变得特别帅，怎么呢？嘻嘻。,3.2807057,4.426338
29583,1,[MASK]黑。超值值得购买！便宜实惠真的很好,2.7358418,2.6520782
12956,0,[MASK]黑。不咋好，显示不清楚，想贴膜的,3.809481,3.4805734
31712,0,[MASK]黑。不好，这么贵还不好，我也是醉了,2.4402478,2.5058541
31680,0,[MASK]黑。啥时候到啊下单好几天了还没到?,4.1044903,5.0839157
60362,0,[MASK]黑。很一般，价格不高，但设备差！,3.727356,2.5598629
45785,0,[MASK]黑。没穿几次就破2个洞，做工不好。,4.0817685,4.02566
30820,0,[MASK]黑。被坑了，不好用，只能给一星?,2.983985,2.918192
10933,0,[MASK]黑。送货师傅不错，平板质量一般般,2.6299405,3.1961484
40218,1,[MASK]黑。穿上很舒服，面料不错，蛮好的,3.7850597,5.03057
36597,1,[MASK]黑。蒙牛滴。。。口感醇厚，不错～,2.526538,3.9707055
47403,0,[MASK]黑。衣服不行 ！！！ 快递也不给力,2.595635,3.4078448
42213,1,[MASK]黑。质量好，做工精细。非常满意！,3.3792,4.2401896
31785,0,[MASK]黑。不好用，味道太浓，不适合男人,3.0807593,4.2682734
46015,0,[MASK]黑。质量没有想像的那么好，不要上当,2.313695,2.6887786
42170,1,[MASK]黑。款式新颖，又合身，孩子很喜欢,3.9039912,4.8640194
43150,0,[MASK]黑。欺骗消费者！！！严重不符！！！,1.3144794,4.0877066
45415,0,[MASK]黑。商品没图上的好看，面料也不多好,3.2786496,3.2983186
30230,1,[MASK]黑。价格实惠，服务好，东西不错。,2.582451,3.4613993
47927,0,[MASK]黑。没收到商品，一个月了，差劲。,2.834451,2.7663445
30018,1,[MASK]黑。好，不错，得蛮多的，划算，喜欢,3.1922505,2.8506315
26817,1,[MASK]黑。到货好快。服务好！东西满意！,2.6829815,3.1928024
5006,1,[MASK]黑。手机不错，屏大清晰，速度快。,3.0032363,2.553509
44936,0,[MASK]黑。洗了掉色特严重，很硬，还没穿,4.6450515,5.819008
16856,1,[MASK]黑。还味吃，现在觉得苹果越来越甜了,3.4426627,4.127246
3845,1,[MASK]黑。不错 很喜欢 华为平板666,3.091516,3.0641217
28242,1,[MASK]黑。洗发水好用，洗过头发很清爽…,1.5834732,5.434779
42123,1,[MASK]黑。可以 比较满意 穿了再来评价,3.3483152,4.017842
34621,0,[MASK]黑。有一瓶盖子烂了，流的到处都是。,2.9039054,4.2325163
33650,0,[MASK]黑。使用一般，和国货区别不是很大！,3.7765586,3.2638683
5554,1,[MASK]黑。好好的一个好的自己选的好好好货,2.4988797,2.8930259
30937,0,[MASK]黑。说好的吹风机在哪！太垃圾了！,2.8621616,3.306049
60557,0,[MASK]黑。服务很一般，设施和装修也不好。,2.5090156,3.3448086
46810,0,[MASK]黑。真的和网上看的差别真大，好垃圾,2.7166917,3.4227302
25754,1,[MASK]黑。看着还可以，小的赠送旅行装不错,3.3041432,3.1028192
43705,0,[MASK]黑。物流太慢太慢，衣服不怎么样，,1.9618623,2.8840184
18630,1,[MASK]黑。个头小但很甜，用来做早餐正好。,5.1723886,5.960641
41784,1,[MASK]黑。商品不错，物超所值。真实体验。,2.0688772,2.7337785
