,labels,text,ppl
82777,0,[泪] //@耿嘉晨：还真是,173.9934400997624
48250,1,爱上江西，没有理由！[哈哈],13.977196816233649
100168,0,计划赶不上变化[抓狂][泪],24.15927737191719
22319,1,芭其乐，大嘴快乐的家伙[爱你],191.92882730900243
70122,0,传统已逝??????[抓狂],60.77444761334875
6338,1,谢谢哈! 欢迎常来![鼓掌],81.30967041913463
20081,1,胖子手感好啊！[鼓掌][爱你],18.0006884130316
23064,1,生快！[干杯][蛋糕][鼓掌],26.181209641986094
84060,0,居然把我干儿子装脸盆里！[怒],46.61556045286423
93871,0,三哥总是这么的让人惊喜[晕],29.456100388222772
104161,0,此刻后：ko了... [晕],214.57369230487134
40416,1,[害羞][哈哈]@魔王1987,143.96040798692565
15376,1,随手拍祝大家周末愉快！[爱你],13.960077770698051
10199,1,是滴，美女。欢迎哦！[可爱],84.9534182439389
71224,0,偷贡品。不怕报应啊？。[衰],215.33555538025905
12238,1,[哈哈] //@独眼u:哈哈哈,30.630935670752603
77537,0,求二手智能手机。。。[抓狂],39.367029985527665
55063,1,是帮你挡酒的男的么？[嘻嘻],27.906000333418355
21548,1,原来很多国家都免签![哈哈],24.64015248449323
38076,1,百变大咖秀真的很快乐[哈哈],15.320649727140577
84198,0,[泪]//@那木错:[微风],82.22730302617035
27872,1,哈哈，强大[鼓掌][good],64.78624473243931
48051,1,眼睛一眨，美妞变辣妈！[哈哈],30.589708146589786
18029,1,祝大家十一小长假快乐[太开心],22.138710516201755
115177,0,[泪] //@袁腾飞:[泪],13.48732494355134
114619,0,可怜的风扇[泪] 我要等正版！,25.44114198834838
64870,0,固执的大叔这场又好危险[失望],69.31910352234804
74958,0,办公室都是孩儿他娘！！！[怒],41.13759538760848
77734,0,//@地狱中的八尾猫: [衰],65.67726097808693
51580,1,财神到我手?[偷笑][鼓掌],75.26805257849846
54352,1,爱吃牛排的童鞋举个手~[爱你],64.67432799105941
8324,1,开始喽，看起来吧！！[鼓掌],68.00136703161984
106626,0,受伤，是个超级不好的消息[衰],27.233336894589527
15031,1,[哈哈][哈哈]收费大调查。。,19.21984044733132
8249,1,用美食向大家说早安~[嘻嘻],17.889315591954535
59782,0,愚人节的游戏，银行也玩呀[衰],22.611153599397923
110113,0,[衰]弄破了，基本上不会复原！,14.543928897169662
11405,1,哈，回忆录写到哪了？[嘻嘻],39.29597743611233
81138,0,书人搬家，其实就是搬书[晕],86.70603865626698
14831,1,《时尚旅游》也玩街拍了[哈哈],21.35344849152894
51446,1,阿姨做的菜相当好吃呢[爱你],14.448815032561717
73965,0,Facebook 还在跌[晕],245.03821387143643
101129,0,[抓狂] 你是在哪里腐败~~~,49.078846348560106
104892,0,男人动手…[怒][怒][怒],12.38205321328502
66040,0,我在这里：#闸北区#吃饭[泪],61.691231269159445
87632,0,难得休息的，竟然感冒了[泪],21.933007327260665
96063,0,知道得太晚了，遗憾！[失望],11.58178912037881
81716,0,社会败坏的典型!?救了[衰],72.51838252262631
92195,0,姐，我给你跪下了，这才气[晕],45.03767641053415
95696,0,[泪]同意，让他们变成海豹!!,22.508329658071144
19351,1,//@好色小湿妹: [哈哈],73.75289365146705
41680,1,我觉得总结的很好，喜欢[鼓掌],6.809407849827999
