,labels,text,neg_logits,pos_logits
30574,0,[MASK]行！怀疑是假货，洗发后感觉很不好,11.681233,6.0886936
7598,1,[MASK]行！手机质量很好哎，就是没有送礼品,11.849378,6.634577
43849,0,[MASK]行！有差异的产品，下次不会选购了,10.595306,4.805367
10361,0,[MASK]行！东西搭配了一堆没用的，给差评,12.240614,5.8389416
3099,1,[MASK]行！一般般 会有卡顿 看电影还行,12.583421,8.125557
28438,1,[MASK]行！不错很满意，物流小哥很给力。,10.163632,8.410612
34577,0,[MASK]行！京东的配送就这样吗？真是失望,12.749761,5.7352414
12015,0,[MASK]行！非常不满意，大型游戏根本玩不了,13.330957,6.878509
31819,0,[MASK]行！垃圾京东，收钱不发货，趁早倒闭,11.032175,4.3661246
42623,1,[MASK]行！衣服面料很舒服，柔软，大小合适,10.000226,7.431664
43428,0,[MASK]行！哎与图片差距太大真心接受不了,11.36179,5.0930147
38964,1,[MASK]行！面料很好，款式时尚 穿上很舒服,11.052294,8.175364
32231,0,[MASK]行！洗发水不正宗的，洗完头皮屑很多,13.568684,5.666375
17545,1,[MASK]行！京东商城的商品实惠，继续支持！,8.779657,5.0696034
36576,1,[MASK]行！蒙牛出香蕉奶啦 味道还不错哦,10.584707,5.48513
6653,1,[MASK]行！快递速度很快，平板用了还不错。,10.523126,9.036364
39896,1,[MASK]行！大小合适，有弹力，辉常满意！,8.803537,7.8507833
38971,1,[MASK]行！刚收到货，很好，物超所值！！,10.448227,7.964638
41286,1,[MASK]行！穿上变得特别帅，怎么呢？嘻嘻。,11.141506,6.6242414
29583,1,[MASK]行！超值值得购买！便宜实惠真的很好,10.041625,7.2702055
12956,0,[MASK]行！不咋好，显示不清楚，想贴膜的,13.072166,6.510172
31712,0,[MASK]行！不好，这么贵还不好，我也是醉了,12.155715,5.4711633
31680,0,[MASK]行！啥时候到啊下单好几天了还没到?,9.243902,3.4443085
60362,0,[MASK]行！很一般，价格不高，但设备差！,12.166273,7.6320734
45785,0,[MASK]行！没穿几次就破2个洞，做工不好。,13.693915,7.3003745
30820,0,[MASK]行！被坑了，不好用，只能给一星?,10.666824,4.3337564
10933,0,[MASK]行！送货师傅不错，平板质量一般般,11.317181,7.4563484
40218,1,[MASK]行！穿上很舒服，面料不错，蛮好的,11.402781,9.244043
36597,1,[MASK]行！蒙牛滴。。。口感醇厚，不错～,10.369019,6.580586
47403,0,[MASK]行！衣服不行 ！！！ 快递也不给力,14.027226,4.7350345
42213,1,[MASK]行！质量好，做工精细。非常满意！,10.083727,8.409334
31785,0,[MASK]行！不好用，味道太浓，不适合男人,13.711254,5.960224
46015,0,[MASK]行！质量没有想像的那么好，不要上当,10.6512,5.174506
42170,1,[MASK]行！款式新颖，又合身，孩子很喜欢,11.336714,8.032182
