,labels,text,ppl
8711,0,病人吃啊，挂面哈拉味，汤也腥。,207.33604210728478
5797,0,豆腐丝里吃出苍蝇，啥也不想说了,59.113181949712406
768,1,味道很好！送的也很快！好吃！,14.66033831747497
2518,1,菜品好，速度快，真是太好了！,7.916214766281035
7638,0,这家店就直接没送，接单不送的店,65.46478608806031
6583,0,送餐太慢太慢了～菜品还可以～,46.924946131477256
6692,0,"下次能送早点就好啦,快饿过劲啦",152.18446210345655
484,1,"很好吃量也很大都吃不完,赞一个",89.88967489443552
11295,0,下单2个小时才送到。无语了。,13.720835741132264
2826,1,谢谢师傅，辛苦了！非常准时！,10.573500423688943
11958,0,粉很好吃，但是订了卤蛋却没有。,39.91480803799849
4074,0,"吃到一半发现菜里有小强,简直了",41.83594385517446
1568,1,米饭是硬的。。不如上一次好吃,38.523826100904216
10881,0,米饭里有一只蟑螂，让人怎么吃,23.433180992603653
6353,0,咖喱鸡肉烩意面，不知鸡肉滋味,56.30156375421941
4765,0,很慢就不说了，关键是还不好吃。,11.655386316943222
370,1,态度很好，效率很高，给十分赞,21.506146519509507
11746,0,速度慢，第一次订餐就迟到，晕,34.13792874711052
8159,0,送餐走错路，袋子还破了………,48.287473795473446
2366,1,一直买他家的香脆鸡肉披萨，喜欢,17.776918985498437
866,1,"师傅辛苦了，谢谢,下雪注意安全",18.597662967151376
2743,1,又快又好棒呆了哈哈哈哈哈哈哈,34.23238974278851
9911,0,石锅拌饭里面吃出了塑料包装纸袋,137.77744341877522
5045,0,菜品没味道。。。周也是。。。。,121.6624164619234
1563,1,又快又好又便宜！真心给力！！！,28.808925912809414
10234,0,面时间太长了，坨了，不好吃了,17.355788545948478
29,1,"送餐非常快,态度特别好,谢谢",37.9376958757963
6442,0,"太小了,味道一般,说多了都是泪",12.466905458573686
467,1,送餐员辛苦，饭也好吃，继续购买,17.904258663035172
58,1,"送餐特别快,送餐员态度也特别好",16.28790454517584
1652,1,很快，也好，包装也好，赞赞赞,19.263667062744922
4529,0,味道还行，就是送餐太慢了……,25.896256564418934
88,1,"又快又好,小哥态度很好,好评",13.299793358318235
4524,0,"味道就那样把,盖浇饭挺难吃的",96.51606805070479
3085,1,外卖小哥人超级好。。。。。。,65.10673295879654
10811,0,速度挺快的，面不好吃，都凉了,50.611872090539364
8052,0,"点两份鸡柳,就给送,一份。。。",197.91176730398095
5562,0,太慢，太小，吃不饱。味道还行,10.535204895795477
5132,0,不好吃。。。菜太少了。。。。,46.44648014437956
2537,1,配送非常快，10分钟就送到啦～,24.014010741572218
2730,1,人好速度快，好评好评好评！！,16.034515959261295
6256,0,米粉比以前份量少，没以前好了,16.810920189101328
2717,1,东西非常好，还是热的，辛苦了！,9.678683216558209
5791,0,给的豆皮果然多，只是肉变少了,241.4875236008082
434,1,很快，很好，经常订，谢谢师傅,11.586117216065475
2067,1,非常好吃，送餐很快，绝对好评,19.6190650614684
8096,0,就薯条还行！其他都不怎么样！,48.69676157415363
1952,1,味道还好。服务态度真的很好～！,6.8057303421404525
6980,0,咋的跟饿了吗不一样的名，坑爹,229.85712683379825
2435,1,经常买这家的饺子，味道棒棒哒！,12.304098244858993
9055,0,没有在店里吃好吃，萝卜太多了,24.532592751143106
1653,1,除了速度有待加强，其他都不错,8.979859002448748
3654,1,没有餐具哦，还要自己点餐具么,31.65878472659043
1739,1,"服务不错,但是太难吃了啊啊啊",8.171634768871197
11045,0,面也太少了，才半盒，我就没吃饱,77.96501363509174
2626,1,非常的正宗，就是羊杂汤太咸啦,100.1007662970324
7925,0,午餐肉实在太难吃了，千万别点,8.900747123900903
5910,0,真的不适合外卖，另外，真难吃,19.326365666056734
11336,0,我的电话打不通，不知道为什么,3.8139149296429884
809,1,很好，速度飞快，炸鸡有点火大,36.749229101954036
661,1,太快了！！简直是神速啊！！！,16.075478161437953
396,1,"第二次买了,挺好的,以后继续",7.602054000510653
5702,0,我备注要的粥，结果送来的是饮料,179.22970902713647
10859,0,赠送的黄飞红花生呢？没送啊！！,238.36151317794983
280,1,非常好送的很快，，，还是热的。,35.318621857468045
184,1,好好好！赞赞赞！态度好速度快！,30.961367983234144
2289,1,味道很好而且很实惠送得也很快,49.96292724190911
4775,0,包装牛逼，送餐速度……咳咳……,32.641995983331036
2711,1,"番茄醬撒了QAQ,其他nice",137.05173223882622
854,1,"粥里有头发,就没吃,剩下都好吃",93.33012757167805
5116,0,太慢了，俩小时连个解释也没有,19.669386579413025
2377,1,速度挺快的东西也挺好的给赞~,111.66305014655924
4429,0,肥肉太多吃的时候还把嘴唇拿破了,41.94671965403062
11423,0,饭菜都凉的，一个多小时才送来,54.82629689081662
7151,0,地三鲜，茄子里面有很多是生的,40.86321383169111
901,1,我吃出来一个钢丝球上的一个丝,26.330301447568388
5808,0,不好吃，包子还不熟，都硬邦邦的,31.047043934802367
2679,1,味道好，包装好，送餐及时，不错,14.200570482050447
11060,0,差评，退款太慢！我说的是百度！,41.05029999126641
10479,0,"送错了,打电话要求补送也不送",106.04950653593374
8079,0,送的时间太晚了，一个小时才送来,23.073685764758416
4617,0,送餐很慢，饿死了，味道很一般,19.071067262749214
2406,1,挺好的，速度也不错，以后还来,10.76434955310687
2682,1,大叔特别面善！饭食用料很好！,110.40243367564923
2442,1,大冷天的百度骑士真是辛苦了～,24.440501752874248
963,1,肉很多，味道不错，配送也很快,15.915115369915593
3617,1,饭菜香质量好，服务好，送饭快。,19.75876727790569
10792,0,一单元和二单元分不清...麻烦,6.008327795214052
2821,1,送餐快，阿田大虾一如既往的好吃,364.1929682262056
2108,1,菜挺多饭挺多就是牛肉丝质量一般,51.609665232419815
2832,1,送货很快，经常吃他家的，很棒,31.45125669257904
9713,0,送餐人员素质太差，不适合本工作,14.024456569785311
3122,1,"赞赞赞,很好吃,小哥送餐也很快",63.682040197167005
10897,0,味道还好，但是送餐实在是太久了,16.222844677636942
3793,1,都非常好，就是派送费有点贵！,22.246330456232858
6995,0,饺子都凉了还能吃吗，送来太慢了,36.617560614603846
1115,1,"好吃,就是太慢,两个小时才送到",33.01879891099715
6568,0,送餐慢，披萨巨小！还没餐具！！,360.83856187083455
