,labels,text,ppl
82777,0,[泪] //@耿嘉晨：还真是,110.31904097931292
48250,1,爱上江西，没有理由！[哈哈],13.310349796554092
100168,0,计划赶不上变化[抓狂][泪],27.156935764483855
22319,1,芭其乐，大嘴快乐的家伙[爱你],134.54917077156045
70122,0,传统已逝??????[抓狂],63.923762984388176
6338,1,谢谢哈! 欢迎常来![鼓掌],59.03242704555767
20081,1,胖子手感好啊！[鼓掌][爱你],25.95703313767063
23064,1,生快！[干杯][蛋糕][鼓掌],51.800036401966594
84060,0,居然把我干儿子装脸盆里！[怒],70.42112719100092
93871,0,三哥总是这么的让人惊喜[晕],42.63422950446358
104161,0,此刻后：ko了... [晕],257.00607477696997
40416,1,[害羞][哈哈]@魔王1987,207.43985863514553
15376,1,随手拍祝大家周末愉快！[爱你],20.474197966036446
10199,1,是滴，美女。欢迎哦！[可爱],52.24233367032345
71224,0,偷贡品。不怕报应啊？。[衰],173.06108422939764
12238,1,[哈哈] //@独眼u:哈哈哈,32.58247945689012
77537,0,求二手智能手机。。。[抓狂],33.59399445114047
55063,1,是帮你挡酒的男的么？[嘻嘻],35.827200435734106
21548,1,原来很多国家都免签![哈哈],38.00148829107232
38076,1,百变大咖秀真的很快乐[哈哈],23.689442335339834
84198,0,[泪]//@那木错:[微风],89.85049542397772
27872,1,哈哈，强大[鼓掌][good],73.68860492687325
48051,1,眼睛一眨，美妞变辣妈！[哈哈],51.101523122056115
18029,1,祝大家十一小长假快乐[太开心],27.416315368238685
115177,0,[泪] //@袁腾飞:[泪],14.588564906362912
114619,0,可怜的风扇[泪] 我要等正版！,44.7903540589403
64870,0,固执的大叔这场又好危险[失望],95.4457811435707
74958,0,办公室都是孩儿他娘！！！[怒],63.29713639541473
77734,0,//@地狱中的八尾猫: [衰],62.542084049049556
51580,1,财神到我手?[偷笑][鼓掌],135.70988443626538
54352,1,爱吃牛排的童鞋举个手~[爱你],76.12695770141667
8324,1,开始喽，看起来吧！！[鼓掌],126.55736637826983
106626,0,受伤，是个超级不好的消息[衰],32.885903802705236
15031,1,[哈哈][哈哈]收费大调查。。,15.015078957073182
8249,1,用美食向大家说早安~[嘻嘻],27.047145679926142
59782,0,愚人节的游戏，银行也玩呀[衰],59.47730082597774
110113,0,[衰]弄破了，基本上不会复原！,17.747689062873526
11405,1,哈，回忆录写到哪了？[嘻嘻],58.72199398386406
81138,0,书人搬家，其实就是搬书[晕],107.94359299163129
14831,1,《时尚旅游》也玩街拍了[哈哈],41.584912743586145
51446,1,阿姨做的菜相当好吃呢[爱你],26.704145121594454
73965,0,Facebook 还在跌[晕],394.4653518732305
101129,0,[抓狂] 你是在哪里腐败~~~,61.0729664573055
104892,0,男人动手…[怒][怒][怒],11.84947544692513
66040,0,我在这里：#闸北区#吃饭[泪],97.67845181996546
87632,0,难得休息的，竟然感冒了[泪],32.59679033655959
96063,0,知道得太晚了，遗憾！[失望],17.36967166375483
81716,0,社会败坏的典型!?救了[衰],117.93127764440926
92195,0,姐，我给你跪下了，这才气[晕],104.04829422390532
95696,0,[泪]同意，让他们变成海豹!!,32.131312059845534
19351,1,//@好色小湿妹: [哈哈],71.11117177612368
41680,1,我觉得总结的很好，喜欢[鼓掌],6.034960379604667
21865,1,斯坦福正门左侧草坪。[嘻嘻],38.42165676674928
2453,1,[嘻嘻]重口味爱好者的福音来咯,49.42965471240203
48755,1,转给来北京玩的童鞋们[可爱],73.37818468410923
53195,1,偷偷发张我师父的照片[哈哈],47.487299905362086
