,labels,text,neg_logits,pos_logits
30574,0,[MASK]绿。怀疑是假货，洗发后感觉很不好,5.9221463,6.436324
7598,1,[MASK]绿。手机质量很好哎，就是没有送礼品,5.893937,4.7431793
43849,0,[MASK]绿。有差异的产品，下次不会选购了,4.3678474,3.6928322
10361,0,[MASK]绿。东西搭配了一堆没用的，给差评,5.05401,4.939557
3099,1,[MASK]绿。一般般 会有卡顿 看电影还行,6.3428626,4.682811
28438,1,[MASK]绿。不错很满意，物流小哥很给力。,4.798485,5.0368166
34577,0,[MASK]绿。京东的配送就这样吗？真是失望,6.2818437,4.178444
12015,0,[MASK]绿。非常不满意，大型游戏根本玩不了,4.9738708,4.2352886
31819,0,[MASK]绿。垃圾京东，收钱不发货，趁早倒闭,3.8541763,4.31077
42623,1,[MASK]绿。衣服面料很舒服，柔软，大小合适,6.0896688,6.7717667
43428,0,[MASK]绿。哎与图片差距太大真心接受不了,5.7019467,4.8735647
38964,1,[MASK]绿。面料很好，款式时尚 穿上很舒服,6.727161,6.473116
32231,0,[MASK]绿。洗发水不正宗的，洗完头皮屑很多,4.477263,6.1245785
17545,1,[MASK]绿。京东商城的商品实惠，继续支持！,2.7021258,3.659997
36576,1,[MASK]绿。蒙牛出香蕉奶啦 味道还不错哦,5.588778,5.517927
6653,1,[MASK]绿。快递速度很快，平板用了还不错。,5.064028,4.4838715
39896,1,[MASK]绿。大小合适，有弹力，辉常满意！,7.208365,6.5327396
38971,1,[MASK]绿。刚收到货，很好，物超所值！！,5.1861377,5.525831
41286,1,[MASK]绿。穿上变得特别帅，怎么呢？嘻嘻。,6.856395,6.3928814
29583,1,[MASK]绿。超值值得购买！便宜实惠真的很好,5.6904483,5.136423
12956,0,[MASK]绿。不咋好，显示不清楚，想贴膜的,6.666462,5.1823854
31712,0,[MASK]绿。不好，这么贵还不好，我也是醉了,5.9751143,5.245366
31680,0,[MASK]绿。啥时候到啊下单好几天了还没到?,7.0554633,5.7179165
60362,0,[MASK]绿。很一般，价格不高，但设备差！,6.317303,4.685857
45785,0,[MASK]绿。没穿几次就破2个洞，做工不好。,6.396842,6.101123
30820,0,[MASK]绿。被坑了，不好用，只能给一星?,5.83212,5.0940475
10933,0,[MASK]绿。送货师傅不错，平板质量一般般,4.901411,5.171299
40218,1,[MASK]绿。穿上很舒服，面料不错，蛮好的,7.291843,7.160301
36597,1,[MASK]绿。蒙牛滴。。。口感醇厚，不错～,6.328026,5.724125
47403,0,[MASK]绿。衣服不行 ！！！ 快递也不给力,5.911789,5.7088337
42213,1,[MASK]绿。质量好，做工精细。非常满意！,5.936469,6.1284523
31785,0,[MASK]绿。不好用，味道太浓，不适合男人,5.882703,6.7770224
46015,0,[MASK]绿。质量没有想像的那么好，不要上当,4.3988013,5.1836452
42170,1,[MASK]绿。款式新颖，又合身，孩子很喜欢,6.9622707,6.6263065
43150,0,[MASK]绿。欺骗消费者！！！严重不符！！！,3.3126047,4.420121
45415,0,[MASK]绿。商品没图上的好看，面料也不多好,6.0344152,6.060442
30230,1,[MASK]绿。价格实惠，服务好，东西不错。,4.3148065,4.7025137
47927,0,[MASK]绿。没收到商品，一个月了，差劲。,5.25164,5.131893
30018,1,[MASK]绿。好，不错，得蛮多的，划算，喜欢,5.783032,5.264632
26817,1,[MASK]绿。到货好快。服务好！东西满意！,5.1745257,4.9165955
5006,1,[MASK]绿。手机不错，屏大清晰，速度快。,5.8606114,4.9133825
44936,0,[MASK]绿。洗了掉色特严重，很硬，还没穿,7.427343,7.380582
16856,1,[MASK]绿。还味吃，现在觉得苹果越来越甜了,4.955772,5.4903803
3845,1,[MASK]绿。不错 很喜欢 华为平板666,6.124515,5.437976
28242,1,[MASK]绿。洗发水好用，洗过头发很清爽…,5.1858196,5.4214745
42123,1,[MASK]绿。可以 比较满意 穿了再来评价,6.3210826,5.797205
34621,0,[MASK]绿。有一瓶盖子烂了，流的到处都是。,5.5974436,5.7311344
33650,0,[MASK]绿。使用一般，和国货区别不是很大！,6.009761,5.5321836
5554,1,[MASK]绿。好好的一个好的自己选的好好好货,5.311918,4.6676197
30937,0,[MASK]绿。说好的吹风机在哪！太垃圾了！,6.587981,5.2622356
60557,0,[MASK]绿。服务很一般，设施和装修也不好。,4.203329,4.538575
46810,0,[MASK]绿。真的和网上看的差别真大，好垃圾,5.65691,4.9524117
25754,1,[MASK]绿。看着还可以，小的赠送旅行装不错,6.4077387,6.0163403
43705,0,[MASK]绿。物流太慢太慢，衣服不怎么样，,4.2487874,4.9854784
18630,1,[MASK]绿。个头小但很甜，用来做早餐正好。,7.108869,7.3261023
41784,1,[MASK]绿。商品不错，物超所值。真实体验。,4.0757303,4.63081
45106,0,[MASK]绿。非常一般，不推荐，不要贪便宜,4.8610806,5.290304
31546,0,[MASK]绿。昨天收到今天就降价，太过分了！,5.740558,5.055834
43624,0,[MASK]绿。有股刺鼻的味道，还特别脏，差评,6.2016735,6.387163
10107,0,[MASK]绿。差评，保护壳都没有，5星差评！,5.8440757,5.3683205
32824,0,[MASK]绿。不好用，不适合我的发质，起头屑,5.5305643,6.9760675
4883,1,[MASK]绿。不错物流给力，值得信赖，正品，,4.324749,4.9710035
31305,0,[MASK]绿。发来就破了。。懒得跟客服叨叨了,5.2268286,4.575391
17539,1,[MASK]绿。性价比真他们高。。。。够味还脆,5.927442,5.32833
3991,1,[MASK]绿。不错，给妈妈玩游戏用的，很喜欢,6.244599,5.1665716
35438,1,[MASK]绿。安装好了，还没用，感觉挺好的,5.534676,4.044058
10959,0,[MASK]绿。骗子。垃圾货。收到的卡装不了,6.3765054,6.0163813
38859,1,[MASK]绿。衣服挺好的，我一下子买了两件,5.8226185,5.9090433
33344,0,[MASK]绿。还品牌垃圾要死，越洗越多头屑。,4.727562,5.887027
11811,0,[MASK]绿。不好买来好后悔玩游戏好卡差评。,5.7109313,5.75224
26497,1,[MASK]绿。一如既往的快，态度好，日期新。,4.6624513,4.266426
39505,1,[MASK]绿。裤子面料不错的 版型很喜欢啊,6.6623797,6.51999
34065,0,[MASK]绿。买了很多次，这次的是假货，失望,5.6142473,4.3687925
57426,0,[MASK]绿。服务不好。乱收费，非常不满意！,4.3419437,4.7366085
10211,0,[MASK]绿。cpu太差 一点都不流畅 亏了,6.3897157,4.5036907
6071,1,[MASK]绿。真正好PAD，学英语不用愁啦,4.075603,3.3067214
46500,0,[MASK]绿。网上买几次都是烂货，不能相信。,4.8291693,5.801462
39929,1,[MASK]绿。裤子的质量真的不错，值得表扬！,5.645388,5.934308
47506,0,[MASK]绿。穿了一次，扔了，好还是不好？,7.326374,6.7063465
6287,1,[MASK]绿。屏幕够大，上手容易，物流很快。,6.0787573,4.680978
39475,1,[MASK]绿。买回来很合适，老公很喜欢。。。,6.836611,6.2236776
38335,1,[MASK]绿。质量非常不错，穿起来很舒服。,7.2190175,6.794553
32710,0,[MASK]绿。就是好难受看到你日目的地后的吧,6.771339,4.777543
7812,1,[MASK]绿。帮朋友买的，反馈信息还不错?。,6.645055,5.836528
33424,0,[MASK]绿。快递丢失 不处理 没有维权渠道,3.3517933,4.354041
39217,1,[MASK]绿。很不错哦，我又要在买多一条了,6.766461,5.5819635
35260,0,[MASK]绿。这个商标都掉了，可能是二手货吧,6.0583487,5.7960844
19076,1,[MASK]绿。苹果包装完好，吃起来香甜可口！,6.410039,6.5916386
58781,0,[MASK]绿。酒店很旧，设施陈旧！花洒漏水,5.6235595,5.9441347
10412,0,[MASK]绿。卡出翔，到底是不是3G运行？,6.6466603,4.906208
46154,0,[MASK]绿。物流太慢了，就凭这一条给你零分,4.969231,3.7984066
34631,0,[MASK]绿。非常无语，包装是裸的，没有塑封,5.569207,5.310973
57024,0,[MASK]绿。所有的房间里的设施不是很齐全！,4.737222,4.979023
42499,1,[MASK]绿。不错，穿上很舒服，面料也不错,7.7236094,7.1166534
47937,0,[MASK]绿。不满意，色差太大！做工一般！！,7.1475487,6.4352846
18689,1,[MASK]绿。苹果不错！很新鲜！到货也很快！,6.08806,5.930381
47073,0,[MASK]绿。洗一次线全扯掉了，做工非常粗糙,5.5278635,5.5469427
14578,0,[MASK]绿。功能可以，但表面出现掉漆现象,5.523621,5.073512
33936,0,[MASK]绿。送来都爆开了，包装能用点心吗？,6.29057,5.5349483
46214,0,[MASK]绿。大小不标准 垃圾货下次去桃宝买,6.6317315,6.488757
18541,1,[MASK]绿。统一大小，味道一般，包装很好。,7.1786475,6.880912
6147,1,[MASK]绿。东西不错，真的很喜欢很喜欢。,5.357766,5.095414
35038,0,[MASK]绿。一点都不好，，，洗了很痒，差评,5.620051,6.0310354
21809,0,[MASK]绿。包装不错，口号不太好，很硬不甜,6.2516465,5.9813566
47351,0,[MASK]绿。太差了，以后不会买了，懒得退,5.82452,5.2822704
11255,0,[MASK]绿。分辨率太低了，看着模糊，后悔了,6.2092915,5.690012
6495,1,[MASK]绿。我这个是给妈妈买的，她很喜欢,5.1814747,5.9562683
27960,1,[MASK]绿。还行吧，感觉可以满意。好评！,5.353198,4.977559
59784,0,[MASK]绿。凑合吧，旺季也不便宜，隔音太差,5.857184,5.7452555
30190,1,[MASK]绿。比超市便宜，还方便，省的逛超市,4.15861,4.461729
41065,1,[MASK]绿。一直喜欢的牌子，好好好好好……,6.5397425,4.573285
12495,0,[MASK]绿。不好不好不好，真的不好，上当,4.867785,4.4349823
4490,1,[MASK]绿。刚拿到还没用还知道功能什么样,6.391505,5.358199
37775,0,[MASK]绿。你让我这个蒙牛脑残粉情何以堪？,5.030248,4.894454
18639,1,[MASK]绿。苹果个小点，颜色一般吃着还行。,7.8460107,7.976611
6522,1,[MASK]绿。不错很好，京东快递给力棒棒哒,4.309252,4.879999
45361,0,[MASK]绿。穿了两次，而且面料粗糙，易脏,6.7713537,6.7046013
23149,0,[MASK]绿。心好几个发黑的。潘石译太差了！,6.883684,4.944418
45269,0,[MASK]绿。号码偏小，是棉的，颜色也还可以,8.561541,6.176652
45110,0,[MASK]绿。不好，有味非常刺鼻，而且还慢！,5.112213,5.9443464
36596,1,[MASK]绿。果断的支持下，还是蒙牛厉害啊,5.773932,4.6997585
34714,0,[MASK]绿。京东客服很垃圾，购买商品注意,3.785184,4.26873
39832,1,[MASK]绿。哈哈哈红红火火恍恍惚惚哈哈哈哈,6.7708936,5.1619062
43503,0,[MASK]绿。质量和版型和图片不一样，不好看,6.351322,6.791215
18791,1,[MASK]绿。刚收到，看着还可以。还没有吃。,6.321215,5.742588
5050,1,[MASK]绿。不错，暂时用着各方面都很满意,6.382782,5.2039604
45857,0,[MASK]绿。等啦一个星期才到，无敌的郁闷,5.8536224,4.990286
38304,1,[MASK]绿。非常愉快的一次购物。价廉物美。,4.055729,4.88745
32290,0,[MASK]绿。太差劲了，根本和实体店的不同,4.823955,4.627425
17172,1,[MASK]绿。早上下单，晚上收到，物流很快。,4.0863557,4.0675745
26214,1,[MASK]绿。看着挺好的 洗发水我 还没用,5.7179403,5.663476
43653,0,[MASK]绿。不好 买回来穿一次口袋就破了,6.7492433,6.6533623
28796,1,[MASK]绿。给家人买的，家人都喜欢用这个。,5.669518,5.870184
45067,0,[MASK]绿。买回一看，跟夜市买的一样，*,6.163205,4.9814615
40256,1,[MASK]绿。白色质量一般般，料子不是很好！,7.3294687,6.5339823
12627,0,[MASK]绿。wifi不靠谱，上网有限制。,5.071984,4.438778
20546,0,[MASK]绿。苹果有坏的，不新鲜，自欺欺人。,4.958138,5.5378046
41781,1,[MASK]绿。裤子质量挺好的 料子很舒服啊,6.291073,6.2320147
5986,1,[MASK]绿。除了不是全网通以外，其他都蛮好,5.2671685,4.267767
61796,0,[MASK]绿。服务差，环境差，缺乏管理和训练,2.7363853,3.6364846
47908,0,[MASK]绿。非常多小碎毛，穿了一次起球球,7.4044847,6.5691385
4899,1,[MASK]绿。机器很不错，外观漂亮 包装精美,5.7757115,5.621833
7036,1,[MASK]绿。买的第二个了物有所值相信京东,4.5196853,4.6667767
40508,1,[MASK]绿。质量看着还好，就是有点瘦了。,6.878007,6.2642555
31474,0,[MASK]绿。这物流是蜗牛～产品有待考证～,4.8170953,4.430337
4337,1,[MASK]绿。帮侄子买的，小朋友说挺好用的。,6.034269,5.461484
40660,1,[MASK]绿。手感不错 料子不错 样式不错,7.1057973,6.453107
12511,0,[MASK]绿。二手的机子 电池不抗用 太坑了,5.531125,5.0031605
28485,1,[MASK]绿。支持大牌！重要的是搞活动便宜！,4.130327,4.2854366
42157,1,[MASK]绿。物美价廉，顶顶顶顶顶顶顶顶顶,5.4043427,5.224366
35078,0,[MASK]绿。洗完头很多头皮屑，怀疑买的假货,4.801754,6.106838
39965,1,[MASK]绿。质量不错，值得购买，价钱也实惠,5.92919,5.496499
35703,1,[MASK]绿。产品就不评价了，正在使用中。,4.820463,4.0709257
31868,0,[MASK]绿。沙宣的产品，得看个人适不适合,3.6350238,4.954975
5547,1,[MASK]绿。真心好用！原装最新版本！喜欢！,6.2303085,5.2700434
44544,0,[MASK]绿。差评 拉链不行，各位兄弟注意了,4.921587,4.8264055
42912,1,[MASK]绿。很好，质量不错，店家态度挺好,5.431758,5.4082365
7180,1,[MASK]绿。不错，非常好用！流畅，不卡。,6.919901,4.8031063
7323,1,[MASK]绿。京东我信任！便宜实惠邮寄快！,3.3760784,4.319309
5333,1,[MASK]绿。超爽啊，比我之前用的三星好多了,6.197396,4.612876
31995,0,[MASK]绿。真假噶时间看书考试计算机技术,4.0614986,3.41541
46205,0,[MASK]绿。真的差，都不想在班尼路买衣服了,5.810672,4.6879034
12993,0,[MASK]绿。什么玩意，服了京东了！垃圾，,5.920325,5.306672
45391,0,[MASK]绿。不满意，希望下次不要让我失望,4.7274246,4.051459
5688,1,[MASK]绿。速度还不错，还好卖的是32G的,6.0855546,5.0309973
38275,1,[MASK]绿。舒服，就是质量一般，就值这个价,5.815587,5.6104603
7874,1,[MASK]绿。还可以吧，用了几天暂时没问题,6.5508,5.2077465
12584,0,[MASK]绿。耗电快，反应慢，还没有提供发票,5.897029,4.410241
17836,1,[MASK]绿。很好，价廉物美经济实惠值得购买,5.15487,4.612522
