,labels,text,neg_logits,pos_logits
30574,0,[MASK]行。怀疑是假货，洗发后感觉很不好,8.6919985,3.7493918
7598,1,[MASK]行。手机质量很好哎，就是没有送礼品,9.771442,4.6018
43849,0,[MASK]行。有差异的产品，下次不会选购了,9.464443,2.4114308
10361,0,[MASK]行。东西搭配了一堆没用的，给差评,11.451047,3.4241352
3099,1,[MASK]行。一般般 会有卡顿 看电影还行,11.173942,4.6853075
28438,1,[MASK]行。不错很满意，物流小哥很给力。,10.099191,7.354686
34577,0,[MASK]行。京东的配送就这样吗？真是失望,12.365347,5.509897
12015,0,[MASK]行。非常不满意，大型游戏根本玩不了,11.307964,3.1648796
31819,0,[MASK]行。垃圾京东，收钱不发货，趁早倒闭,10.490966,3.3260684
42623,1,[MASK]行。衣服面料很舒服，柔软，大小合适,7.783031,4.841877
43428,0,[MASK]行。哎与图片差距太大真心接受不了,9.866815,3.7760842
38964,1,[MASK]行。面料很好，款式时尚 穿上很舒服,7.79176,5.3662777
32231,0,[MASK]行。洗发水不正宗的，洗完头皮屑很多,11.057555,4.6568317
17545,1,[MASK]行。京东商城的商品实惠，继续支持！,9.04578,2.7990673
36576,1,[MASK]行。蒙牛出香蕉奶啦 味道还不错哦,10.457191,5.490975
6653,1,[MASK]行。快递速度很快，平板用了还不错。,8.763263,5.180646
39896,1,[MASK]行。大小合适，有弹力，辉常满意！,7.788522,5.1499777
38971,1,[MASK]行。刚收到货，很好，物超所值！！,8.842352,5.2511706
41286,1,[MASK]行。穿上变得特别帅，怎么呢？嘻嘻。,11.162793,5.7003
29583,1,[MASK]行。超值值得购买！便宜实惠真的很好,7.4369845,3.9648488
12956,0,[MASK]行。不咋好，显示不清楚，想贴膜的,10.297153,4.124669
31712,0,[MASK]行。不好，这么贵还不好，我也是醉了,12.2786,5.7547584
31680,0,[MASK]行。啥时候到啊下单好几天了还没到?,11.619434,5.3759594
60362,0,[MASK]行。很一般，价格不高，但设备差！,8.997028,4.563184
45785,0,[MASK]行。没穿几次就破2个洞，做工不好。,12.145176,5.6737127
30820,0,[MASK]行。被坑了，不好用，只能给一星?,10.102309,2.5306804
10933,0,[MASK]行。送货师傅不错，平板质量一般般,9.146421,4.6613984
40218,1,[MASK]行。穿上很舒服，面料不错，蛮好的,8.389053,6.3813715
36597,1,[MASK]行。蒙牛滴。。。口感醇厚，不错～,9.171974,4.6712766
47403,0,[MASK]行。衣服不行 ！！！ 快递也不给力,14.831283,5.9159403
42213,1,[MASK]行。质量好，做工精细。非常满意！,8.002672,6.1730137
31785,0,[MASK]行。不好用，味道太浓，不适合男人,11.560148,4.356265
46015,0,[MASK]行。质量没有想像的那么好，不要上当,9.866469,3.9803317
42170,1,[MASK]行。款式新颖，又合身，孩子很喜欢,7.6426067,4.4252663
43150,0,[MASK]行。欺骗消费者！！！严重不符！！！,10.74948,2.3184168
45415,0,[MASK]行。商品没图上的好看，面料也不多好,9.785934,3.926873
30230,1,[MASK]行。价格实惠，服务好，东西不错。,6.8982267,5.257249
47927,0,[MASK]行。没收到商品，一个月了，差劲。,12.596317,4.761528
30018,1,[MASK]行。好，不错，得蛮多的，划算，喜欢,9.532714,4.884627
26817,1,[MASK]行。到货好快。服务好！东西满意！,8.537246,8.168047
5006,1,[MASK]行。手机不错，屏大清晰，速度快。,8.630238,4.3709545
44936,0,[MASK]行。洗了掉色特严重，很硬，还没穿,11.085021,5.0425453
16856,1,[MASK]行。还味吃，现在觉得苹果越来越甜了,10.782327,5.54535
3845,1,[MASK]行。不错 很喜欢 华为平板666,9.654448,6.0158067
28242,1,[MASK]行。洗发水好用，洗过头发很清爽…,9.402791,5.762049
42123,1,[MASK]行。可以 比较满意 穿了再来评价,8.74019,4.9020314
