,labels,text,ppl
23455,0,第二部就不该拍竟然还出第三部,31.687724054508397
37994,1,局气！规矩！管虎导了俩影帝了！,1472.5685955221845
45474,0,前半段真好看，后半段越来越萎,14.515195266310368
37018,0,前面的剧情看得我尴尬癌都犯了,16.408827810732884
39152,0,混乱的情节，特么矫情无下限。,25.78723257207688
4952,0,适合能静得下心和有故事的人。,17.442021369949924
49922,1,最是人间留不住朱颜辞镜花辞树,560.662274563862
18895,1,超级治愈又感人，狗狗真的好暖心,13.296360770831056
16855,0,密室设定很有意思，可惜未能维持,37.3754836042818
33344,1,原来巴萨的德国馆还有这个用处,123.49703083333284
43014,1,丫丫真的太美了，前夫哥好可爱,37.27258601066818
30945,0,烂的一逼，啥都没有，狗屁不通。,18.529570523328324
11202,1,这个玛丽苏我喜欢很好看求续集,131.67041497564762
43097,1,看了点映，好多戳中我泪点??,246.29980437856742
7229,0,郑恺和郭采洁还挺有cp感的。,92.23139743678261
46824,0,民乐要靠二次元来拯救了嘛……,72.69866007637316
44791,1,反正我追完了，为了女主的颜值,30.91395200426597
40750,0,我朋友说，她尴尬得想原地去世。,41.334822904074
24357,0,今年作品太多了，有点透支了。,14.14912898068488
12065,0,我是真的觉得孙悟空的扮相太丑了,15.337672719601786
44782,1,还可以吧……感觉题材还算新颖,6.403806053705026
11314,0,看完情圣来评评这部这部比情圣好,46.31400319325022
19047,1,它令我想起曾经怦然心动的轻吻,16.557192429598643
45899,0,发哥抄着烂片专业户就去了。。。,450.82523061531236
14214,0,第一集演得什么玩意儿，尴尬死了,18.03951344210829
31414,1,热热闹闹的，看得我好开心啊。,9.655218450845114
25276,0,煽情煽成了MV，大家都笑了。,28.183131427241655
47776,1,最喜欢的科幻故事，很成功的改编,8.739152248651608
45012,1,还算可以哦，故事讲的挺精彩！,25.8550793646314
49786,0,被黑天鹅惊艳到了！美轮美奂！,27.570142590547654
11029,0,到底在演什麼啊？？大爛片！！！,39.18934749178602
30704,1,卧槽我竟然看过啊啊啊啊啊啊啊,17.152510895675203
3121,1,你无车无楼无番狗做乜要拖我手,580.436642833319
9512,0,最弱版劳拉了吧？太弱了太无聊了,203.80299617307034
15976,0,重拍经典，孩子对恐惧的克服。,15.827243130780959
26862,1,太好看了！笑得我内分泌失调！,29.505516822444502
30395,0,本来两星，加一星给受罪的演员吧,77.81010272144215
22972,0,《星际特工：全宇宙看我们尬爱》,53.074365977811894
30570,0,特效不错啊，但剧情就大简单了,29.360222798508616
20588,0,气氛到位，演员不存，故事简单！,45.114939582022934
13869,0,看的点映，形式“精致”的大烂片,116.20940244270078
24216,1,最后居然没搞你们还是人吗？？？,41.0935050437101
32991,0,平淡真实不温不火我没懂哭点在哪,142.841297387065
1732,1,其实伍迪哈里森演的是一个天使,40.90904300281863
4472,1,陈可辛拍商业文艺片真的不错~~,37.47766845489542
33439,0,泡泡妹子打打架，兄弟情在哪？,60.46505957534108
11847,0,一部非常尬的电影。不推荐观看。,9.398035891702857
16369,0,张艺谋式的漂亮画面，何必3D。,30.03287682669902
31321,0,"我不信你们没东西怼地雷啊=""=",124.04130066951532
18949,1,少男少女必看，爱与美的启蒙。,23.263490421646175
32102,1,迪斯尼的动画很赞，配乐很好听！,54.276381638726896
9630,1,喜欢坎妹素颜的劳拉，期待后续。,142.60156176626103
1571,1,演小安生的小朋友很像岳云鹏啊。,122.92062438372069
38226,1,你猜不到的结局…猜不到的惊异…,23.806662218187988
17406,0,卡尔文老师不是触手，是海蜇皮啊,92.685343710511
24554,1,我不会说情话，只知道陪着你。,6.486788718833137
6181,1,腕龙站在码头哀嚎的场景太泪目了,133.0644196389509
6583,0,比较难看的伪记录僵尸片...,29.88977058161169
6224,0,cctv6盛产类似的古装片……,92.64013373880032
39086,0,打一星以上的人都是咋想的！！！,61.13964583087032
14019,0,好吧，为了阿姨们的搏命演出。,21.38916279832993
10409,0,勉强合格。觉得周冬雨有点厉害。,24.029588651023676
24108,0,Highlyoverrated,2519.823123110059
21295,0,干了这碗毒鸡汤，来世不见张嘉佳,254.0420350596082
6067,1,妈的吓死我了叫得我嗓子都哑了,125.02478921563869
9505,0,寻父，遇彦祖。掘墓，炸病毒。,125.12851451232277
41265,0,嗯电影院椅子挺舒服，睡得挺好,45.54155330323181
48553,1,Pixar真的没有让我失望过。,15.001011582578398
24690,1,看完只想把所有好东西都给它……,14.09413174552835
6635,1,我给你四星，反正我就是胆小。,13.38189813533195
4338,1,除了人贩子，所有人都是受害者,9.100530282780488
25535,1,逃离已知世界的勇气令人敬佩。,11.618336028175996
17716,1,老一套温情，稍稍让我有点麻木,65.53681631535633
47637,0,我特么就想知道那句中文是什么,14.767411699521917
8508,1,好看！但是最后那关不过瘾???,40.816539470655634
23534,1,谁能拒绝穿护士服的余春娇呢？,36.219539437220746
26207,0,太恶心了~不要看~建议哈···,49.739279145171196
28591,0,主角明明是章鱼，你叫潜艇总动员,22.062412878169177
19643,0,没看。但是五星水军太恶心了。,99.78129956043492
31415,1,爽着爽着导演就给你喂了一口屎,37.07804799304994
2047,0,好的地方都是老舍的。★★★☆,176.3942924447333
9358,0,感觉在铁匠铺呆了一宿。。。。,24.30380359967038
27611,1,勇敢、努力、坚强的女孩都是公主,17.197125882114143
24947,0,埃德加赖特的GTA6？太屎了,2323.9012475739846
24137,0,小哥有精神洁癖呀，这点好赞。,40.96194521388107
18739,1,永远不要忘记你所爱的人，感动,8.173280836129365
26928,0,把所有人都拍这么难看太不容易了,11.735832107904606
15616,1,就想知道睡觉打呼噜的人怎么办,8.981144325913752
49084,1,能把蒜皮当雪花的姑娘你真好。,53.227076052484726
46654,0,我没想到加分项竟然是景甜老师。,32.6956009375631
31054,0,交通安全宣传片，情感关系咨询片,14.348067667124289
22682,1,Kylo在色誘Rey啊啊啊！！,669.0880764593282
21126,0,演员升级，故事降级，无聊透了。,17.918023767416546
19669,0,车行径你妈逼去死！杀人凶手！,346.5217659251912
38351,1,最后奔跑拥抱那里真的好感动。,14.57433837945809
29835,0,女个坏女人挺好看的，好友真真,39.633434907303375
20290,0,犯我中华者，虽远必诛其超市！,165.1913726889191
32379,1,我眼拙。不过剧情还是吸引人的。,12.491554375801995
7517,1,看哭了，我是不是自我代入太努力,168.52235254901655
47322,1,生命不止，奔跑不息。励志电影,9.635352864372935
48159,1,全片都是彩蛋。最后两个彩蛋。,12.786874278490417
39334,0,馮小剛的電影，簡稱「尬影」。,16.888716084779727
30801,0,特效不错吧，其他没什么感觉。,23.448569676344718
48912,0,莫名其妙，演到一半变得毫无逻辑,10.65128989554811
27998,0,好玩，看完很放鬆的輕鬆喜劇。,16.166219225150023
5783,0,为了第三部放恐龙也是牛逼……,116.67813880565414
25444,1,剧情紧凑，案件逼真，很好看。,6.579674824620413
45902,0,发哥近年来也都是接的烂片子啊,128.59254115475085
41165,0,不是赵丽颖差，而是朱琳太好。,91.46278894839529
3114,0,题材不错，可惜片子真的很一般。,16.965826022536966
28516,1,披着科幻片外衣的恐怖悬疑电影,32.197648638985264
45673,0,他们都在打酱油不要冤枉甜老师,103.36723227160272
44474,0,虐杀白垃圾的感觉真的会超爽吧,70.75626029437339
2914,1,verycd上的三级太强悍了,161.60259001058964
36553,1,比我想象的好看，和妈妈一起看的,12.147275012128459
35983,0,世人久不见苍鹰，竟觉秃鹫美。,109.21392695583877
24574,1,看完了真的值得深思，很有深意。,17.73907377278073
16765,1,赞美可爱善良孝顺的帕丁顿熊！！,260.68795059462434
3072,0,忘了讲什么了。7分吧。看完了,32.03145109545386
43841,0,立体机动装置的镜头拍得真是丑啊,52.93864070316816
13535,1,答应我一定要去看3D的好吗？,19.954989982473833
27935,1,能吓到人的恐怖片就是好恐怖片,15.634158032998767
37463,1,“这房间里面的书都是你的了”,28.853032781175116
17012,0,傲慢自大的朝鲜人领导了此电影,39.03326438796865
50167,0,下錯片來看了，這片看著噁心。,76.02652331773126
25900,0,把功夫都用在P超人的胡子上了,308.12493048876195
43522,1,我不管反正我看哭了我要给五星,122.72828548688472
