,labels,text,ppl
8711,0,病人吃啊，挂面哈拉味，汤也腥。,293.9622629216005
5797,0,豆腐丝里吃出苍蝇，啥也不想说了,35.15641947962947
768,1,味道很好！送的也很快！好吃！,15.825762345394491
2518,1,菜品好，速度快，真是太好了！,10.845185655129841
7638,0,这家店就直接没送，接单不送的店,111.87273256564104
6583,0,送餐太慢太慢了～菜品还可以～,69.38946087935788
6692,0,"下次能送早点就好啦,快饿过劲啦",147.4069581391782
484,1,"很好吃量也很大都吃不完,赞一个",93.40332245298828
11295,0,下单2个小时才送到。无语了。,32.72654315460074
2826,1,谢谢师傅，辛苦了！非常准时！,38.403678262543586
11958,0,粉很好吃，但是订了卤蛋却没有。,88.8533335930317
4074,0,"吃到一半发现菜里有小强,简直了",51.030010555600605
1568,1,米饭是硬的。。不如上一次好吃,80.67488121400426
10881,0,米饭里有一只蟑螂，让人怎么吃,22.989418670635036
6353,0,咖喱鸡肉烩意面，不知鸡肉滋味,39.79705838212663
4765,0,很慢就不说了，关键是还不好吃。,15.682933082313921
370,1,态度很好，效率很高，给十分赞,33.88953048660252
11746,0,速度慢，第一次订餐就迟到，晕,61.16776181340355
8159,0,送餐走错路，袋子还破了………,60.76849582556163
2366,1,一直买他家的香脆鸡肉披萨，喜欢,12.527779782550551
866,1,"师傅辛苦了，谢谢,下雪注意安全",24.96187473705505
2743,1,又快又好棒呆了哈哈哈哈哈哈哈,22.20576905745909
9911,0,石锅拌饭里面吃出了塑料包装纸袋,90.02049012808298
5045,0,菜品没味道。。。周也是。。。。,215.07096223088163
1563,1,又快又好又便宜！真心给力！！！,22.245090542077286
10234,0,面时间太长了，坨了，不好吃了,33.15586192090602
29,1,"送餐非常快,态度特别好,谢谢",29.285640215197358
6442,0,"太小了,味道一般,说多了都是泪",14.733713137292234
467,1,送餐员辛苦，饭也好吃，继续购买,18.59531186019035
58,1,"送餐特别快,送餐员态度也特别好",31.240879476588887
1652,1,很快，也好，包装也好，赞赞赞,22.264045005565933
4529,0,味道还行，就是送餐太慢了……,16.930213672124122
88,1,"又快又好,小哥态度很好,好评",11.78445239750829
4524,0,"味道就那样把,盖浇饭挺难吃的",65.80941122054917
3085,1,外卖小哥人超级好。。。。。。,67.20670523216376
10811,0,速度挺快的，面不好吃，都凉了,42.82375563933943
8052,0,"点两份鸡柳,就给送,一份。。。",222.13874913649315
5562,0,太慢，太小，吃不饱。味道还行,15.210658369562395
5132,0,不好吃。。。菜太少了。。。。,163.45300221705702
2537,1,配送非常快，10分钟就送到啦～,28.454021096992534
2730,1,人好速度快，好评好评好评！！,22.77375800368676
6256,0,米粉比以前份量少，没以前好了,20.077277907119175
2717,1,东西非常好，还是热的，辛苦了！,9.256341472665264
5791,0,给的豆皮果然多，只是肉变少了,285.9971073774527
434,1,很快，很好，经常订，谢谢师傅,18.634356565811107
2067,1,非常好吃，送餐很快，绝对好评,33.422550644820475
8096,0,就薯条还行！其他都不怎么样！,61.08537386021038
1952,1,味道还好。服务态度真的很好～！,6.776936087667127
6980,0,咋的跟饿了吗不一样的名，坑爹,381.749769339347
2435,1,经常买这家的饺子，味道棒棒哒！,18.948258456893456
9055,0,没有在店里吃好吃，萝卜太多了,19.363712795754875
1653,1,除了速度有待加强，其他都不错,13.239264687322805
3654,1,没有餐具哦，还要自己点餐具么,29.828660512557885
1739,1,"服务不错,但是太难吃了啊啊啊",7.981441637103887
11045,0,面也太少了，才半盒，我就没吃饱,101.406735057602
2626,1,非常的正宗，就是羊杂汤太咸啦,47.39117172445083
7925,0,午餐肉实在太难吃了，千万别点,8.918547423024096
5910,0,真的不适合外卖，另外，真难吃,22.88795184055659
11336,0,我的电话打不通，不知道为什么,7.490484380024176
809,1,很好，速度飞快，炸鸡有点火大,26.346317419739353
661,1,太快了！！简直是神速啊！！！,19.728029160674847
396,1,"第二次买了,挺好的,以后继续",10.66250446018757
5702,0,我备注要的粥，结果送来的是饮料,90.4208025472399
10859,0,赠送的黄飞红花生呢？没送啊！！,370.83237310088555
280,1,非常好送的很快，，，还是热的。,34.85453486320694
184,1,好好好！赞赞赞！态度好速度快！,20.058487456482922
2289,1,味道很好而且很实惠送得也很快,45.254994449815
4775,0,包装牛逼，送餐速度……咳咳……,29.034598633084457
2711,1,"番茄醬撒了QAQ,其他nice",309.5328454220705
854,1,"粥里有头发,就没吃,剩下都好吃",61.37752303974943
5116,0,太慢了，俩小时连个解释也没有,30.023349141397656
